arch,persona,budget,game,steps,episodes,wins,deaths,win_rate_pct,avg_reward,avg_episode_length,avg_speed,avg_progress,max_x,top_death_cause,learning_trend,best_level,max_x_seen_reward_share_pct
LightMobile,adept,expert,Mario,800000,196,45,151,23.0,12.22,4074,2.48,34.5,195.4,Pit (33%),IMPROVING 0→30%,Mario1-2: 31.7%,98.7
LightMobile,adept,novice,Mario,800000,243,0,243,0.0,6.579,3274,0.846,-1.26,45.0,Stall (60%),FLAT 0→0%,Mario1-1: 0%,91.1
LightMobile,adept,expert,MegaMan,800000,978,121,857,12.4,-1.741,818,85.056,0.08,4331.2,Spike (78%),IMPROVING 0→61%,MM-Stage1: 90.3%,97.5
LightMobile,simple,expert,MegaMan,800000,817,9,808,1.1,-1.635,965,83.286,0.06,5130.1,Spike (72%),IMPROVING 0→5%,MM-Stage1: 19.6%,98.9
LightMobile,simple,novice,MegaMan,800000,865,0,865,0.0,-3.119,852,85.645,0.05,971.9,Spike (65%),FLAT 0→0%,MM-Train4: 0%,97.1
LightMobile,simple,expert,MegaMan,800000,864,0,864,0.0,-4.927,556,82.945,0.02,972.8,Spike (79%),FLAT 0→0%,MM-Train4: 0%,97.0
SpatialAttention,simple,novice,Mario,800000,209,87,122,41.6,0.887,3809,3.313,56.06,195.4,Pit (34%),IMPROVING 39→47%,Mario1-1: 44.9%,98.9
SpatialAttention,simple,expert,Mario,800000,315,45,270,14.3,-2.161,2530,2.196,21.77,195.4,OOB (51%),IMPROVING 0→33%,Mario1-2: 30.5%,98.7
SpatialAttention,adept,novice,Mario,800000,184,42,142,22.8,11.819,4336,2.791,36.14,194.7,Enemy (39%),IMPROVING 8→30%,Mario1-1: 22.8%,98.8
SpatialAttention,adept,expert,Mario,800000,139,24,115,17.3,15.553,5737,1.505,27.98,194.2,Pit (42%),IMPROVING 0→35%,Mario1-1: 17.3%,98.6
