step,device,n_envs,rollout_wall_s,env_step_s,policy_forward_s,train_s,eval_s,sps
24576,cpu,12,9.201242,9.193191,0.008051,0.000000,0.000000,2670.94
49152,cpu,12,6.372098,6.363792,0.008305,58.634394,0.000000,3856.81
73728,cpu,12,6.593991,6.585701,0.008290,58.793815,0.000000,3727.03
98304,cpu,12,6.930220,6.919412,0.010808,61.848328,0.000000,3546.21
122880,cpu,12,50.435384,50.426688,0.008696,65.343907,43.509271,487.28
147456,cpu,12,6.683716,6.675413,0.008304,62.563497,0.000000,3677.00
172032,cpu,12,6.665640,6.656309,0.009331,61.564448,0.000000,3686.97
196608,cpu,12,7.893425,7.885155,0.008270,94.223950,0.000000,3113.48
221184,cpu,12,5.662805,5.653448,0.009358,55.336763,0.000000,4339.90
245760,cpu,12,38.201602,38.193432,0.008170,58.596144,33.146335,643.32
270336,cpu,12,5.042910,5.035582,0.007328,51.131526,0.000000,4873.38
294912,cpu,12,5.574208,5.565861,0.008347,57.775194,0.000000,4408.88
319488,cpu,12,6.268348,6.258596,0.009752,68.244614,0.000000,3920.65
344064,cpu,12,5.571135,5.562989,0.008146,60.204229,0.000000,4411.31
368640,cpu,12,38.956950,38.948712,0.008237,53.675298,33.797955,630.85
393216,cpu,12,5.062222,5.054712,0.007511,51.176797,0.000000,4854.78
417792,cpu,12,4.917966,4.910320,0.007646,51.060700,0.000000,4997.19
442368,cpu,12,4.874524,4.867387,0.007137,48.838139,0.000000,5041.72
466944,cpu,12,4.845101,4.838218,0.006883,48.421415,0.000000,5072.34
491520,cpu,12,37.006393,36.999106,0.007287,47.981916,32.164749,664.10
516096,cpu,12,4.707655,4.700735,0.006920,47.998188,0.000000,5220.43
540672,cpu,12,4.699453,4.692791,0.006663,47.539011,0.000000,5229.54
565248,cpu,12,4.600814,4.593961,0.006853,49.375588,0.000000,5341.66
589824,cpu,12,4.574692,4.567925,0.006767,46.734821,0.000000,5372.17
614400,cpu,12,35.081531,35.074449,0.007082,46.368289,30.533917,700.54
638976,cpu,12,4.558668,4.552019,0.006648,46.928716,0.000000,5391.05
663552,cpu,12,4.608084,4.601341,0.006744,46.012555,0.000000,5333.24
688128,cpu,12,4.536713,4.530024,0.006689,46.373682,0.000000,5417.14
712704,cpu,12,4.488916,4.481935,0.006981,46.352439,0.000000,5474.82
737280,cpu,12,34.460829,34.453960,0.006869,45.491846,29.909698,713.16
761856,cpu,12,4.527624,4.520821,0.006804,45.317017,0.000000,5428.01
786432,cpu,12,4.583675,4.576777,0.006898,46.024476,0.000000,5361.64
811008,cpu,12,4.604483,4.597621,0.006863,46.721534,0.000000,5337.41
835584,cpu,12,4.582786,4.576083,0.006703,47.004499,0.000000,5362.68
860160,cpu,12,35.704266,35.697360,0.006905,47.190183,31.083977,688.32
884736,cpu,12,4.581850,4.575031,0.006819,46.566956,0.000000,5363.77
909312,cpu,12,4.566881,4.559952,0.006929,46.611604,0.000000,5381.35
933888,cpu,12,4.681788,4.674431,0.007357,46.896288,0.000000,5249.28
958464,cpu,12,4.484492,4.477987,0.006505,46.076603,0.000000,5480.22
983040,cpu,12,34.389219,34.382620,0.006599,44.840020,30.014208,714.64
1007616,cpu,12,4.324221,4.317584,0.006637,44.015875,0.000000,5683.34
1032192,cpu,12,4.324655,4.318428,0.006228,44.026080,0.000000,5682.76
1056768,cpu,12,4.359387,4.353096,0.006291,44.267997,0.000000,5637.49
1081344,cpu,12,34.648359,34.642808,0.005551,44.129485,30.143101,709.30
1105920,cpu,12,4.330999,4.324839,0.006160,44.421924,0.000000,5674.44
1130496,cpu,12,4.286423,4.279961,0.006462,43.892998,0.000000,5733.45
1155072,cpu,12,4.252974,4.246008,0.006966,43.469271,0.000000,5778.55
1179648,cpu,12,4.560978,4.554630,0.006348,47.352516,0.000000,5388.32
1204224,cpu,12,38.109045,38.101027,0.008018,48.699114,33.268767,644.89
1228800,cpu,12,5.329103,5.320592,0.008511,49.574535,0.000000,4611.66
1253376,cpu,12,4.407178,4.401203,0.005975,46.029374,0.000000,5576.36
1277952,cpu,12,4.309631,4.302957,0.006673,44.047814,0.000000,5702.58
1302528,cpu,12,4.335113,4.328000,0.007113,44.155058,0.000000,5669.06
1327104,cpu,12,34.060218,34.053379,0.006839,43.723358,29.756715,721.55
1351680,cpu,12,4.310684,4.304441,0.006243,44.251657,0.000000,5701.18
1376256,cpu,12,4.411937,4.405634,0.006303,44.064279,0.000000,5570.34
1400832,cpu,12,4.277431,4.271096,0.006336,43.766625,0.000000,5745.50
1425408,cpu,12,4.254691,4.248529,0.006162,43.413386,0.000000,5776.21
1449984,cpu,12,43.555438,43.548046,0.007391,58.754723,32.858662,564.25
1474560,cpu,12,5.505077,5.497500,0.007577,50.972149,0.000000,4464.24
1499136,cpu,12,7.465188,7.457590,0.007598,68.527198,0.000000,3292.08
1523712,cpu,12,7.498050,7.489190,0.008860,76.056425,0.000000,3277.65
1548288,cpu,12,7.951927,7.943432,0.008495,74.228009,0.000000,3090.57
1572864,cpu,12,43.754049,43.745865,0.008184,57.242342,38.311983,561.69
1597440,cpu,12,5.337061,5.329456,0.007605,55.098005,0.000000,4604.78
1622016,cpu,12,6.846214,6.837415,0.008799,57.351847,0.000000,3589.72
1646592,cpu,12,6.579587,6.571316,0.008271,70.199855,0.000000,3735.19
1671168,cpu,12,5.713676,5.705467,0.008209,58.803645,0.000000,4301.26
1695744,cpu,12,45.586520,45.577950,0.008570,56.260485,39.855438,539.11
1720320,cpu,12,5.363232,5.355604,0.007628,55.759877,0.000000,4582.31
1744896,cpu,12,5.966795,5.958576,0.008219,54.971631,0.000000,4118.79
1769472,cpu,12,5.190072,5.181491,0.008581,54.480040,0.000000,4735.19
1794048,cpu,12,5.488355,5.481871,0.006483,54.509038,0.000000,4477.84
1818624,cpu,12,42.656028,42.648043,0.007985,54.653813,37.670977,576.14
1843200,cpu,12,5.795881,5.787795,0.008086,54.404278,0.000000,4240.25
1867776,cpu,12,5.735538,5.728721,0.006817,54.529682,0.000000,4284.86
1892352,cpu,12,5.405316,5.397232,0.008084,54.650263,0.000000,4546.64
1916928,cpu,12,5.339671,5.331130,0.008542,54.879913,0.000000,4602.53
1941504,cpu,12,45.895647,45.888912,0.006735,54.766355,39.458572,535.48
1966080,cpu,12,6.261905,6.253275,0.008631,61.218899,0.000000,3924.68
1990656,cpu,12,5.840116,5.831553,0.008564,57.977173,0.000000,4208.14
2015232,cpu,12,6.005297,5.997217,0.008081,56.042694,0.000000,4092.39
2039808,cpu,12,5.997957,5.990242,0.007714,55.798337,0.000000,4097.40
2064384,cpu,12,44.882939,44.874875,0.008064,55.716547,39.155021,547.56
2088960,cpu,12,6.266765,6.256998,0.009767,57.616930,0.000000,3921.64
2113536,cpu,12,5.410583,5.402425,0.008157,56.935957,0.000000,4542.21
2138112,cpu,12,6.113766,6.106310,0.007456,56.936304,0.000000,4019.78
2162688,cpu,12,44.353114,44.344693,0.008421,56.779123,38.886466,554.10
2187264,cpu,12,6.179263,6.163956,0.015307,56.833209,0.000000,3977.17
2211840,cpu,12,5.437078,5.428693,0.008385,56.812744,0.000000,4520.08
2236416,cpu,12,6.086596,6.078066,0.008530,56.754852,0.000000,4037.72
2260992,cpu,12,5.776448,5.769572,0.006876,56.657492,0.000000,4254.52
2285568,cpu,12,44.514728,44.506197,0.008531,56.995316,38.982950,552.09
2310144,cpu,12,5.537456,5.529737,0.007719,56.562880,0.000000,4438.14
2334720,cpu,12,6.045070,6.036846,0.008224,55.986947,0.000000,4065.46
2359296,cpu,12,6.117936,6.110687,0.007250,56.316101,0.000000,4017.04
2383872,cpu,12,5.892360,5.885547,0.006813,56.932683,0.000000,4170.82
2408448,cpu,12,45.787393,45.778916,0.008477,57.551851,39.396071,536.74
2433024,cpu,12,6.079072,6.070954,0.008118,56.726740,0.000000,4042.72
2457600,cpu,12,7.065100,7.056444,0.008656,62.342906,0.000000,3478.51
2482176,cpu,12,8.030242,8.018754,0.011488,75.167520,0.000000,3060.43
2506752,cpu,12,6.787035,6.777251,0.009784,71.570477,0.000000,3621.02
2531328,cpu,12,46.544192,46.536854,0.007338,66.498325,40.438897,528.01
2555904,cpu,12,6.256615,6.247635,0.008980,57.759485,0.000000,3928.00
2580480,cpu,12,6.034103,6.025794,0.008309,56.905392,0.000000,4072.85
2605056,cpu,12,5.554585,5.545900,0.008686,57.058306,0.000000,4424.45
2629632,cpu,12,5.842034,5.835293,0.006741,57.043277,0.000000,4206.75
2654208,cpu,12,44.888263,44.879550,0.008712,56.320936,39.170794,547.49
2678784,cpu,12,6.166303,6.157656,0.008647,56.684153,0.000000,3985.53
2703360,cpu,12,5.772923,5.765350,0.007573,56.716851,0.000000,4257.12
2727936,cpu,12,6.220979,6.212427,0.008552,56.836784,0.000000,3950.50
2752512,cpu,12,5.313336,5.305656,0.007681,56.588296,0.000000,4625.34
2777088,cpu,12,44.645000,44.636541,0.008459,56.339873,39.101011,550.48
2801664,cpu,12,6.115466,6.107253,0.008213,56.392704,0.000000,4018.66
2826240,cpu,12,5.918835,5.912209,0.006626,56.846994,0.000000,4152.17
2850816,cpu,12,5.583684,5.575126,0.008558,56.761297,0.000000,4401.40
2875392,cpu,12,6.127601,6.117502,0.010099,56.814192,0.000000,4010.71
2899968,cpu,12,45.527697,45.518669,0.009028,57.205590,39.679614,539.80
2924544,cpu,12,22.645430,22.631134,0.014296,75.865273,0.000000,1085.25
2949120,cpu,12,6.231042,6.222567,0.008475,90.336925,0.000000,3944.12
2973696,cpu,12,6.301622,6.292955,0.008667,63.703664,0.000000,3899.95
2998272,cpu,12,6.179226,6.170498,0.008728,58.544804,0.000000,3977.20
3022848,cpu,12,45.682598,45.673532,0.009065,57.503546,39.343993,537.97
3047424,cpu,12,6.251566,6.243578,0.007988,56.839950,0.000000,3931.17
3072000,cpu,12,6.350359,6.341987,0.008372,57.847479,0.000000,3870.02
3096576,cpu,12,6.296848,6.286611,0.010236,57.844624,0.000000,3902.91
3121152,cpu,12,46.534355,46.524771,0.009584,57.497786,40.127832,528.13
3145728,cpu,12,6.038481,6.030735,0.007746,57.511750,0.000000,4069.90
3170304,cpu,12,6.038937,6.030013,0.008924,57.765785,0.000000,4069.59
3194880,cpu,12,6.025803,6.016678,0.009125,57.579443,0.000000,4078.46
3219456,cpu,12,5.727871,5.720280,0.007591,58.064439,0.000000,4290.60
3244032,cpu,12,46.310110,46.302819,0.007291,59.589041,40.560120,530.68
3268608,cpu,12,6.079930,6.072058,0.007872,57.237793,0.000000,4042.15
3293184,cpu,12,5.576267,5.566836,0.009431,58.593444,0.000000,4407.25
3317760,cpu,12,6.395334,6.387097,0.008236,58.969232,0.000000,3842.80
3342336,cpu,12,6.194334,6.186236,0.008098,57.852247,0.000000,3967.50
3366912,cpu,12,46.452829,46.443951,0.008878,58.892617,40.123553,529.05
3391488,cpu,12,6.779004,6.769353,0.009650,65.588861,0.000000,3625.31
3416064,cpu,12,6.260921,6.250747,0.010173,62.008929,0.000000,3925.30
3440640,cpu,12,6.013004,6.005337,0.007667,56.999127,0.000000,4087.14
3465216,cpu,12,5.493449,5.486386,0.007062,56.865179,0.000000,4473.69
3489792,cpu,12,45.308921,45.300131,0.008790,57.538281,39.333047,542.41
3514368,cpu,12,5.959039,5.947438,0.011601,56.719676,0.000000,4124.16
3538944,cpu,12,5.489737,5.481656,0.008080,57.419834,0.000000,4476.72
3563520,cpu,12,6.084227,6.075685,0.008542,56.950269,0.000000,4039.30
3588096,cpu,12,5.792119,5.785452,0.006667,57.748587,0.000000,4243.01
3612672,cpu,12,49.718656,49.709804,0.008852,57.543410,43.457658,494.30
3637248,cpu,12,6.081696,6.073719,0.007977,62.069413,0.000000,4040.98
3661824,cpu,12,6.031936,6.023647,0.008289,57.707881,0.000000,4074.31
3686400,cpu,12,5.580309,5.572651,0.007658,57.523820,0.000000,4404.06
3710976,cpu,12,7.614512,7.605735,0.008778,57.091985,0.000000,3227.52
3735552,cpu,12,47.438530,47.428537,0.009993,73.557483,41.240688,518.06
3760128,cpu,12,5.256962,5.249025,0.007937,57.631096,0.000000,4674.94
3784704,cpu,12,6.030172,6.022126,0.008046,57.551799,0.000000,4075.51
3809280,cpu,12,6.053680,6.045418,0.008262,57.477022,0.000000,4059.68
3833856,cpu,12,6.348198,6.340055,0.008143,58.896798,0.000000,3871.33
3858432,cpu,12,45.595884,45.588256,0.007629,57.238141,39.351505,539.00
3883008,cpu,12,7.512826,7.503977,0.008849,58.670486,0.000000,3271.21
3907584,cpu,12,6.723455,6.712946,0.010510,59.779688,0.000000,3655.26
3932160,cpu,12,5.944218,5.936968,0.007250,59.579945,0.000000,4134.44
3956736,cpu,12,6.141409,6.132874,0.008534,59.219957,0.000000,4001.69
3981312,cpu,12,46.939836,46.931305,0.008531,59.554426,40.782108,523.56
4005888,cpu,12,6.178670,6.170266,0.008404,61.057187,0.000000,3977.56
4030464,cpu,12,6.081933,6.073410,0.008522,60.081119,0.000000,4040.82
4055040,cpu,12,6.452307,6.443635,0.008672,59.978083,0.000000,3808.87
4079616,cpu,12,6.128184,6.119552,0.008631,60.284027,0.000000,4010.32
4104192,cpu,12,46.791198,46.784325,0.006874,59.060229,40.500088,525.23
4128768,cpu,12,6.034064,6.027086,0.006979,57.933902,0.000000,4072.88
4153344,cpu,12,6.519325,6.508770,0.010555,59.997512,0.000000,3769.72
4177920,cpu,12,6.683305,6.674731,0.008574,59.631136,0.000000,3677.22
4202496,cpu,12,47.833358,47.825002,0.008356,59.794286,41.468980,513.78
4227072,cpu,12,6.375662,6.365615,0.010047,59.656599,0.000000,3854.66
4251648,cpu,12,6.132686,6.124147,0.008540,59.176645,0.000000,4007.38
4276224,cpu,12,6.143313,6.134737,0.008576,59.123135,0.000000,4000.45
4300800,cpu,12,6.164257,6.156279,0.007978,59.383996,0.000000,3986.85
4325376,cpu,12,46.500742,46.492769,0.007973,59.391365,40.755574,528.51
4349952,cpu,12,6.099765,6.090791,0.008974,58.596373,0.000000,4029.01
4374528,cpu,12,6.228424,6.218347,0.010077,59.936523,0.000000,3945.78
4399104,cpu,12,6.510796,6.500340,0.010456,60.518466,0.000000,3774.65
4423680,cpu,12,6.346404,6.337669,0.008735,59.784607,0.000000,3872.43
4448256,cpu,12,47.628909,47.619964,0.008945,59.938526,41.409994,515.99
4472832,cpu,12,6.517262,6.508847,0.008415,58.904713,0.000000,3770.91
4497408,cpu,12,5.957985,5.949651,0.008333,59.544782,0.000000,4124.88
4521984,cpu,12,6.403129,6.391591,0.011538,59.813509,0.000000,3838.12
4546560,cpu,12,6.332084,6.324251,0.007832,61.132424,0.000000,3881.19
4571136,cpu,12,47.851321,47.842789,0.008532,59.858334,41.468507,513.59
4595712,cpu,12,6.100839,6.093998,0.006841,59.713725,0.000000,4028.30
4620288,cpu,12,6.379558,6.371529,0.008029,59.882533,0.000000,3852.30
4644864,cpu,12,6.277605,6.268618,0.008987,60.006372,0.000000,3914.87
4669440,cpu,12,6.454295,6.447527,0.006767,60.684938,0.000000,3807.70
4694016,cpu,12,49.860521,49.851728,0.008793,59.577715,43.262116,492.89
4718592,cpu,12,5.512030,5.503662,0.008368,60.573467,0.000000,4458.61
4743168,cpu,12,6.324502,6.315886,0.008616,59.885206,0.000000,3885.84
4767744,cpu,12,6.373637,6.365302,0.008334,59.890894,0.000000,3855.88
4792320,cpu,12,6.201437,6.194564,0.006873,60.322759,0.000000,3962.95
4816896,cpu,12,48.100235,48.091780,0.008455,59.610185,41.527866,510.93
4841472,cpu,12,5.648677,5.640488,0.008188,59.419349,0.000000,4350.75
4866048,cpu,12,6.221360,6.213667,0.007692,59.450910,0.000000,3950.26
4890624,cpu,12,5.484385,5.474398,0.009987,60.365798,0.000000,4481.09
4915200,cpu,12,6.350030,6.341356,0.008674,59.971527,0.000000,3870.22
