step,device,n_envs,rollout_wall_s,env_step_s,policy_forward_s,train_s,eval_s,sps
24576,cpu,12,4.729973,4.724759,0.005214,0.000000,0.000000,5195.80
49152,cpu,12,5.194436,5.189086,0.005351,41.824670,0.000000,4731.22
73728,cpu,12,4.027026,4.021709,0.005316,39.831439,0.000000,6102.77
98304,cpu,12,3.904796,3.899702,0.005094,37.833267,0.000000,6293.80
122880,cpu,12,33.557338,33.552233,0.005105,37.835868,29.725580,732.36
147456,cpu,12,4.209422,4.203572,0.005850,39.080847,0.000000,5838.33
172032,cpu,12,5.135692,5.129751,0.005940,41.584087,0.000000,4785.33
196608,cpu,12,4.746073,4.739863,0.006210,47.525202,0.000000,5178.18
221184,cpu,12,4.653469,4.647043,0.006426,46.098175,0.000000,5281.22
245760,cpu,12,36.594596,36.585720,0.008876,46.714737,31.467221,671.57
270336,cpu,12,5.093437,5.086695,0.006742,48.263807,0.000000,4825.03
294912,cpu,12,5.372576,5.364159,0.008417,50.549988,0.000000,4574.34
319488,cpu,12,5.563959,5.556651,0.007308,51.624354,0.000000,4417.00
344064,cpu,12,5.494170,5.486755,0.007415,53.374985,0.000000,4473.11
368640,cpu,12,38.888559,38.879740,0.008819,50.499417,33.535219,631.96
393216,cpu,12,5.089309,5.081576,0.007733,50.040009,0.000000,4828.95
417792,cpu,12,5.507555,5.497874,0.009681,53.751582,0.000000,4462.23
442368,cpu,12,5.353871,5.346132,0.007739,53.121790,0.000000,4590.32
466944,cpu,12,5.167730,5.159991,0.007739,51.923961,0.000000,4755.67
491520,cpu,12,40.212534,40.201891,0.010643,52.269561,34.924714,611.15
516096,cpu,12,5.412372,5.405109,0.007263,52.768911,0.000000,4540.71
540672,cpu,12,5.648970,5.640258,0.008712,52.849733,0.000000,4350.53
565248,cpu,12,5.348035,5.341200,0.006835,53.560617,0.000000,4595.33
589824,cpu,12,9.129753,9.115144,0.014608,53.616697,0.000000,2691.86
614400,cpu,12,43.355684,43.346828,0.008856,57.373712,37.495190,566.85
638976,cpu,12,6.329649,6.320961,0.008688,57.457945,0.000000,3882.68
663552,cpu,12,5.645497,5.638203,0.007294,57.787287,0.000000,4353.20
688128,cpu,12,5.939064,5.930321,0.008743,56.527160,0.000000,4138.03
712704,cpu,12,5.900238,5.891587,0.008651,56.575100,0.000000,4165.26
737280,cpu,12,44.646539,44.639144,0.007395,56.620313,38.337008,550.46
761856,cpu,12,5.529836,5.521981,0.007855,54.828426,0.000000,4444.25
786432,cpu,12,5.460729,5.453250,0.007478,54.180353,0.000000,4500.50
811008,cpu,12,5.672161,5.663255,0.008906,54.937276,0.000000,4332.74
835584,cpu,12,7.464471,7.455662,0.008809,64.535254,0.000000,3292.40
860160,cpu,12,44.021502,44.012715,0.008787,61.283774,38.137585,558.27
884736,cpu,12,5.616710,5.607682,0.009028,57.793841,0.000000,4375.52
909312,cpu,12,5.846310,5.837717,0.008593,62.551711,0.000000,4203.68
933888,cpu,12,5.785254,5.776148,0.009105,56.457192,0.000000,4248.04
958464,cpu,12,6.043244,6.035446,0.007798,58.510746,0.000000,4066.69
983040,cpu,12,56.844479,56.832940,0.011538,61.595783,47.890587,432.34
1007616,cpu,12,7.359962,7.349647,0.010315,83.118952,0.000000,3339.15
