step,device,n_envs,rollout_wall_s,env_step_s,policy_forward_s,train_s,eval_s,sps
16384,cpu,8,14.008355,13.994475,0.013880,0.000000,0.000000,1169.59
32768,cpu,8,12.120855,12.104839,0.016016,13.891409,0.000000,1351.72
49152,cpu,8,11.954039,11.931702,0.022337,13.281165,0.000000,1370.58
65536,cpu,8,11.532819,11.518526,0.014293,13.114835,0.000000,1420.64
81920,cpu,8,28.589783,28.570552,0.019231,13.368044,16.640385,573.07
98304,cpu,8,11.746592,11.723720,0.022871,13.471221,0.000000,1394.79
114688,cpu,8,11.865298,11.842352,0.022946,13.023330,0.000000,1380.83
131072,cpu,8,12.044467,12.027633,0.016834,13.020740,0.000000,1360.29
147456,cpu,8,11.961620,11.946962,0.014658,13.743787,0.000000,1369.71
163840,cpu,8,156.510430,156.495702,0.014728,12.855094,144.245889,104.68
180224,cpu,8,11.796645,11.780658,0.015987,12.928405,0.000000,1388.87
196608,cpu,8,12.610626,12.590655,0.019971,13.638570,0.000000,1299.22
212992,cpu,8,11.907117,11.890182,0.016935,13.309963,0.000000,1375.98
229376,cpu,8,11.897611,11.875049,0.022562,13.054452,0.000000,1377.08
245760,cpu,8,120.433207,120.417346,0.015861,12.953771,108.530986,136.04
262144,cpu,8,11.891664,11.873961,0.017702,12.982277,0.000000,1377.77
278528,cpu,8,13.607682,13.593336,0.014346,15.076443,0.000000,1204.03
294912,cpu,8,12.087102,12.069551,0.017551,13.388761,0.000000,1355.49
311296,cpu,8,11.872948,11.858126,0.014822,12.816045,0.000000,1379.94
327680,cpu,8,114.065033,114.047489,0.017544,13.535100,101.180021,143.64
344064,cpu,8,12.373264,12.354691,0.018573,14.552365,0.000000,1324.15
360448,cpu,8,11.929406,11.912170,0.017235,12.507052,0.000000,1373.41
376832,cpu,8,12.388493,12.373000,0.015493,12.792539,0.000000,1322.52
393216,cpu,8,11.758576,11.744426,0.014150,14.092389,0.000000,1393.37
409600,cpu,8,40.283699,40.265241,0.018458,12.515008,28.339587,406.72
425984,cpu,8,11.874736,11.860678,0.014058,12.699143,0.000000,1379.74
442368,cpu,8,11.760334,11.744398,0.015936,12.668408,0.000000,1393.16
458752,cpu,8,11.722778,11.708049,0.014728,12.769415,0.000000,1397.62
475136,cpu,8,11.580414,11.564144,0.016270,12.408975,0.000000,1414.80
491520,cpu,8,15.418322,15.400371,0.017951,12.599857,3.733633,1062.63
507904,cpu,8,11.840040,11.825792,0.014249,12.820479,0.000000,1383.78
524288,cpu,8,11.780147,11.765897,0.014250,12.672477,0.000000,1390.81
540672,cpu,8,11.678649,11.663805,0.014844,12.491737,0.000000,1402.90
557056,cpu,8,11.616532,11.594854,0.021678,12.971967,0.000000,1410.40
