step,device,n_envs,rollout_wall_s,env_step_s,policy_forward_s,train_s,eval_s,sps
16384,cpu,8,15.130919,15.108705,0.022214,0.000000,0.000000,1082.82
32768,cpu,8,15.089047,15.063203,0.025844,44.682873,0.000000,1085.82
49152,cpu,8,16.201649,16.183386,0.018263,44.742005,0.000000,1011.26
65536,cpu,8,15.219925,15.202766,0.017159,46.687481,0.000000,1076.48
81920,cpu,8,72.063669,72.033129,0.030540,49.358715,56.675737,227.35
98304,cpu,8,15.605852,15.585205,0.020647,48.659500,0.000000,1049.86
114688,cpu,8,16.035769,16.014734,0.021035,48.605237,0.000000,1021.72
131072,cpu,8,15.485682,15.461996,0.023686,48.787523,0.000000,1058.01
147456,cpu,8,16.011195,15.990302,0.020893,48.791705,0.000000,1023.28
163840,cpu,8,20.900509,20.880069,0.020440,49.108071,4.579888,783.90
180224,cpu,8,16.188346,16.165906,0.022440,49.178852,0.000000,1012.09
196608,cpu,8,16.524924,16.505956,0.018967,48.480436,0.000000,991.47
212992,cpu,8,16.428586,16.408240,0.020346,49.062837,0.000000,997.29
229376,cpu,8,16.268215,16.246644,0.021572,48.487022,0.000000,1007.12
245760,cpu,8,52.467828,52.450686,0.017142,48.503562,36.064054,312.27
262144,cpu,8,16.842746,16.823883,0.018864,48.645587,0.000000,972.76
278528,cpu,8,16.639276,16.617205,0.022071,48.303524,0.000000,984.66
294912,cpu,8,17.058970,17.034399,0.024571,47.727881,0.000000,960.43
311296,cpu,8,16.750205,16.727487,0.022718,48.450450,0.000000,978.14
327680,cpu,8,92.694880,92.670599,0.024281,48.100110,76.102077,176.75
344064,cpu,8,16.577682,16.558221,0.019461,48.802493,0.000000,988.32
360448,cpu,8,16.875180,16.855734,0.019445,48.229920,0.000000,970.89
376832,cpu,8,16.570890,16.546432,0.024457,48.220072,0.000000,988.72
393216,cpu,8,16.608007,16.592015,0.015992,48.419352,0.000000,986.51
409600,cpu,8,50.166177,50.142290,0.023886,47.924613,33.420526,326.59
425984,cpu,8,16.352752,16.329575,0.023177,47.831301,0.000000,1001.91
