step,device,n_envs,rollout_wall_s,env_step_s,policy_forward_s,train_s,eval_s,sps
16384,cpu,8,12.783876,12.770068,0.013808,0.000000,0.000000,1281.61
32768,cpu,8,12.156935,12.134757,0.022178,14.068138,0.000000,1347.71
49152,cpu,8,12.226883,12.209400,0.017484,15.219564,0.000000,1340.00
65536,cpu,8,14.016271,13.994476,0.021795,14.192857,0.000000,1168.93
81920,cpu,8,32.999061,32.982710,0.016351,14.472175,21.081399,496.50
98304,cpu,8,12.377165,12.362389,0.014776,14.074451,0.000000,1323.73
114688,cpu,8,12.302657,12.287888,0.014769,14.595728,0.000000,1331.74
131072,cpu,8,12.316387,12.294374,0.022014,13.958941,0.000000,1330.26
147456,cpu,8,12.415094,12.398330,0.016764,14.595125,0.000000,1319.68
163840,cpu,8,156.780485,156.762627,0.017858,14.329406,144.398048,104.50
180224,cpu,8,12.247184,12.230531,0.016653,14.416342,0.000000,1337.78
196608,cpu,8,12.510789,12.481770,0.029019,14.368536,0.000000,1309.59
212992,cpu,8,12.405474,12.383135,0.022339,14.355423,0.000000,1320.71
229376,cpu,8,12.417945,12.403495,0.014450,14.314396,0.000000,1319.38
245760,cpu,8,141.826484,141.807010,0.019475,14.519271,129.058003,115.52
262144,cpu,8,12.715645,12.697827,0.017818,14.855523,0.000000,1288.49
278528,cpu,8,13.215032,13.200348,0.014684,15.269424,0.000000,1239.80
294912,cpu,8,13.133310,13.118316,0.014994,15.118169,0.000000,1247.51
311296,cpu,8,12.984798,12.967913,0.016885,15.244922,0.000000,1261.78
327680,cpu,8,118.683071,118.664073,0.018998,14.864308,105.415386,138.05
344064,cpu,8,13.128241,13.106808,0.021432,15.085202,0.000000,1248.00
360448,cpu,8,13.619352,13.602790,0.016562,14.776674,0.000000,1202.99
376832,cpu,8,13.038315,13.021922,0.016393,15.098892,0.000000,1256.60
393216,cpu,8,13.043473,13.027807,0.015665,15.113371,0.000000,1256.11
409600,cpu,8,45.800892,45.780359,0.020533,15.116416,32.530223,357.72
425984,cpu,8,13.371133,13.355209,0.015924,15.216064,0.000000,1225.33
442368,cpu,8,13.347941,13.332939,0.015002,15.038315,0.000000,1227.46
458752,cpu,8,13.245387,13.222931,0.022456,14.886335,0.000000,1236.96
475136,cpu,8,13.152861,13.129866,0.022995,15.199673,0.000000,1245.66
491520,cpu,8,18.036361,18.018205,0.018156,15.250800,4.484941,908.39
507904,cpu,8,15.943565,15.924295,0.019270,16.774385,0.000000,1027.62
524288,cpu,8,18.595111,18.573171,0.021940,19.034719,0.000000,881.09
540672,cpu,8,15.794337,15.768795,0.025543,18.501781,0.000000,1037.33
557056,cpu,8,15.679966,15.654720,0.025245,17.240801,0.000000,1044.90
573440,cpu,8,134.008490,133.990591,0.017899,18.549423,119.769270,122.26
589824,cpu,8,17.942729,17.915581,0.027148,18.217479,0.000000,913.13
606208,cpu,8,17.610871,17.587499,0.023372,29.351432,0.000000,930.33
622592,cpu,8,16.488286,16.464201,0.024085,19.662402,0.000000,993.68
638976,cpu,8,17.838516,17.816699,0.021817,17.802302,0.000000,918.46
655360,cpu,8,83.950044,83.924283,0.025761,20.899731,69.013456,195.16
671744,cpu,8,14.622030,14.599857,0.022172,17.166193,0.000000,1120.50
688128,cpu,8,15.239607,15.215889,0.023718,16.793124,0.000000,1075.09
704512,cpu,8,14.470164,14.453321,0.016843,16.927196,0.000000,1132.26
720896,cpu,8,113.001593,112.982178,0.019415,16.891718,98.060777,144.99
737280,cpu,8,15.019517,14.998339,0.021178,16.805700,0.000000,1090.85
753664,cpu,8,15.443650,15.420774,0.022876,16.904058,0.000000,1060.89
770048,cpu,8,14.639270,14.618619,0.020651,16.628392,0.000000,1119.18
786432,cpu,8,14.566555,14.547705,0.018850,16.553709,0.000000,1124.77
802816,cpu,8,55.658286,55.641137,0.017149,16.359791,40.277521,294.37
819200,cpu,8,14.696761,14.676216,0.020546,16.365327,0.000000,1114.80
835584,cpu,8,14.728137,14.712411,0.015726,16.602372,0.000000,1112.43
851968,cpu,8,15.019733,15.005092,0.014641,16.210720,0.000000,1090.83
868352,cpu,8,17.557194,17.536725,0.020469,16.825465,0.000000,933.18
884736,cpu,8,32.480261,32.464897,0.015364,19.502967,15.600899,504.43
901120,cpu,8,16.201703,16.175647,0.026056,21.396574,0.000000,1011.25
917504,cpu,8,17.239687,17.216555,0.023132,19.965468,0.000000,950.37
933888,cpu,8,16.436600,16.416280,0.020320,18.890538,0.000000,996.80
950272,cpu,8,16.357465,16.342226,0.015239,18.987609,0.000000,1001.62
966656,cpu,8,83.458499,83.443665,0.014834,17.927950,68.987830,196.31
983040,cpu,8,13.039981,13.022904,0.017077,14.122877,0.000000,1256.44
999424,cpu,8,13.015333,12.997877,0.017456,14.449011,0.000000,1258.82
1015808,cpu,8,12.875102,12.852976,0.022126,14.334317,0.000000,1272.53
