step,device,n_envs,rollout_wall_s,env_step_s,policy_forward_s,train_s,eval_s,sps
16384,cpu,8,15.115145,15.090744,0.024401,0.000000,0.000000,1083.95
32768,cpu,8,19.859270,19.834581,0.024689,53.840521,0.000000,825.01
49152,cpu,8,16.470818,16.447907,0.022912,45.500989,0.000000,994.73
65536,cpu,8,16.378156,16.363036,0.015120,46.928449,0.000000,1000.36
81920,cpu,8,67.040589,67.022906,0.017684,45.686295,52.880836,244.39
98304,cpu,8,14.214314,14.199050,0.015264,46.952021,0.000000,1152.64
114688,cpu,8,14.910307,14.886800,0.023507,46.705752,0.000000,1098.84
131072,cpu,8,14.965618,14.939444,0.026174,46.244902,0.000000,1094.78
147456,cpu,8,15.205205,15.190693,0.014512,45.700513,0.000000,1077.53
163840,cpu,8,19.219058,19.199668,0.019391,47.404034,4.190052,852.49
180224,cpu,8,15.338029,15.322261,0.015768,45.352484,0.000000,1068.19
196608,cpu,8,15.276931,15.256168,0.020764,46.054255,0.000000,1072.47
212992,cpu,8,15.131453,15.107695,0.023758,45.659866,0.000000,1082.78
229376,cpu,8,14.960003,14.938582,0.021421,45.355441,0.000000,1095.19
245760,cpu,8,76.819823,76.799677,0.020146,45.538272,61.381433,213.28
262144,cpu,8,15.195642,15.179126,0.016516,46.095618,0.000000,1078.20
278528,cpu,8,15.559827,15.544065,0.015762,45.228454,0.000000,1052.97
294912,cpu,8,15.431724,15.410424,0.021299,45.329344,0.000000,1061.71
311296,cpu,8,16.314598,16.297772,0.016827,46.530834,0.000000,1004.25
327680,cpu,8,88.501277,88.486746,0.014531,45.371246,73.120094,185.13
344064,cpu,8,15.786892,15.767137,0.019755,45.479054,0.000000,1037.82
360448,cpu,8,16.198734,16.180780,0.017954,45.275246,0.000000,1011.44
376832,cpu,8,15.240776,15.223992,0.016785,45.585200,0.000000,1075.01
393216,cpu,8,15.012790,14.991724,0.021066,45.430361,0.000000,1091.34
409600,cpu,8,20.432298,20.407922,0.024376,44.845047,5.431418,801.87
425984,cpu,8,15.115215,15.098275,0.016940,44.813753,0.000000,1083.94
442368,cpu,8,14.875670,14.850137,0.025533,45.415199,0.000000,1101.40
458752,cpu,8,14.849565,14.833660,0.015905,44.878672,0.000000,1103.33
475136,cpu,8,14.936404,14.915886,0.020518,44.450707,0.000000,1096.92
491520,cpu,8,61.766850,61.745112,0.021737,45.704897,45.790404,265.26
507904,cpu,8,16.233940,16.211842,0.022098,47.293640,0.000000,1009.24
524288,cpu,8,14.436343,14.414540,0.021803,46.292862,0.000000,1134.91
540672,cpu,8,14.770471,14.754738,0.015733,44.987876,0.000000,1109.24
557056,cpu,8,15.040625,15.020568,0.020057,44.504995,0.000000,1089.32
573440,cpu,8,109.931480,109.909002,0.022479,45.969417,94.844804,149.04
589824,cpu,8,15.175507,15.152589,0.022918,44.816743,0.000000,1079.63
606208,cpu,8,14.789893,14.764943,0.024950,45.568718,0.000000,1107.78
622592,cpu,8,14.671900,14.648652,0.023248,45.289753,0.000000,1116.69
638976,cpu,8,14.733194,14.709374,0.023820,44.427197,0.000000,1112.05
655360,cpu,8,17.337686,17.322682,0.015005,44.974871,2.545951,944.99
671744,cpu,8,15.146471,15.125554,0.020917,44.702180,0.000000,1081.70
688128,cpu,8,15.250812,15.235943,0.014869,44.538038,0.000000,1074.30
704512,cpu,8,14.725385,14.709030,0.016354,44.937256,0.000000,1112.64
720896,cpu,8,27.095947,27.080011,0.015935,45.028646,12.542131,604.67
737280,cpu,8,14.770272,14.750880,0.019392,45.093573,0.000000,1109.26
753664,cpu,8,14.766621,14.745185,0.021436,43.884605,0.000000,1109.53
770048,cpu,8,14.971945,14.955334,0.016611,45.032281,0.000000,1094.31
786432,cpu,8,14.737683,14.712094,0.025589,44.421567,0.000000,1111.71
802816,cpu,8,48.470330,48.447217,0.023113,44.132515,33.776505,338.02
819200,cpu,8,14.953421,14.938141,0.015280,44.667781,0.000000,1095.67
835584,cpu,8,14.643017,14.628185,0.014833,44.615679,0.000000,1118.90
851968,cpu,8,14.516653,14.500281,0.016372,44.283914,0.000000,1128.63
868352,cpu,8,14.729822,14.712930,0.016892,44.901460,0.000000,1112.30
884736,cpu,8,34.440257,34.419959,0.020297,44.682686,19.762270,475.72
901120,cpu,8,14.834145,14.811267,0.022878,45.131251,0.000000,1104.48
917504,cpu,8,14.861739,14.846687,0.015052,44.538949,0.000000,1102.43
933888,cpu,8,14.659318,14.637504,0.021813,43.758240,0.000000,1117.65
950272,cpu,8,14.681815,14.666227,0.015588,44.943972,0.000000,1115.94
966656,cpu,8,26.864119,26.849402,0.014717,44.589706,11.627411,609.88
983040,cpu,8,14.718010,14.703249,0.014761,44.946165,0.000000,1113.19
999424,cpu,8,14.453194,14.429665,0.023528,44.254805,0.000000,1133.59
1015808,cpu,8,14.535207,14.513333,0.021874,45.511388,0.000000,1127.19
