step,device,n_envs,rollout_wall_s,env_step_s,policy_forward_s,train_s,eval_s,sps
12288,cpu,6,5.937076,5.930955,0.006121,0.000000,0.000000,2069.71
24576,cpu,6,5.132976,5.127221,0.005755,10.277008,0.000000,2393.93
36864,cpu,6,5.477214,5.471718,0.005496,10.340565,0.000000,2243.48
49152,cpu,6,4.841993,4.835743,0.006250,10.363364,0.000000,2537.80
61440,cpu,6,6.521026,6.515990,0.005036,10.344076,1.810510,1884.37
73728,cpu,6,4.741235,4.735429,0.005806,10.333220,0.000000,2591.73
86016,cpu,6,5.104471,5.097409,0.007062,10.407804,0.000000,2407.30
98304,cpu,6,4.792210,4.786553,0.005657,10.411232,0.000000,2564.16
110592,cpu,6,4.783666,4.777889,0.005777,10.215700,0.000000,2568.74
122880,cpu,6,5.431467,5.425860,0.005606,10.208042,0.757264,2262.37
135168,cpu,6,4.740820,4.735105,0.005715,10.210646,0.000000,2591.96
147456,cpu,6,4.798639,4.793013,0.005626,10.206130,0.000000,2560.73
159744,cpu,6,4.883743,4.878106,0.005637,10.232190,0.000000,2516.10
172032,cpu,6,4.873357,4.867654,0.005703,10.302938,0.000000,2521.47
184320,cpu,6,5.524591,5.518574,0.006017,10.251870,0.734567,2224.24
196608,cpu,6,4.889429,4.883651,0.005778,10.230643,0.000000,2513.18
208896,cpu,6,4.877358,4.871416,0.005942,10.227046,0.000000,2519.40
221184,cpu,6,4.716696,4.711084,0.005611,10.215929,0.000000,2605.21
233472,cpu,6,4.818846,4.812955,0.005891,10.319993,0.000000,2549.99
245760,cpu,6,5.438685,5.432593,0.006092,10.259591,0.760288,2259.37
258048,cpu,6,4.960867,4.955024,0.005843,10.305730,0.000000,2476.99
270336,cpu,6,4.814360,4.808576,0.005784,10.244858,0.000000,2552.36
282624,cpu,6,4.831708,4.826159,0.005549,10.235527,0.000000,2543.20
294912,cpu,6,4.900625,4.895025,0.005600,10.245181,0.000000,2507.44
307200,cpu,6,5.825937,5.819807,0.006130,10.269070,1.073929,2109.19
319488,cpu,6,4.695621,4.690052,0.005569,10.218803,0.000000,2616.91
331776,cpu,6,4.822009,4.816410,0.005599,10.388444,0.000000,2548.32
344064,cpu,6,4.914424,4.908590,0.005834,10.248530,0.000000,2500.39
356352,cpu,6,4.906475,4.900724,0.005751,10.278764,0.000000,2504.45
368640,cpu,6,5.742920,5.736986,0.005935,10.213670,1.025074,2139.68
380928,cpu,6,4.736695,4.730501,0.006194,10.235974,0.000000,2594.21
393216,cpu,6,4.602210,4.596113,0.006098,10.265933,0.000000,2670.02
405504,cpu,6,4.634512,4.628817,0.005695,10.287320,0.000000,2651.41
417792,cpu,6,4.780777,4.774716,0.006061,10.295153,0.000000,2570.29
430080,cpu,6,5.955184,5.949208,0.005975,10.406318,1.227611,2063.41
442368,cpu,6,4.807317,4.801750,0.005566,10.315430,0.000000,2556.10
454656,cpu,6,4.702161,4.696344,0.005816,10.330269,0.000000,2613.27
466944,cpu,6,5.966083,5.959984,0.006099,13.141131,0.000000,2059.64
479232,cpu,6,4.855419,4.849744,0.005675,11.997733,0.000000,2530.78
491520,cpu,6,35.680898,35.675155,0.005743,10.505975,30.734396,344.39
503808,cpu,6,4.750253,4.744599,0.005654,10.837564,0.000000,2586.81
516096,cpu,6,5.040853,5.035122,0.005731,10.588909,0.000000,2437.68
528384,cpu,6,4.830741,4.824959,0.005782,10.649283,0.000000,2543.71
540672,cpu,6,22.580334,22.575046,0.005289,10.596964,17.753228,544.19
552960,cpu,6,4.770054,4.764230,0.005825,10.656599,0.000000,2576.07
565248,cpu,6,4.787424,4.781427,0.005996,10.443744,0.000000,2566.72
577536,cpu,6,4.847253,4.841270,0.005983,10.740910,0.000000,2535.04
589824,cpu,6,4.759327,4.753405,0.005922,10.492103,0.000000,2581.88
602112,cpu,6,14.380357,14.374655,0.005702,10.446603,9.749468,854.50
614400,cpu,6,4.880470,4.874913,0.005558,10.580411,0.000000,2517.79
626688,cpu,6,4.746900,4.741288,0.005611,10.399651,0.000000,2588.64
638976,cpu,6,4.799724,4.793720,0.006004,10.393813,0.000000,2560.15
651264,cpu,6,4.887106,4.881463,0.005644,10.421697,0.000000,2514.37
663552,cpu,6,23.340077,23.334109,0.005968,10.452591,18.515580,526.48
675840,cpu,6,4.802369,4.796627,0.005742,10.454622,0.000000,2558.74
688128,cpu,6,4.774868,4.768833,0.006035,10.444415,0.000000,2573.47
700416,cpu,6,4.760873,4.755298,0.005575,10.609442,0.000000,2581.04
712704,cpu,6,4.775702,4.769621,0.006081,10.475989,0.000000,2573.03
724992,cpu,6,6.505844,6.499936,0.005909,10.502026,1.548165,1888.76
737280,cpu,6,4.979969,4.973940,0.006029,10.494151,0.000000,2467.49
749568,cpu,6,4.785579,4.779891,0.005688,10.539263,0.000000,2567.71
761856,cpu,6,4.941975,4.935950,0.006025,10.452843,0.000000,2486.46
774144,cpu,6,4.916249,4.909963,0.006285,10.432137,0.000000,2499.47
786432,cpu,6,6.322710,6.316981,0.005729,10.481171,1.547355,1943.47
