step,total_reward,action,level,levels_completed,x,y,vx,vy,goal_dist,first_completion_step,event,cause,potential,alignment,alive,patience,stall,coins,kills,win,time,death,grid_solid_mean,grid_solid_std,grid_solid_min,grid_solid_max,grid_hazard_mean,grid_hazard_std,grid_hazard_min,grid_hazard_max,grid_collectible_mean,grid_collectible_std,grid_collectible_min,grid_collectible_max,grid_dijkstra_mean,grid_dijkstra_std,grid_dijkstra_min,grid_dijkstra_max,scalar_mean,scalar_std,scalar_min,scalar_max,dijkstra_val,obs_warnings
22,0.0019221572,IDLE+JUMP,Mario1-1,0,3.0,13.011284722222221,0.0,0.6770833333333334,192.0000003316275,-1,,,0.0014521572589874354,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
44,0.0019221572,IDLE+JUMP,Mario1-1,0,3.0,13.0,0.0,0.0,192.0,-1,,,0.0014521572589874354,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
66,0.0019412097,LEFT+JUMP,Mario1-1,0,2.984375,12.696284722222222,-0.9375,-18.22291666666667,192.01586519637013,-1,,,0.001471209704875942,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
88,0.0019412097,IDLE+JUMP,Mario1-1,0,2.970920138888889,12.4025,-0.8072916666666666,-17.62708333333334,192.02950168803488,-1,,,0.001471209704875942,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
110,0.0019412097,RIGHT,Mario1-1,0,2.9613715277777777,12.12,-0.5729166666666666,-16.950000000000006,192.03866596467546,-1,,,0.001471209704875942,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
132,0.001957238,LEFT+JUMP,Mario1-1,0,2.9479166666666665,11.847430555555555,-0.8072916666666666,-16.354166666666675,192.05214393520578,-1,,,0.0014872378706932087,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
154,0.001957238,SPRINT_L+JUMP,Mario1-1,0,2.9305121527777778,11.584791666666666,-1.0442708333333333,-15.758333333333342,192.0699366372945,-1,,,0.0014872378706932087,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
176,0.001957238,SPRINT_R+JUMP,Mario1-1,0,2.9170572916666666,11.332083333333333,-0.8072916666666666,-15.162500000000009,192.08322976989203,-1,,,0.0014872378706932087,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
198,0.001957238,IDLE+JUMP,Mario1-1,0,2.9057725694444443,11.089305555555555,-0.6770833333333333,-14.566666666666675,192.09424818985147,-1,,,0.0014872378706932087,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
220,0.0019744758,LEFT,Mario1-1,0,2.890581597222222,10.8578125,-0.9114583333333333,-13.889583333333341,192.10947102196366,-1,,,0.0015044758915901124,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
242,0.0019744758,SPRINT_L,Mario1-1,0,2.871440972222222,10.637604166666666,-1.1484375,-13.212500000000007,192.12890080576193,-1,,,0.0015044758915901124,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
264,0.0019744758,IDLE+JUMP,Mario1-1,0,2.854470486111111,10.427326388888888,-1.0182291666666667,-12.616666666666674,192.14600469438702,-1,,,0.0015044758915901124,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
286,0.0019744758,LEFT+JUMP,Mario1-1,0,2.83359375,10.226979166666666,-1.2526041666666667,-12.020833333333341,192.16654029924706,-1,,,0.0015044758915901124,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
308,0.0019744758,SPRINT_L,Mario1-1,0,2.808767361111111,10.037916666666666,-1.4895833333333335,-11.343750000000007,192.19123637910528,-1,,,0.0015044758915901124,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
330,0.0019917137,SPRINT_L+JUMP,Mario1-1,0,2.779991319444444,9.858784722222222,-1.7265625000000002,-10.747916666666674,192.2200605527621,-1,,,0.0015217137336731024,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
352,0.0019917137,RIGHT,Mario1-1,0,2.7551215277777774,9.690937499999999,-1.4921875000000002,-10.07083333333334,192.24512690424274,-1,,,0.0015217137336731024,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
374,0.0019917137,SPRINT_R,Mario1-1,0,2.7342013888888883,9.534374999999999,-1.2552083333333335,-9.393750000000006,192.26636243037666,-1,,,0.0015217137336731024,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
396,0.0019917137,SPRINT_L+JUMP,Mario1-1,0,2.7093315972222216,9.387743055555555,-1.4921875000000002,-8.797916666666673,192.2910593331478,-1,,,0.0015217137336731024,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
418,0.0019917137,SPRINT_L,Mario1-1,0,2.6805121527777773,9.252395833333333,-1.729166666666667,-8.120833333333339,192.31965346649974,-1,,,0.0015217137336731024,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
440,0.0019917137,RIGHT+JUMP,Mario1-1,0,2.655598958333333,9.128333333333332,-1.494791666666667,-7.443750000000006,192.34444385404518,-1,,,0.0015217137336731024,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
462,0.0019917137,LEFT+JUMP,Mario1-1,0,2.6267795138888888,9.015555555555554,-1.729166666666667,-6.766666666666673,192.3732211150326,-1,,,0.0015217137336731024,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
484,0.0020089515,LEFT,Mario1-1,0,2.5940538194444445,8.914062499999998,-1.963541666666667,-6.08958333333334,192.40596537240924,-1,,,0.0015389515757560756,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
506,0.0020089515,RIGHT,Mario1-1,0,2.565234375,8.823854166666665,-1.729166666666667,-5.412500000000007,192.4348462428343,-1,,,0.0015389515757560756,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
528,0.0020089515,LEFT,Mario1-1,0,2.532508680555556,8.744930555555554,-1.963541666666667,-4.735416666666674,192.46766033602088,-1,,,0.0015389515757560756,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
550,0.0020089515,RIGHT+JUMP,Mario1-1,0,2.5036892361111116,8.677291666666665,-1.729166666666667,-4.058333333333341,192.49658126412552,-1,,,0.0015389515757560756,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
572,0.0020089515,RIGHT+JUMP,Mario1-1,0,2.4787760416666673,8.620937499999998,-1.494791666666667,-3.381250000000007,192.52159713339606,-1,,,0.0015389515757560756,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
594,0.0020089515,SPRINT_L+JUMP,Mario1-1,0,2.449913194444445,8.575868055555555,-1.7317708333333337,-2.7041666666666737,192.55055392476356,-1,,,0.0015389515757560756,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
616,0.0020089515,RIGHT,Mario1-1,0,2.4249565972222227,8.542083333333332,-1.4973958333333337,-2.0270833333333402,192.5755878330775,-1,,,0.0015389515757560756,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
638,0.0020089515,SPRINT_L+JUMP,Mario1-1,0,2.3960503472222228,8.519583333333332,-1.7343750000000004,-1.3500000000000068,192.6045488092723,-1,,,0.0015389515757560756,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
660,0.0020089515,LEFT,Mario1-1,0,2.363237847222223,8.508368055555554,-1.9687500000000004,-0.6729166666666734,192.63738950337412,-1,,,0.0015389515757560756,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
682,0.0020089515,RIGHT,Mario1-1,0,2.334331597222223,8.508437499999998,-1.7343750000000004,0.0041666666666599905,192.6662954820602,-1,,,0.0015389515757560756,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
704,0.0020089515,RIGHT,Mario1-1,0,2.309331597222223,8.525868055555554,-1.5000000000000004,1.0458333333333267,192.69125172308682,-1,,,0.0015389515757560756,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
726,0.002725792,SPRINT_R,Mario1-1,0,2.2882812500000007,8.560659722222221,-1.2630208333333337,2.0874999999999932,192.7122195488879,-1,,,0.0015389515757560756,0.0007168403720190002,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
748,0.0033617169,RIGHT,Mario1-1,0,2.2711371527777784,8.612812499999999,-1.0286458333333337,3.12916666666666,192.72925177186661,-1,,,0.0015389515757560756,0.0013527653117214756,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
770,0.0036959813,RIGHT,Mario1-1,0,2.257899305555556,8.682326388888887,-0.7942708333333337,4.170833333333327,192.74236248585976,-1,,,0.0015389515757560756,0.0016870297108544207,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
792,0.0038451785,IDLE,Mario1-1,0,2.2468315972222226,8.769201388888886,-0.6640625000000003,5.212499999999994,192.75330657944238,-1,,,0.0015389515757560756,0.0018362269478265358,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
814,0.003979882,RIGHT,Mario1-1,0,2.239670138888889,8.873437499999998,-0.42968750000000033,6.254166666666661,192.76037141028436,-1,,,0.0015389515757560756,0.001970930549763796,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
836,0.0040414846,IDLE+JUMP,Mario1-1,0,2.2346788194444445,8.99503472222222,-0.29947916666666696,7.295833333333328,192.76532124450375,-1,,,0.0015389515757560756,0.0020325328210241884,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
858,0.004097073,SPRINT_R,Mario1-1,0,2.233637152777778,9.133993055555553,-0.0625000000000003,8.337499999999995,192.76640941690508,-1,,,0.0015217137336731024,0.002105359238730004,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
880,0.004113034,IDLE,Mario1-1,0,2.233637152777778,9.290312499999997,0.0,9.379166666666661,192.7665814571981,-1,,,0.0015217137336731024,0.0021213203435596424,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
902,0.004113034,IDLE,Mario1-1,0,2.233637152777778,9.463993055555553,0.0,10.420833333333327,192.7669212673755,-1,,,0.0015217137336731024,0.0021213203435596424,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
924,0.004069225,LEFT+JUMP,Mario1-1,0,2.229730902777778,9.65503472222222,-0.234375,11.462499999999993,192.77057775723537,-1,,,0.0015217137336731024,0.002077511230803617,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
946,0.004113034,RIGHT+JUMP,Mario1-1,0,2.229730902777778,9.863437499999998,0.0,12.50416666666666,192.77031746908514,-1,,,0.0015217137336731024,0.0021213203435596424,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
968,0.004095796,IDLE+JUMP,Mario1-1,0,2.229730902777778,10.089201388888887,0.0,13.545833333333325,192.77028973548607,-1,,,0.0015044758915901124,0.0021213203435596424,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
990,0.004129601,RIGHT+JUMP,Mario1-1,0,2.233637152777778,10.332326388888886,0.234375,14.587499999999991,192.76664930992519,-1,,,0.0015044758915901124,0.00215512510637614,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1012,0.004158779,SPRINT_R+JUMP,Mario1-1,0,2.2414930555555554,10.592812499999997,0.47135416666666663,15.629166666666658,192.7589370200811,-1,,,0.0015044758915901124,0.002184303314251891,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1034,0.004125734,LEFT,Mario1-1,0,2.245442708333333,10.87065972222222,0.23697916666666663,16.670833333333324,192.75460068598585,-1,,,0.0015044758915901124,0.0021512579851376717,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1056,0.0040788795,LEFT+JUMP,Mario1-1,0,2.2454861111111106,11.157118055555554,0.0026041666666666297,17.1875,192.75457792391143,-1,,,0.0014872378706932087,0.002121641731379813,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1078,0.004078558,IDLE,Mario1-1,0,2.2454861111111106,11.443576388888888,0.0,17.1875,192.75502427836904,-1,,,0.0014872378706932087,0.0021213203435596424,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1100,0.0040491107,SPRINT_L,Mario1-1,0,2.241536458333333,11.730034722222221,-0.23697916666666666,17.1875,192.7586525896963,-1,,,0.0014872378706932087,0.002091873006853473,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1122,0.0040493114,IDLE+JUMP,Mario1-1,0,2.2397569444444443,12.016493055555555,-0.10677083333333331,17.1875,192.76024376114938,-1,,,0.001471209704875942,0.002108101768550234,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1144,0.0040782206,RIGHT+JUMP,Mario1-1,0,2.2418836805555555,12.30295138888889,0.12760416666666669,17.1875,192.75835438850504,-1,,,0.001471209704875942,0.002137010645515065,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1166,0.00406253,IDLE+JUMP,Mario1-1,0,2.2418836805555555,12.589409722222223,0.0,17.1875,192.75855361409174,-1,,,0.001471209704875942,0.0021213203435596424,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1188,0.004091257,RIGHT+JUMP,Mario1-1,0,2.2457899305555555,12.875868055555557,0.234375,17.1875,192.7542500393575,-1,,,0.001471209704875942,0.0021500475473307597,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1210,0.0019282056,SPRINT_R,Mario1-1,0,2.253645833333333,13.0,0.47135416666666663,0.0,192.74635416666666,-1,,,0.001458205640316018,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1232,0.0019412097,LEFT,Mario1-1,0,2.244140625,12.69763888888889,-0.5703125000000001,-18.14166666666667,192.75609652002265,-1,,,0.001471209704875942,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1254,0.0019412097,RIGHT,Mario1-1,0,2.238541666666667,12.4065625,-0.3359375000000001,-17.464583333333337,192.76188708315712,-1,,,0.001471209704875942,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1276,0.0019412097,RIGHT,Mario1-1,0,2.2368489583333337,12.126770833333333,-0.10156250000000011,-16.787500000000005,192.7631927271298,-1,,,0.001471209704875942,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1298,0.001957238,SPRINT_R,Mario1-1,0,2.239105902777778,11.858263888888889,0.13541666666666655,-16.110416666666673,192.76094620613824,-1,,,0.0014872378706932087,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1320,0.001957238,SPRINT_R,Mario1-1,0,2.2453125000000003,11.601041666666667,0.3723958333333332,-15.433333333333339,192.75510037603254,-1,,,0.0014872378706932087,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1342,0.001957238,LEFT,Mario1-1,0,2.2476128472222223,11.355104166666667,0.1380208333333332,-14.756250000000005,192.75271425342763,-1,,,0.0014872378706932087,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1364,0.001957238,SPRINT_L,Mario1-1,0,2.245963541666667,11.120451388888888,-0.09895833333333345,-14.079166666666671,192.75407409317597,-1,,,0.0014872378706932087,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,-3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
