persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
experienced,mario,Mario1-1,OOB,2,0,-199.65,0.0,"[(112.0, 432.0), (104.9, 371.0), (89.4, 319.9), (65.9, 290.4), (34.4, 284.2), (-4.4, 309.5), (-44.4, 370.0)]",0,0.83
experienced,mario,Mario1-1,Enemy,0,0,0.0,0.014,"[(112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0)]",0,2.3
experienced,mario,Mario1-1,Stuck,17,0,76.62,0.147,"[(112.0, 432.0), (119.1, 371.9), (127.6, 324.5), (128.1, 300.2), (120.6, 300.2), (105.1, 333.7), (83.1, 400.3), (67.2, 432.0), (82.4, 432.0), (119.1, 364.4), (158.8, 319.8), (197.6, 298.4), (229.1, 302.1), (255.1, 340.1), (287.6, 409.1), (326.8, 387.0), (366.8, 333.8), (402.3, 303.7), (429.8, 297.0), (449.3, 321.7), (464.6, 381.6), (487.8, 412.9), (521.3, 369.3), (561.0, 396.6), (601.0, 412.9), (641.0, 369.3), (681.0, 396.6), (721.0, 412.9), (761.0, 369.3), (801.0, 396.6), (841.0, 412.9), (881.0, 351.1), (916.5, 312.3), (944.0, 296.7), (963.7, 308.2), (985.5, 355.1), (1014.0, 427.4), (1052.7, 432.4), (1092.7, 432.4), (1132.7, 432.4), (1172.7, 432.4), (1200.4, 364.7), (1205.4, 320.2), (1204.9, 298.8), (1196.4, 302.4), (1179.9, 340.4), (1164.4, 409.5), (1159.0, 386.6), (1163.0, 332.4), (1165.9, 301.3), (1160.9, 293.3), (1147.8, 315.4), (1129.3, 373.0), (1117.6, 422.3), (1117.0, 357.5), (1121.9, 315.9), (1120.3, 297.4), (1110.7, 304.9), (1095.6, 347.3), (1087.0, 418.3), (1094.6, 432.0), (1130.2, 432.0), (1170.2, 432.0), (1200.5, 422.6), (1201.1, 357.9), (1207.1, 316.3), (1206.6, 297.7), (1198.1, 305.2), (1181.9, 347.7), (1167.6, 418.6), (1157.0, 378.6), (1154.7, 327.2), (1149.6, 299.0), (1136.5, 294.1), (1115.5, 320.6), (1090.2, 382.2), (1073.0, 412.9), (1066.4, 351.1), (1064.0, 312.3), (1054.4, 296.7), (1036.8, 308.2), (1011.9, 355.1), (991.3, 427.4), (981.7, 371.6), (980.6, 324.1), (986.6, 299.8), (988.5, 299.8), (985.1, 333.4), (981.9, 399.9), (988.2, 395.3), (1004.1, 339.2), (1022.6, 306.2), (1033.5, 296.4), (1036.3, 316.6), (1033.6, 372.4), (1037.8, 432.4), (1055.7, 364.7), (1080.0, 320.2), (1098.8, 298.8), (1109.7, 302.4), (1112.5, 340.4), (1116.3, 409.5), (1133.8, 432.4)]",0,13.7
experienced,mario,Mario1-1,OOB,0,0,-259.62,0.0,"[(112.0, 432.0), (97.0, 432.0), (58.2, 432.0), (18.2, 432.0), (-21.8, 433.3)]",0,0.65
experienced,mario,Mario1-1,OOB,1,0,-98.64,0.0,"[(112.0, 432.0), (114.7, 371.0), (110.7, 319.9), (105.2, 290.4), (92.8, 284.2), (73.2, 309.5), (56.3, 370.0), (34.6, 422.3), (13.7, 356.0), (-12.1, 310.0), (-31.4, 286.3), (-42.6, 286.9), (-47.4, 321.0)]",0,1.63
experienced,mario,Mario1-1,OOB,2,0,-199.65,0.0,"[(112.0, 432.0), (104.9, 371.3), (89.4, 322.8), (65.9, 297.5), (34.4, 295.8), (-4.4, 326.8), (-44.4, 391.7)]",0,0.83
experienced,mario,Mario1-1,Enemy,3,0,282.76,0.075,"[(112.0, 432.0), (127.0, 432.0), (163.4, 371.4), (203.4, 322.4), (243.4, 296.4), (283.0, 294.0), (322.1, 324.3), (362.1, 388.7), (402.1, 405.0), (442.1, 381.5), (482.1, 382.4), (522.1, 416.8), (562.1, 432.4), (597.1, 432.0)]",0,1.73
experienced,mario,Mario1-1,Enemy,0,0,245.69,0.028,"[(112.0, 432.0), (127.0, 432.0), (165.8, 432.0), (205.8, 432.0)]",0,0.48
experienced,mario,Mario1-1,Enemy,0,0,245.69,0.028,"[(112.0, 432.0), (127.0, 432.0), (165.8, 432.0), (205.8, 432.0)]",0,0.48
experienced,mario,Mario1-1,Stuck,14,0,83.97,0.111,"[(112.0, 432.0), (127.0, 432.0), (165.4, 371.3), (204.7, 322.8), (241.1, 297.5), (273.0, 295.8), (300.5, 326.8), (323.6, 391.7), (344.9, 394.6), (365.3, 374.1), (380.8, 378.6), (392.5, 417.4), (407.2, 382.4), (418.7, 370.6), (425.8, 387.2), (431.3, 399.9), (437.3, 373.5), (438.8, 370.9), (438.8, 400.9), (445.6, 432.4), (478.7, 432.4), (518.7, 395.7), (555.6, 372.8), (584.8, 409.0), (617.8, 432.0), (656.1, 379.1), (689.4, 378.5), (716.4, 423.0), (739.1, 378.7), (755.1, 377.6), (765.5, 420.0), (777.2, 378.7), (787.9, 377.8), (795.3, 421.9), (810.5, 378.8), (824.9, 378.5), (836.0, 423.6), (858.1, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0), (880.5, 432.0)]",0,10.02
