persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
speedrunner,mario,Mario1-2,Stuck,26,0,74.0,0.172,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.7, 353.8), (168.2, 314.5), (185.7, 260.9), (209.6, 228.5), (228.0, 219.2), (238.2, 240.0), (249.5, 296.4), (263.0, 368.0), (274.1, 299.9), (291.8, 254.4), (316.6, 231.3), (341.4, 232.4), (361.6, 194.6), (386.4, 139.1), (419.3, 106.6), (460.3, 97.2), (509.1, 117.9), (556.7, 174.2), (608.5, 247.5), (661.2, 294.3), (709.3, 228.0), (761.7, 183.1), (814.3, 160.4), (866.8, 162.0), (919.0, 197.2), (944.0, 264.7), (944.0, 338.1), (944.0, 331.2), (945.3, 272.9), (948.4, 285.4), (947.2, 333.9), (944.0, 331.2), (945.3, 272.9), (948.8, 285.4), (951.6, 333.9), (946.6, 323.2), (944.0, 305.5), (944.0, 313.9), (944.0, 357.2), (944.0, 314.7), (946.7, 272.3), (957.3, 294.2), (970.7, 351.6), (973.7, 314.7), (973.0, 272.3), (979.0, 294.2), (986.4, 351.6), (991.4, 314.5), (991.5, 272.4), (991.5, 295.2), (991.5, 353.6), (991.1, 314.7), (988.7, 272.4), (988.6, 295.2), (988.6, 353.6), (988.3, 314.7), (985.8, 272.4), (985.8, 295.2), (985.8, 353.6), (985.4, 314.7), (982.9, 272.4), (982.9, 295.2), (982.9, 353.6), (982.5, 314.7), (980.1, 272.4), (980.1, 295.2), (980.1, 353.6), (979.7, 314.7), (977.2, 272.4), (977.2, 295.2), (977.2, 353.6), (976.8, 314.7), (975.6, 272.3), (978.0, 294.2), (978.0, 351.6), (977.7, 314.7), (975.8, 272.3), (976.4, 294.5), (976.4, 352.3), (976.0, 314.7), (974.8, 272.3), (978.4, 294.2), (978.8, 351.6), (978.5, 314.7), (976.0, 272.4)]",0,11.63
speedrunner,mario,Mario1-2,Stuck,25,0,5.48,0.029,"[(112.0, 208.0), (116.5, 226.4), (126.3, 280.4), (139.1, 353.8), (158.6, 314.7), (176.6, 261.5), (191.5, 229.5), (198.3, 220.5), (197.0, 241.7), (189.2, 298.4), (185.4, 368.0), (184.1, 300.2), (187.7, 254.9), (185.9, 232.0), (175.9, 233.4), (157.9, 268.4), (138.0, 335.8), (125.2, 331.2), (117.7, 272.9), (111.4, 235.3), (106.5, 220.6), (109.0, 233.1), (109.0, 280.9), (108.0, 353.4), (104.5, 314.8), (106.4, 261.6), (109.2, 229.7), (118.2, 220.8), (135.2, 242.1), (154.2, 298.9), (172.0, 368.0), (180.9, 299.9), (194.8, 253.4), (203.1, 229.6), (203.4, 230.0), (195.5, 264.0), (184.9, 330.9), (177.1, 339.9), (166.1, 280.0), (159.5, 241.8), (157.4, 226.6), (157.4, 238.6), (154.1, 286.0), (152.9, 358.4), (151.4, 314.5), (148.2, 261.0), (142.3, 229.8), (139.2, 221.6), (144.1, 243.6), (148.4, 301.1), (146.1, 345.1), (139.5, 315.9), (140.2, 310.0), (147.4, 335.6), (149.2, 329.7), (142.8, 309.2), (137.4, 313.7), (140.2, 352.6), (150.3, 322.8), (158.9, 267.0), (165.7, 232.2), (164.3, 220.4), (154.9, 237.1), (138.2, 289.4), (125.8, 362.6), (120.6, 306.9), (121.0, 256.2), (119.5, 227.1), (124.7, 221.2), (137.7, 246.8), (152.4, 307.6)]",0,9.45
speedrunner,mario,Mario1-2,Stuck,1,0,5.56,0.025,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (141.7, 353.8), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0), (142.2, 368.0)]",0,5.43
speedrunner,mario,Mario1-2,Enemy,15,0,17.72,0.037,"[(112.0, 208.0), (112.3, 226.4), (118.8, 280.4), (124.6, 353.8), (134.8, 315.2), (141.6, 263.9), (151.2, 235.7), (168.9, 230.8), (190.9, 257.3), (205.6, 318.9), (219.5, 348.9), (242.9, 287.1), (262.0, 248.3), (272.9, 232.7), (275.8, 244.2), (271.1, 291.1), (265.1, 363.4), (270.0, 307.6), (280.9, 259.0), (287.2, 233.0), (285.4, 230.7), (275.6, 261.0), (258.4, 325.3), (246.8, 339.9), (238.3, 279.8), (227.1, 241.8), (216.6, 227.0), (198.1, 239.4), (171.7, 287.1), (148.0, 359.6), (144.4, 368.0), (173.0, 368.0), (196.6, 368.0), (203.9, 315.0), (207.0, 262.4), (202.1, 231.1), (189.1, 222.9), (168.8, 244.7), (152.7, 302.1), (144.8, 368.0), (159.0, 368.0), (196.8, 368.0)]",0,5.53
speedrunner,mario,Mario1-2,Stuck,1,0,9.11,0.029,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.7, 353.8), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0), (162.4, 368.0)]",0,5.53
speedrunner,mario,Mario1-2,Stuck,15,0,0.19,0.019,"[(112.0, 208.0), (107.5, 226.4), (94.8, 280.4), (79.4, 353.8), (64.4, 314.7), (56.4, 261.5), (55.5, 229.5), (61.7, 220.5), (66.8, 241.7), (65.4, 298.4), (68.0, 368.0), (75.2, 299.5), (84.7, 251.3), (88.7, 225.1), (84.5, 222.5), (72.3, 252.5), (55.8, 316.8), (49.1, 349.0), (55.2, 285.5), (66.6, 242.6), (85.4, 222.1), (99.9, 226.7), (106.2, 265.6), (110.1, 335.1), (111.1, 331.2), (112.4, 272.9), (113.9, 235.3), (107.3, 220.6), (92.6, 233.1), (70.1, 280.9), (50.2, 353.4), (52.3, 314.7), (59.9, 261.5), (75.4, 229.5), (93.6, 220.5), (104.1, 241.7), (107.9, 298.4), (110.2, 368.0), (111.1, 299.5), (114.1, 251.3), (111.6, 225.1), (101.0, 222.5), (82.3, 252.5), (59.3, 316.8), (49.1, 349.0), (55.2, 285.5), (62.9, 242.6), (70.2, 222.1), (76.6, 226.7), (74.9, 265.6), (72.2, 335.1), (74.7, 331.2), (83.4, 272.9), (88.9, 235.3), (86.4, 220.6), (75.8, 233.1), (57.3, 280.9), (48.8, 353.4), (56.3, 314.7), (66.9, 261.5), (85.1, 229.5), (100.6, 220.5), (108.0, 241.7)]",0,8.37
speedrunner,mario,Mario1-2,Pit,40,0,221.61,0.463,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (143.1, 353.8), (163.2, 314.5), (192.2, 261.2), (229.2, 229.9), (271.4, 221.7), (309.8, 240.0), (359.1, 240.0), (410.7, 186.6), (463.8, 134.7), (517.1, 104.8), (569.2, 98.1), (621.9, 122.9), (674.5, 183.0), (727.7, 256.3), (753.3, 219.4), (761.7, 169.4), (769.7, 142.6), (773.4, 139.4), (773.6, 168.9), (776.2, 232.7), (789.5, 179.9), (806.3, 132.7), (826.2, 107.7), (840.0, 106.3), (846.6, 137.7), (849.1, 202.8), (857.9, 211.8), (875.6, 151.5), (894.9, 112.3), (921.3, 95.7), (943.4, 105.2), (963.1, 149.6), (986.0, 198.3), (1015.7, 132.6), (1047.5, 88.4), (1072.7, 87.4), (1090.6, 128.0), (1112.7, 198.3), (1143.0, 271.6), (1181.3, 344.9), (1222.6, 322.2), (1270.9, 307.4), (1324.2, 319.9), (1376.1, 367.6), (1426.3, 323.0), (1478.5, 310.7), (1527.9, 348.7), (1580.0, 324.1), (1633.4, 309.3), (1686.7, 321.7), (1712.0, 368.0), (1712.0, 299.9), (1712.0, 253.8), (1713.3, 229.9), (1721.9, 230.3), (1740.1, 208.0), (1767.9, 224.9), (1801.9, 203.5), (1833.5, 147.2), (1839.9, 113.6), (1836.3, 103.1), (1825.5, 121.1), (1818.6, 174.6), (1816.6, 248.0), (1821.2, 321.3), (1833.8, 337.6), (1854.6, 314.1), (1883.4, 315.0), (1920.3, 349.4), (1962.3, 314.4), (2004.7, 305.3), (2054.8, 332.6), (2107.4, 348.9), (2160.1, 305.3), (2213.2, 331.2), (2266.0, 358.6), (2318.6, 304.3), (2371.9, 325.3), (2425.3, 358.3), (2477.9, 304.4), (2530.4, 325.7), (2583.8, 381.8)]",0,11.3
speedrunner,mario,Mario1-2,Enemy,29,0,14.27,0.034,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (142.9, 353.8), (156.9, 314.5), (168.1, 260.9), (181.7, 228.5), (189.7, 219.2), (189.7, 240.0), (182.2, 296.4), (176.1, 368.0), (175.9, 299.3), (176.1, 251.0), (175.9, 225.2), (175.9, 223.1), (175.9, 253.6), (175.9, 318.1), (176.1, 349.0), (176.1, 286.5), (176.1, 245.1), (176.1, 226.6), (176.1, 234.2), (176.1, 276.7), (176.1, 347.6), (176.1, 323.2), (176.1, 268.3), (176.2, 234.9), (181.7, 224.4), (195.4, 242.4), (208.2, 296.1), (215.7, 368.0), (216.7, 300.4), (215.9, 255.8), (208.4, 234.4), (192.7, 238.1), (169.7, 276.1), (148.9, 345.1), (135.0, 323.0), (127.1, 267.9), (125.6, 233.8), (132.2, 222.6), (146.9, 240.0), (169.1, 293.0), (189.8, 366.3)]",0,5.77
speedrunner,mario,Mario1-2,Stuck,23,0,5.47,0.026,"[(112.0, 208.0), (111.5, 226.4), (111.6, 280.4), (110.8, 353.8), (114.4, 314.5), (125.0, 261.1), (136.4, 228.8), (151.4, 219.7), (159.9, 240.6), (161.0, 297.1), (160.5, 368.0), (162.1, 300.2), (166.2, 254.0), (167.4, 230.4), (160.8, 231.2), (147.4, 265.5), (134.5, 332.5), (129.1, 331.2), (132.8, 272.9), (139.2, 235.3), (148.1, 220.6), (151.5, 233.1), (147.0, 280.9), (142.1, 353.4), (143.2, 314.9), (151.3, 262.3), (158.6, 232.0), (158.7, 224.7), (150.7, 247.5), (137.2, 305.9), (129.0, 358.3), (130.2, 292.4), (137.5, 246.8), (145.4, 223.4), (150.3, 224.3), (148.3, 258.8), (149.2, 325.9), (149.4, 339.9), (150.4, 279.9), (151.7, 241.6), (145.1, 226.4), (136.8, 238.4), (129.7, 285.7), (129.5, 358.1), (134.4, 314.7), (146.3, 261.5), (156.6, 230.5), (159.3, 222.6), (154.2, 244.8), (149.8, 302.6)]",0,6.63
speedrunner,mario,Mario1-2,Stuck,23,0,13.48,0.035,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (146.2, 353.8), (156.5, 314.8), (165.8, 262.9), (175.1, 232.3), (189.6, 224.8), (211.9, 247.3), (232.9, 305.4), (250.5, 358.3), (259.1, 292.4), (261.6, 248.3), (259.4, 226.6), (259.3, 230.1), (257.4, 267.8), (252.1, 336.7), (245.4, 331.2), (239.3, 273.3), (232.2, 237.5), (217.0, 224.5), (196.2, 240.1), (182.0, 291.2), (174.6, 364.2), (173.5, 307.2), (176.5, 257.9), (185.0, 230.1), (201.6, 225.7), (222.4, 252.7), (236.5, 314.6), (245.3, 349.0), (252.0, 285.7), (252.5, 244.3), (245.2, 225.6), (229.7, 232.8), (206.1, 275.1), (183.0, 345.9), (166.2, 322.8), (155.5, 267.6), (150.8, 233.5), (153.4, 222.3), (164.1, 239.7), (177.9, 292.7), (194.0, 366.0), (209.4, 331.0), (218.2, 319.1), (219.0, 335.8), (216.6, 326.6), (209.0, 306.1)]",0,6.52
