persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
experienced,meatboy,10,Stuck,1,0,-6.01,0.039,"[(73.0, 653.0), (47.8, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3)]",0,5.02
experienced,meatboy,10,Stuck,3,0,24.88,0.195,"[(73.0, 653.0), (98.2, 659.3), (138.2, 605.9), (150.3, 596.5), (150.3, 605.9), (155.3, 634.2), (191.2, 659.0), (206.2, 659.9), (206.2, 659.3), (206.2, 659.0), (206.2, 659.9), (206.2, 659.3), (206.2, 659.0), (206.2, 659.9), (206.2, 659.3), (206.2, 659.0), (206.2, 659.9), (206.2, 659.3), (206.2, 659.0), (206.2, 659.9), (206.2, 659.3), (206.2, 659.0), (206.2, 659.9), (206.2, 659.3), (206.2, 659.0), (206.2, 659.9), (206.2, 659.3), (206.2, 659.0), (206.2, 659.9), (206.2, 659.3), (206.2, 659.0), (206.2, 659.9), (206.2, 659.3), (206.2, 659.0), (206.2, 659.9), (206.2, 659.3), (206.2, 659.0), (206.2, 659.9), (206.2, 659.3), (206.2, 659.0)]",0,5.27
experienced,meatboy,10,Stuck,1,0,-6.01,0.039,"[(73.0, 653.0), (47.8, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3)]",0,5.02
experienced,meatboy,10,Stuck,12,0,11.56,0.138,"[(73.0, 653.0), (63.9, 659.3), (83.8, 630.6), (123.6, 630.6), (163.1, 649.5), (171.4, 632.6), (169.3, 628.0), (169.3, 642.1), (150.9, 653.3), (134.3, 650.9), (118.2, 636.8), (116.0, 590.5), (151.0, 567.3), (151.0, 567.3), (120.7, 563.4), (48.9, 558.8), (56.2, 572.9), (96.2, 605.9), (134.6, 657.8), (158.8, 642.5), (158.8, 647.2), (146.2, 659.9), (146.2, 659.3), (146.2, 659.0), (146.2, 659.9), (146.2, 659.3), (146.2, 659.0), (146.2, 659.9), (146.2, 659.3), (146.2, 659.0), (146.2, 659.9), (146.2, 659.3), (146.2, 659.0), (146.2, 659.9), (146.2, 659.3), (146.2, 659.0), (146.2, 659.9), (146.2, 659.3), (146.2, 659.0), (146.2, 659.9), (146.2, 659.3), (146.2, 659.0), (146.2, 659.9), (146.2, 659.3), (146.2, 659.0), (146.2, 659.9), (146.2, 659.3), (146.2, 659.0), (146.2, 659.9), (146.2, 659.3)]",0,6.53
experienced,meatboy,10,Stuck,1,0,44.22,0.316,"[(73.0, 653.0), (98.2, 659.3), (138.2, 659.0), (178.2, 659.9), (218.2, 659.3), (258.2, 659.0), (298.2, 659.9), (332.2, 659.3), (333.2, 659.0), (333.2, 659.9), (333.2, 659.3), (333.2, 659.0), (333.2, 659.9), (333.2, 659.3), (333.2, 659.0), (333.2, 659.9), (333.2, 659.3), (333.2, 659.0), (333.2, 659.9), (333.2, 659.3), (333.2, 659.0), (333.2, 659.9), (333.2, 659.3), (333.2, 659.0), (333.2, 659.9), (333.2, 659.3), (333.2, 659.0), (333.2, 659.9), (333.2, 659.3), (333.2, 659.0), (333.2, 659.9), (333.2, 659.3), (333.2, 659.0), (333.2, 659.9), (333.2, 659.3), (333.2, 659.0), (333.2, 659.9), (333.2, 659.3), (333.2, 659.0), (333.2, 659.9), (333.2, 659.3), (333.2, 659.0), (333.2, 659.9), (333.2, 659.3), (333.2, 659.0)]",0,5.88
experienced,meatboy,10,Stuck,0,0,0.0,0.069,"[(73.0, 653.0), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3)]",0,5.02
experienced,meatboy,10,Stuck,1,0,0.0,0.069,"[(73.0, 653.0), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3)]",0,5.02
experienced,meatboy,10,Stuck,0,0,-6.01,0.039,"[(73.0, 653.0), (47.8, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3)]",0,5.02
experienced,meatboy,10,Stuck,0,0,-6.01,0.039,"[(73.0, 653.0), (47.8, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3)]",0,5.02
experienced,meatboy,10,Stuck,1,0,0.0,0.069,"[(73.0, 653.0), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3)]",0,5.02
