persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
novice,meatboy,6,Stuck,0,0,0.0,0.057,"[(73.0, 461.0), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3)]",0,5.02
novice,meatboy,6,Stuck,0,0,0.0,0.057,"[(73.0, 461.0), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3)]",0,5.02
novice,meatboy,6,Saw,2,0,291.68,0.463,"[(73.0, 461.0), (98.2, 467.3), (138.2, 467.0), (178.2, 467.9), (218.2, 467.3), (258.2, 467.0), (298.2, 467.9), (338.2, 452.8), (378.2, 436.4), (418.2, 443.5), (458.2, 467.0), (498.2, 459.6), (538.2, 436.2), (578.2, 441.0)]",0,1.78
novice,meatboy,6,Pit,0,0,-283.82,0.0,"[(73.0, 461.0), (47.8, 467.3), (7.8, 467.0), (-32.2, 471.4), (-72.2, 493.8), (-112.2, 535.0), (-152.2, 595.1)]",0,0.92
novice,meatboy,6,Stuck,1,0,-9.61,0.019,"[(73.0, 461.0), (47.8, 467.3), (26.1, 467.0), (47.8, 467.9), (23.7, 467.3), (47.6, 467.0), (27.8, 467.9), (39.5, 467.3), (37.3, 467.0), (31.3, 467.9), (44.0, 467.3), (26.1, 467.0), (47.8, 467.9), (23.7, 467.3), (47.6, 467.0), (27.8, 467.9), (39.5, 467.3), (37.3, 467.0), (31.3, 467.9), (44.0, 467.3), (26.1, 467.0), (47.8, 467.9), (23.7, 467.3), (47.6, 467.0), (27.8, 467.9), (39.5, 467.3), (37.3, 467.0), (31.3, 467.9), (44.0, 467.3), (26.1, 467.0), (47.8, 467.9), (23.7, 467.3), (47.6, 467.0), (27.8, 467.9), (39.5, 467.3), (37.3, 467.0), (31.3, 467.9), (44.0, 467.3)]",0,5.02
novice,meatboy,6,Pit,1,0,-283.82,0.0,"[(73.0, 461.0), (47.8, 467.3), (7.8, 467.0), (-32.2, 471.4), (-72.2, 493.8), (-112.2, 535.0), (-152.2, 595.1)]",0,0.92
novice,meatboy,6,Success,4,0,295.78,0.87,"[(73.0, 461.0), (98.2, 467.3), (138.2, 438.6), (178.2, 438.6), (218.2, 457.5), (258.2, 467.9), (298.2, 467.3), (338.2, 437.0), (378.2, 439.4), (418.2, 460.6), (458.2, 467.0), (498.2, 467.9), (538.2, 467.3), (578.2, 431.7), (618.2, 397.3), (658.2, 410.2), (698.2, 442.1), (738.2, 460.2), (778.2, 436.8), (818.2, 441.6), (858.2, 465.1), (898.2, 467.3), (938.2, 467.0), (978.2, 467.9), (1018.2, 467.3), (1058.2, 467.0), (1098.2, 467.9)]",0,3.52
novice,meatboy,6,Saw,0,0,291.68,0.463,"[(73.0, 461.0), (98.2, 467.3), (138.2, 467.0), (178.2, 467.9), (218.2, 467.3), (258.2, 467.0), (298.2, 467.9), (338.2, 467.3), (378.2, 467.0), (418.2, 467.9), (458.2, 467.3), (498.2, 467.0), (538.2, 467.9), (578.2, 467.3)]",0,1.78
novice,meatboy,6,Success,6,0,295.78,0.87,"[(73.0, 461.0), (98.2, 467.3), (138.2, 467.0), (178.2, 467.9), (218.2, 467.3), (258.2, 467.0), (298.2, 467.9), (338.2, 437.6), (378.2, 439.9), (418.2, 461.2), (458.2, 467.0), (498.2, 467.9), (538.2, 467.3), (578.2, 431.7), (618.2, 401.5), (658.2, 401.5), (698.2, 420.4), (738.2, 458.1), (778.2, 439.0), (818.2, 436.7), (858.2, 453.2), (898.2, 467.3), (938.2, 467.0), (978.2, 467.9), (1018.2, 467.3), (1058.2, 467.0), (1098.2, 467.9)]",0,3.52
novice,meatboy,6,Stuck,16,0,60.72,0.363,"[(73.0, 461.0), (98.2, 467.3), (138.2, 467.0), (178.2, 467.9), (218.2, 432.3), (258.2, 437.2), (298.2, 464.3), (338.2, 419.2), (377.7, 404.3), (415.9, 411.4), (453.9, 437.4), (487.4, 459.6), (525.6, 408.5), (535.6, 401.4), (503.5, 423.8), (467.2, 465.0), (475.1, 467.3), (514.7, 438.8), (537.6, 417.2), (515.3, 422.0), (477.6, 445.6), (464.8, 467.0), (501.7, 451.9), (533.0, 418.1), (521.9, 418.2), (483.5, 437.0), (452.4, 467.3), (479.6, 467.0), (519.4, 431.4), (537.1, 415.9), (510.1, 423.0), (473.1, 449.0), (467.9, 467.3), (506.6, 444.8), (534.0, 417.1), (517.1, 419.5), (478.9, 440.7), (453.4, 467.9), (484.5, 467.3), (524.0, 425.2), (536.0, 415.8), (505.1, 425.2), (468.8, 453.5), (471.8, 467.9), (511.4, 437.9), (534.3, 416.4), (512.0, 421.1), (473.7, 444.7), (455.0, 467.0)]",0,6.45
