persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
speedrunner,meatboy,5,Stuck,0,0,0.0,0.06,"[(73.0, 525.0), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3)]",0,5.02
speedrunner,meatboy,5,Stuck,0,0,0.0,0.06,"[(73.0, 525.0), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3), (73.0, 531.0), (73.0, 531.9), (73.0, 531.3)]",0,5.02
speedrunner,meatboy,5,Saw,1,0,540.61,0.305,"[(73.0, 525.0), (120.3, 531.3), (200.3, 531.0), (280.3, 531.9), (360.3, 506.6)]",0,0.55
speedrunner,meatboy,5,Pit,0,0,-557.39,0.0,"[(73.0, 525.0), (25.7, 531.3), (-54.3, 537.2), (-134.3, 561.9), (-214.3, 605.5), (-294.3, 667.9)]",0,0.77
speedrunner,meatboy,5,Stuck,1,0,-7.95,0.027,"[(73.0, 525.0), (25.7, 531.3), (13.8, 531.0), (33.0, 531.9), (32.0, 531.3), (32.2, 531.0), (32.4, 531.9), (32.7, 531.3), (32.9, 531.0), (33.1, 531.9), (33.3, 531.3), (30.9, 531.0), (31.1, 531.9), (31.3, 531.3), (31.6, 531.0), (31.8, 531.9), (32.0, 531.3), (32.2, 531.0), (32.4, 531.9), (32.7, 531.3), (32.9, 531.0), (33.1, 531.9), (33.3, 531.3), (30.9, 531.0), (31.1, 531.9), (31.3, 531.3), (31.6, 531.0), (31.8, 531.9), (32.0, 531.3), (32.2, 531.0), (32.4, 531.9), (32.7, 531.3), (32.9, 531.0), (33.1, 531.9), (33.3, 531.3), (30.9, 531.0), (31.1, 531.9), (31.3, 531.3)]",0,5.02
speedrunner,meatboy,5,Pit,1,0,-557.39,0.0,"[(73.0, 525.0), (25.7, 531.3), (-54.3, 537.2), (-134.3, 561.9), (-214.3, 605.5), (-294.3, 667.9)]",0,0.77
speedrunner,meatboy,5,Saw,1,0,540.61,0.305,"[(73.0, 525.0), (120.3, 531.3), (200.3, 531.0), (280.3, 531.9), (360.3, 501.9)]",0,0.55
speedrunner,meatboy,5,Saw,0,0,538.75,0.296,"[(73.0, 525.0), (120.3, 531.3), (200.3, 531.0), (280.3, 531.9), (360.3, 531.3)]",0,0.53
speedrunner,meatboy,5,Saw,2,0,538.75,0.296,"[(73.0, 525.0), (120.3, 531.3), (200.3, 531.0), (280.3, 531.9), (360.3, 514.5)]",0,0.53
speedrunner,meatboy,5,Stuck,0,0,4.68,0.08,"[(73.0, 525.0), (111.2, 531.3), (109.1, 531.0), (103.1, 531.9), (97.1, 531.3), (96.4, 531.0), (95.7, 531.9), (95.1, 531.3), (97.1, 531.0), (96.4, 531.9), (95.7, 531.3), (95.1, 531.0), (97.1, 531.9), (96.4, 531.3), (95.7, 531.0), (95.1, 531.9), (97.1, 531.3), (96.4, 531.0), (95.7, 531.9), (95.1, 531.3), (97.1, 531.0), (96.4, 531.9), (95.7, 531.3), (95.1, 531.0), (97.1, 531.9), (96.4, 531.3), (95.7, 531.0), (95.1, 531.9), (97.1, 531.3), (96.4, 531.0), (95.7, 531.9), (95.1, 531.3), (97.1, 531.0), (96.4, 531.9), (95.7, 531.3), (95.1, 531.0), (97.1, 531.9), (96.4, 531.3), (95.7, 531.0)]",0,5.1
speedrunner,meatboy,5,Saw,1,0,540.61,0.305,"[(73.0, 525.0), (120.3, 531.3), (200.3, 531.0), (280.3, 531.9), (360.3, 501.9)]",0,0.55
speedrunner,meatboy,5,Saw,1,0,540.61,0.305,"[(73.0, 525.0), (120.3, 531.3), (200.3, 531.0), (280.3, 531.9), (360.3, 506.6)]",0,0.55
speedrunner,meatboy,5,Saw,2,0,538.75,0.296,"[(73.0, 525.0), (120.3, 531.3), (200.3, 531.0), (280.3, 531.9), (360.3, 514.5)]",0,0.53
speedrunner,meatboy,5,Saw,0,0,538.75,0.296,"[(73.0, 525.0), (120.3, 531.3), (200.3, 531.0), (280.3, 531.9), (360.3, 531.3)]",0,0.53
speedrunner,meatboy,5,Saw,2,0,540.61,0.305,"[(73.0, 525.0), (120.3, 531.3), (200.3, 531.0), (280.3, 531.9), (360.3, 506.6)]",0,0.55
speedrunner,meatboy,5,Saw,0,0,538.75,0.296,"[(73.0, 525.0), (120.3, 531.3), (200.3, 531.0), (280.3, 531.9), (360.3, 531.3)]",0,0.53
speedrunner,meatboy,5,Stuck,1,0,4.62,0.079,"[(73.0, 525.0), (111.2, 531.3), (96.3, 531.0), (97.2, 531.9), (98.1, 531.3), (96.3, 531.0), (94.2, 531.9), (96.7, 531.3), (96.0, 531.0), (101.2, 531.9), (94.2, 531.3), (94.7, 531.0), (96.7, 531.9), (96.1, 531.3), (95.4, 531.0), (94.7, 531.9), (96.7, 531.3), (96.1, 531.0), (95.4, 531.9), (94.7, 531.3), (96.7, 531.0), (96.1, 531.9), (95.4, 531.3), (94.7, 531.0), (96.7, 531.9), (96.1, 531.3), (95.4, 531.0), (94.7, 531.9), (96.7, 531.3), (96.1, 531.0), (95.4, 531.9), (94.7, 531.3), (96.7, 531.0), (96.1, 531.9), (95.4, 531.3), (94.7, 531.0), (96.7, 531.9), (96.1, 531.3), (95.4, 531.0)]",0,5.1
speedrunner,meatboy,5,Saw,2,0,540.61,0.305,"[(73.0, 525.0), (120.3, 516.1), (200.3, 482.3), (280.3, 482.3), (360.3, 501.2)]",0,0.55
speedrunner,meatboy,5,Saw,1,0,538.18,0.303,"[(73.0, 525.0), (120.3, 531.3), (200.3, 531.0), (280.3, 531.9), (360.3, 501.9)]",0,0.55
speedrunner,meatboy,5,Stuck,1,0,-8.7,0.024,"[(73.0, 525.0), (69.0, 531.3), (58.0, 514.3), (52.3, 521.4), (44.8, 531.3), (30.5, 531.0), (29.3, 531.9), (29.3, 531.3), (29.3, 531.0), (29.3, 531.9), (29.3, 531.3), (29.3, 531.0), (29.3, 531.9), (29.3, 531.3), (29.3, 531.0), (29.3, 531.9), (29.3, 531.3), (29.3, 531.0), (29.3, 531.9), (29.3, 531.3), (29.3, 531.0), (29.3, 531.9), (29.3, 531.3), (29.3, 531.0), (29.3, 531.9), (29.3, 531.3), (29.3, 531.0), (29.3, 531.9), (29.3, 531.3), (29.3, 531.0), (29.3, 531.9), (29.3, 531.3), (29.3, 531.0), (29.3, 531.9), (29.3, 531.3), (29.3, 531.0), (29.3, 531.9), (29.3, 531.3)]",0,5.02
speedrunner,meatboy,5,Saw,1,0,538.18,0.303,"[(73.0, 525.0), (120.3, 531.3), (200.3, 531.0), (280.3, 531.9), (360.3, 501.9)]",0,0.55
speedrunner,meatboy,5,Saw,2,0,540.61,0.305,"[(73.0, 525.0), (120.3, 516.1), (200.3, 482.3), (280.3, 482.3), (360.3, 501.2)]",0,0.55
speedrunner,meatboy,5,Saw,2,0,540.61,0.305,"[(73.0, 525.0), (120.3, 531.3), (200.3, 531.0), (280.3, 531.9), (360.3, 506.6)]",0,0.55
speedrunner,meatboy,5,Saw,1,0,540.61,0.305,"[(73.0, 525.0), (120.3, 531.3), (200.3, 531.0), (280.3, 531.9), (360.3, 506.6)]",0,0.55
speedrunner,meatboy,5,Saw,2,0,538.75,0.296,"[(73.0, 525.0), (120.3, 516.1), (200.3, 499.7), (280.3, 506.8), (360.3, 531.0)]",0,0.53
speedrunner,meatboy,5,Saw,0,0,538.75,0.296,"[(73.0, 525.0), (120.3, 531.3), (200.3, 531.0), (280.3, 531.9), (360.3, 531.3)]",0,0.53
