persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,bricks_destroyed,elapsed_time
experienced,bomberman,0,Bomb,1,0,-0.93,0.045,"[(48.0, 48.0), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 49.9), (44.3, 64.8)]",0,0,4.0
experienced,bomberman,0,Bomb,1,0,-0.93,0.0,"[(48.0, 48.0), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3)]",0,0,4.0
experienced,bomberman,0,Bomb,1,0,-0.47,0.455,"[(48.0, 48.0), (44.3, 62.9), (44.3, 77.9), (44.3, 92.8), (44.3, 107.7), (44.3, 122.7), (44.3, 137.6), (44.3, 152.5), (44.3, 167.5), (44.3, 182.4), (44.3, 197.3), (44.3, 212.3), (44.3, 227.2), (44.3, 242.1), (44.3, 257.1), (44.3, 272.0), (44.3, 286.9), (44.3, 301.9), (44.3, 316.8), (44.3, 331.7), (44.3, 346.7), (44.3, 361.6), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8)]",0,0,8.0
experienced,bomberman,0,Bomb,1,0,48.53,0.545,"[(48.0, 48.0), (62.9, 44.3), (77.9, 44.3), (92.8, 44.3), (107.7, 44.3), (122.7, 44.3), (137.6, 44.3), (152.5, 44.3), (167.5, 44.3), (182.4, 44.3), (197.3, 44.3), (212.3, 44.3), (227.2, 44.3), (242.1, 44.3), (257.1, 44.3), (272.0, 44.3), (286.9, 44.3), (301.9, 44.3), (316.8, 44.3), (331.7, 44.3), (346.7, 44.3), (361.6, 44.3), (376.5, 44.3), (391.5, 44.3), (406.4, 44.3), (421.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3), (436.3, 44.3)]",0,0,8.0
experienced,bomberman,0,Stuck,3,0,-0.15,0.455,"[(48.0, 48.0), (44.3, 49.9), (44.3, 49.9), (44.3, 49.9), (44.3, 49.9), (44.3, 49.9), (44.3, 49.9), (44.3, 49.9), (44.3, 49.9), (44.3, 49.9), (44.3, 49.9), (44.3, 49.9), (44.3, 49.9), (44.3, 49.9), (44.3, 49.9), (44.3, 49.9), (44.3, 49.9), (44.3, 49.9), (44.3, 49.9), (44.3, 49.9), (44.3, 62.9), (44.3, 77.9), (44.3, 92.8), (44.3, 96.5), (44.3, 96.5), (44.3, 96.5), (44.3, 96.5), (44.3, 96.5), (44.3, 96.5), (44.3, 96.5), (44.3, 96.5), (44.3, 111.5), (44.3, 126.4), (44.3, 128.3), (44.3, 128.3), (44.3, 128.3), (44.3, 128.3), (44.3, 128.3), (44.3, 128.3), (44.3, 141.3), (44.3, 141.3), (44.3, 141.3), (44.3, 141.3), (44.3, 141.3), (44.3, 141.3), (44.3, 141.3), (44.3, 141.3), (44.3, 154.4), (44.3, 161.9), (44.3, 161.9), (44.3, 161.9), (44.3, 161.9), (44.3, 161.9), (44.3, 161.9), (44.3, 161.9), (44.3, 161.9), (44.3, 161.9), (44.3, 161.9), (44.3, 161.9), (44.3, 161.9), (44.3, 161.9), (44.3, 176.8), (44.3, 191.7), (44.3, 193.6), (44.3, 193.6), (44.3, 193.6), (44.3, 193.6), (44.3, 204.8), (44.3, 204.8), (44.3, 204.8), (44.3, 204.8), (44.3, 204.8), (44.3, 204.8), (44.3, 204.8), (44.3, 204.8), (44.3, 204.8), (44.3, 204.8), (44.3, 204.8), (44.3, 204.8), (44.3, 204.8), (44.3, 206.7), (44.3, 221.6), (44.3, 225.3), (44.3, 225.3), (44.3, 225.3), (44.3, 225.3), (44.3, 225.3), (44.3, 225.3), (44.3, 225.3), (44.3, 225.3), (44.3, 225.3), (44.3, 240.3), (44.3, 255.2), (44.3, 257.1), (44.3, 258.9), (44.3, 268.3), (44.3, 268.3), (44.3, 268.3), (44.3, 268.3), (44.3, 268.3), (44.3, 268.3), (44.3, 268.3), (44.3, 268.3), (44.3, 268.3), (44.3, 268.3), (44.3, 268.3), (44.3, 268.3), (44.3, 268.3), (44.3, 268.3), (44.3, 268.3), (44.3, 268.3), (44.3, 268.3), (44.3, 268.3), (44.3, 268.3), (44.3, 270.1), (44.3, 285.1), (44.3, 288.8), (44.3, 288.8), (44.3, 288.8), (44.3, 288.8), (44.3, 288.8), (44.3, 303.7), (44.3, 318.7), (44.3, 320.5), (44.3, 320.5), (44.3, 320.5), (44.3, 329.9), (44.3, 333.6), (44.3, 333.6), (44.3, 333.6), (44.3, 333.6), (44.3, 333.6), (44.3, 333.6), (44.3, 333.6), (44.3, 333.6), (44.3, 333.6), (44.3, 333.6), (44.3, 333.6), (44.3, 333.6), (44.3, 333.6), (44.3, 333.6), (44.3, 333.6), (44.3, 333.6), (44.3, 333.6), (44.3, 333.6), (44.3, 333.6), (44.3, 333.6), (44.3, 333.6), (44.3, 335.5), (44.3, 350.4), (44.3, 352.3), (44.3, 367.2), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8)]",0,0,25.47
experienced,bomberman,0,Stuck,0,0,0.0,0.0,"[(48.0, 48.0), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3), (48.0, 44.3)]",0,0,5.0
experienced,bomberman,0,Bomb,1,0,-0.93,0.0,"[(48.0, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0)]",0,0,4.0
experienced,bomberman,0,Success,1,0,68.74,1.0,"[(48.0, 48.0), (62.9, 51.7), (77.9, 51.7), (98.4, 51.7), (113.3, 57.3), (115.2, 72.3), (115.2, 89.1), (115.2, 107.7), (128.3, 115.2), (143.2, 115.2), (165.6, 115.2), (180.5, 124.5), (180.5, 139.5), (180.5, 160.0), (184.3, 176.8), (199.2, 180.5), (217.9, 180.5), (236.5, 182.4), (244.0, 197.3), (244.0, 212.3), (244.0, 234.7), (257.1, 244.0), (272.0, 244.0), (290.7, 238.4), (305.6, 251.5), (307.5, 266.4), (307.5, 285.1), (309.3, 301.9), (324.3, 303.7), (339.2, 300.0), (359.7, 307.5), (372.8, 318.7), (372.8, 333.6), (372.8, 354.1), (376.5, 365.3), (391.5, 365.3), (410.1, 365.3)]",0,0,4.83
experienced,bomberman,0,Bomb,1,0,-0.93,0.0,"[(48.0, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0), (44.3, 48.0)]",0,0,4.0
experienced,bomberman,0,Stuck,0,0,-0.75,0.0,"[(48.0, 48.0), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3)]",0,0,5.0
