persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,bricks_destroyed,elapsed_time
novice,bomberman,3,Bomb,3,0,20.16,0.37,"[(48.0, 48.0), (62.9, 48.0), (77.9, 48.0), (92.8, 48.0), (107.7, 44.3), (122.7, 44.3), (137.6, 44.3), (152.5, 44.3), (167.5, 44.3), (182.4, 44.3), (197.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 49.9), (212.3, 49.9), (212.3, 49.9), (212.3, 49.9), (212.3, 49.9), (212.3, 49.9), (212.3, 49.9), (212.3, 49.9), (212.3, 49.9), (212.3, 49.9), (212.3, 49.9), (212.3, 49.9), (212.3, 49.9), (212.3, 49.9), (212.3, 49.9), (212.3, 49.9), (212.3, 49.9), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3)]",0,1,8.15
novice,bomberman,3,Bomb,1,0,-0.93,0.0,"[(48.0, 48.0), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3), (44.3, 44.3)]",0,0,4.0
novice,bomberman,3,Bomb,1,0,-0.47,0.37,"[(48.0, 48.0), (44.3, 62.9), (44.3, 77.9), (46.1, 92.8), (44.3, 107.7), (44.3, 122.7), (44.3, 137.6), (44.3, 152.5), (44.3, 167.5), (44.3, 182.4), (44.3, 197.3), (44.3, 212.3), (44.3, 227.2), (44.3, 242.1), (44.3, 257.1), (44.3, 272.0), (44.3, 286.9), (44.3, 301.9), (44.3, 316.8), (44.3, 331.7), (44.3, 346.7), (44.3, 361.6), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8)]",0,0,8.0
novice,bomberman,3,Bomb,2,0,0.9,0.037,"[(48.0, 48.0), (44.3, 62.9), (44.3, 62.9), (44.3, 59.2), (44.3, 62.9), (44.3, 62.9), (44.3, 59.2), (44.3, 62.9), (44.3, 62.9), (44.3, 59.2), (44.3, 62.9), (44.3, 62.9), (44.3, 59.2), (44.3, 62.9), (44.3, 62.9), (48.0, 59.2), (51.7, 62.9), (51.7, 64.8), (51.7, 64.8), (51.7, 66.7), (51.7, 61.1), (51.7, 68.5), (51.7, 59.2), (51.7, 64.8), (51.7, 57.3), (51.7, 61.1), (51.7, 59.2), (51.7, 59.2), (51.7, 61.1), (51.7, 61.1), (51.7, 62.9), (51.7, 62.9)]",0,0,4.15
novice,bomberman,3,Bomb,3,0,16.57,0.185,"[(48.0, 48.0), (62.9, 48.0), (77.9, 48.0), (92.8, 48.0), (107.7, 48.0), (122.7, 48.0), (137.6, 48.0), (152.5, 48.0), (167.5, 48.0), (171.2, 48.0), (171.2, 48.0), (171.2, 48.0), (171.2, 48.0), (171.2, 48.0), (171.2, 48.0), (171.2, 48.0), (171.2, 48.0), (171.2, 48.0), (171.2, 48.0), (171.2, 48.0), (171.2, 48.0), (171.2, 48.0), (171.2, 48.0), (171.2, 48.0), (171.2, 48.0), (171.2, 48.0), (171.2, 48.0), (171.2, 48.0), (171.2, 48.0), (171.2, 48.0), (171.2, 48.0), (176.8, 48.0), (176.8, 48.0), (176.8, 48.0), (176.8, 48.0), (176.8, 48.0), (176.8, 48.0), (176.8, 48.0), (176.8, 48.0), (176.8, 48.0), (176.8, 48.0), (176.8, 51.7), (176.8, 66.7), (180.5, 66.7), (180.5, 62.9), (180.5, 57.3), (180.5, 61.1), (180.5, 59.2), (180.5, 59.2), (180.5, 61.1), (180.5, 61.1), (180.5, 62.9), (180.5, 62.9), (180.5, 64.8), (180.5, 64.8), (180.5, 66.7), (180.5, 61.1), (180.5, 68.5), (180.5, 59.2), (180.5, 64.8), (180.5, 57.3)]",0,0,8.0
novice,bomberman,3,Bomb,6,0,-0.23,0.185,"[(48.0, 48.0), (46.1, 62.9), (46.1, 76.0), (46.1, 90.9), (46.1, 105.9), (46.1, 120.8), (46.1, 124.5), (46.1, 124.5), (46.1, 124.5), (46.1, 124.5), (46.1, 124.5), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 130.1), (46.1, 133.9), (46.1, 145.1), (46.1, 154.4), (46.1, 163.7), (46.1, 167.5), (46.1, 167.5), (46.1, 167.5), (46.1, 174.9), (46.1, 189.9), (46.1, 191.7), (46.1, 182.4), (46.1, 173.1), (46.1, 173.1), (46.1, 173.1), (46.1, 173.1), (46.1, 173.1), (46.1, 173.1), (46.1, 173.1), (46.1, 173.1), (46.1, 173.1), (46.1, 173.1)]",0,0,8.02
novice,bomberman,3,Bomb,1,0,-0.47,0.37,"[(48.0, 48.0), (44.3, 62.9), (44.3, 77.9), (44.3, 92.8), (44.3, 107.7), (44.3, 122.7), (44.3, 137.6), (44.3, 152.5), (44.3, 167.5), (44.3, 182.4), (44.3, 197.3), (44.3, 212.3), (44.3, 227.2), (44.3, 242.1), (44.3, 257.1), (44.3, 272.0), (44.3, 286.9), (44.3, 301.9), (44.3, 316.8), (44.3, 331.7), (44.3, 346.7), (44.3, 361.6), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8), (44.3, 372.8)]",0,0,8.0
novice,bomberman,3,Stuck,0,0,-0.65,0.111,"[(48.0, 48.0), (49.9, 62.9), (49.9, 77.9), (49.9, 92.8), (49.9, 107.7), (49.9, 122.7), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1), (44.3, 130.1)]",0,0,5.72
novice,bomberman,3,Stuck,0,0,21.76,0.333,"[(48.0, 48.0), (62.9, 51.7), (77.9, 51.7), (98.4, 51.7), (113.3, 57.3), (115.2, 72.3), (115.2, 89.1), (115.2, 107.7), (128.3, 115.2), (143.2, 115.2), (165.6, 115.2), (180.5, 124.5), (180.5, 139.5), (180.5, 160.0), (184.3, 176.8), (199.2, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5), (212.3, 180.5)]",0,0,6.95
novice,bomberman,3,Stuck,0,0,26.07,0.185,"[(48.0, 48.0), (62.9, 46.1), (77.9, 46.1), (92.8, 46.1), (107.7, 44.3), (122.7, 44.3), (137.6, 44.3), (152.5, 44.3), (167.5, 44.3), (182.4, 44.3), (197.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3), (212.3, 44.3)]",0,0,6.3
