persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,bricks_destroyed,elapsed_time
speedrunner,bomberman,10,Bomb,2,0,-0.7,0.0,"[(48.0, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0)]",0,0,4.0
speedrunner,bomberman,10,Stuck,0,0,10.64,0.0,"[(48.0, 48.0), (70.4, 50.8), (101.2, 50.8), (112.4, 67.6), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4), (109.6, 84.4)]",0,0,5.0
speedrunner,bomberman,10,Bomb,1,0,-0.7,0.0,"[(48.0, 48.0), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2)]",0,0,4.0
speedrunner,bomberman,10,Stuck,0,0,53.67,0.385,"[(48.0, 48.0), (70.4, 48.0), (92.8, 48.0), (115.2, 48.0), (137.6, 48.0), (160.0, 48.0), (182.4, 48.0), (204.8, 48.0), (227.2, 48.0), (249.6, 48.0), (272.0, 48.0), (294.4, 48.0), (316.8, 48.0), (339.2, 48.0), (361.6, 48.0), (384.0, 48.0), (406.4, 48.0), (428.8, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0), (434.4, 48.0)]",0,0,7.2
speedrunner,bomberman,10,Bomb,1,0,48.3,0.385,"[(48.0, 48.0), (70.4, 45.2), (92.8, 45.2), (115.2, 45.2), (137.6, 45.2), (160.0, 45.2), (182.4, 45.2), (204.8, 45.2), (227.2, 45.2), (249.6, 45.2), (272.0, 45.2), (294.4, 45.2), (316.8, 45.2), (339.2, 45.2), (361.6, 45.2), (384.0, 45.2), (406.4, 45.2), (428.8, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2), (434.4, 45.2)]",0,0,8.0
speedrunner,bomberman,10,Bomb,1,0,0.0,0.0,"[(48.0, 48.0), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2), (48.0, 45.2)]",0,0,4.0
speedrunner,bomberman,10,Bomb,152,0,8.39,0.115,"[(48.0, 48.0), (64.8, 45.2), (64.8, 45.2), (64.8, 45.2), (64.8, 45.2), (70.4, 45.2), (81.6, 45.2), (98.4, 45.2), (98.4, 45.2), (98.4, 45.2), (98.4, 45.2), (104.0, 45.2), (104.0, 45.2), (104.0, 45.2), (109.6, 45.2), (109.6, 45.2), (109.6, 45.2), (120.8, 45.2), (120.8, 45.2), (126.4, 45.2), (126.4, 45.2), (126.4, 45.2), (126.4, 45.2), (126.4, 45.2), (126.4, 45.2), (126.4, 45.2), (126.4, 45.2), (126.4, 45.2), (126.4, 45.2), (126.4, 45.2), (126.4, 45.2), (126.4, 45.2), (126.4, 45.2), (126.4, 45.2), (120.8, 45.2), (109.6, 45.2), (120.8, 45.2), (126.4, 45.2), (126.4, 45.2), (126.4, 45.2), (126.4, 45.2), (126.4, 45.2), (126.4, 45.2), (137.6, 45.2), (143.2, 45.2), (165.6, 45.2), (188.0, 45.2), (193.6, 45.2), (193.6, 45.2), (193.6, 45.2), (193.6, 45.2), (193.6, 45.2), (193.6, 45.2), (193.6, 45.2), (193.6, 45.2), (193.6, 45.2), (193.6, 45.2), (193.6, 45.2), (193.6, 45.2), (193.6, 45.2), (193.6, 45.2), (182.4, 45.2), (193.6, 45.2), (193.6, 45.2), (182.4, 45.2), (160.0, 45.2), (137.6, 45.2), (126.4, 45.2), (143.2, 45.2), (148.8, 45.2), (148.8, 45.2), (148.8, 45.2), (148.8, 45.2), (148.8, 45.2), (148.8, 45.2), (148.8, 45.2), (148.8, 45.2), (148.8, 45.2), (148.8, 45.2), (148.8, 45.2), (148.8, 45.2), (148.8, 45.2), (148.8, 45.2), (148.8, 45.2), (148.8, 45.2), (148.8, 45.2), (148.8, 45.2), (148.8, 45.2), (148.8, 45.2), (148.8, 45.2), (148.8, 45.2)]",0,0,12.02
speedrunner,bomberman,10,Stuck,0,0,-0.56,0.0,"[(48.0, 48.0), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2)]",0,0,5.0
speedrunner,bomberman,10,Bomb,1,0,12.29,0.0,"[(48.0, 48.0), (70.4, 48.0), (92.8, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0), (98.4, 48.0)]",0,0,4.1
speedrunner,bomberman,10,Bomb,1,0,32.55,0.231,"[(48.0, 48.0), (70.4, 45.2), (92.8, 45.2), (115.2, 45.2), (137.6, 45.2), (160.0, 45.2), (182.4, 45.2), (204.8, 45.2), (227.2, 45.2), (249.6, 45.2), (272.0, 45.2), (294.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2), (308.4, 45.2)]",0,0,8.0
