persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
experienced,mario,Mario1-1,OOB,7,0,-48.31,0.0,"[(112.0, 432.0), (112.0, 379.3), (112.0, 329.3), (112.0, 302.4), (112.0, 299.2), (109.4, 328.6), (105.9, 392.4), (105.7, 413.4), (105.7, 351.8), (105.7, 313.3), (105.7, 298.0), (104.9, 309.8), (99.4, 357.0), (97.1, 429.4), (89.3, 379.5), (83.7, 329.2), (80.6, 302.0), (70.7, 298.5), (52.7, 327.6), (33.8, 391.1), (16.2, 413.3), (-4.5, 351.4), (-20.8, 312.7), (-32.6, 297.0), (-40.0, 308.6), (-48.4, 355.5)]",0,3.35
experienced,mario,Mario1-1,Stuck,20,0,92.93,0.111,"[(112.0, 432.0), (117.2, 371.5), (129.6, 321.2), (145.9, 292.3), (157.9, 286.8), (167.3, 312.8), (180.6, 373.9), (201.8, 417.9), (231.1, 388.7), (268.3, 382.8), (308.3, 408.4), (348.2, 382.2), (388.2, 367.4), (428.2, 379.8), (468.2, 414.0), (508.2, 381.9), (548.2, 372.9), (588.2, 394.0), (628.2, 397.5), (668.2, 374.1), (708.2, 374.9), (748.2, 409.4), (788.0, 395.3), (828.0, 372.3), (868.0, 406.1), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0)]",0,8.25
experienced,mario,Mario1-1,Stuck,78,0,18.89,0.06,"[(112.0, 432.0), (110.0, 371.7), (109.9, 322.0), (109.9, 293.9), (109.9, 289.0), (113.4, 315.7), (124.9, 377.4), (145.0, 413.3), (166.9, 350.2), (184.4, 307.6), (197.5, 287.4), (206.1, 292.3), (217.3, 331.6), (236.4, 401.3), (259.5, 391.2), (278.4, 373.5), (292.7, 381.9), (300.2, 425.2), (300.2, 371.3), (300.2, 322.0), (300.2, 294.3), (300.2, 289.9), (303.7, 317.0), (315.2, 379.0), (333.6, 412.9), (348.6, 350.2), (359.2, 308.6), (365.4, 289.5), (367.7, 295.4), (375.1, 335.8), (390.5, 405.9), (403.3, 386.8), (410.0, 331.7), (412.3, 298.0), (412.3, 287.2), (413.0, 305.0), (420.5, 358.3), (432.4, 402.4), (439.8, 373.1), (442.6, 367.2), (439.5, 392.8), (428.1, 412.9), (414.9, 350.6), (406.0, 309.0), (401.6, 289.9), (401.2, 295.9), (406.7, 336.2), (420.0, 406.3), (428.9, 386.8), (431.7, 331.5), (431.8, 297.7), (431.8, 286.9), (431.7, 304.7), (436.7, 358.0), (444.5, 431.4), (444.8, 371.4), (444.8, 321.9), (444.8, 294.3), (444.8, 290.0), (445.7, 317.1), (453.5, 379.2), (457.8, 413.0), (457.8, 350.4), (457.8, 308.9), (457.8, 289.9), (457.7, 296.0), (460.8, 336.5), (468.1, 406.7), (467.9, 387.0), (467.9, 332.4), (467.9, 299.6), (467.7, 289.8), (468.0, 310.2), (474.3, 366.1), (476.3, 432.0), (472.8, 364.1), (472.6, 317.6), (472.6, 293.8), (472.3, 294.2), (474.4, 328.3), (480.7, 395.1), (479.2, 403.9), (477.4, 344.2), (477.4, 306.0), (477.2, 290.8), (476.9, 302.8), (481.7, 350.2), (483.8, 422.6), (478.5, 379.1), (476.3, 327.2), (476.3, 296.9), (476.1, 289.9), (478.2, 314.3), (483.0, 374.1), (479.7, 422.3), (472.8, 357.2), (470.3, 313.0), (470.3, 291.0), (469.8, 293.3), (472.8, 329.2), (480.2, 397.2), (479.7, 395.3), (479.2, 338.2), (479.2, 302.8), (479.1, 290.5), (479.0, 306.8), (484.3, 358.6), (485.3, 431.8), (479.8, 371.5), (478.2, 322.1), (478.2, 294.7), (477.9, 291.0), (480.9, 319.9), (485.0, 383.2), (480.5, 412.9), (474.1, 350.6), (472.2, 309.0), (472.2, 289.9), (471.6, 295.9), (475.7, 336.2), (482.5, 406.3), (481.3, 387.0), (480.9, 332.6), (480.8, 300.1), (480.8, 290.7), (482.2, 311.4), (486.0, 367.7), (482.0, 432.0), (472.5, 364.2), (467.5, 317.4), (466.6, 292.5), (466.2, 291.3), (468.3, 322.8), (475.9, 388.0), (476.2, 403.9), (475.5, 344.2), (475.3, 306.1), (475.2, 290.9), (474.9, 302.9), (479.7, 350.3), (481.7, 422.7), (476.5, 379.1), (474.3, 327.2), (474.3, 296.9)]",0,19.17
experienced,mario,Mario1-1,OOB,1,0,-173.16,0.0,"[(112.0, 432.0), (104.9, 371.0), (89.4, 319.9), (65.9, 290.4), (34.4, 284.2), (1.9, 309.5), (-26.2, 370.0), (-49.8, 443.3)]",0,0.95
experienced,mario,Mario1-1,Enemy,4,0,241.66,0.057,"[(112.0, 432.0), (119.1, 371.3), (134.6, 320.6), (158.1, 291.4), (189.6, 285.5), (228.4, 311.2), (268.4, 371.9), (308.4, 401.9), (348.4, 375.6), (388.4, 372.9), (428.4, 402.9)]",0,1.43
experienced,mario,Mario1-1,Enemy,1,0,12.62,0.019,"[(112.0, 432.0), (112.0, 371.3), (112.0, 320.5), (112.0, 291.3), (112.0, 285.4), (112.0, 310.9), (113.1, 371.6), (120.0, 422.3), (124.5, 356.0), (125.1, 310.0), (125.1, 286.3), (125.1, 286.9), (125.1, 321.0), (127.2, 387.9), (134.6, 403.8), (138.0, 342.6), (138.1, 301.9), (138.1, 284.0), (138.1, 292.1), (138.3, 335.1), (141.9, 406.3), (147.8, 383.5), (149.4, 368.8), (149.4, 381.2), (151.7, 429.0)]",0,3.23
experienced,mario,Mario1-1,Enemy,2,0,241.66,0.057,"[(112.0, 432.0), (119.1, 371.0), (134.6, 319.9), (158.1, 290.4), (189.6, 284.2), (228.4, 309.5), (268.4, 370.0), (308.4, 400.0), (348.4, 373.6), (388.4, 371.0), (428.4, 401.0)]",0,1.43
experienced,mario,Mario1-1,OOB,0,0,-259.62,0.0,"[(112.0, 432.0), (97.0, 432.0), (58.2, 432.0), (18.2, 432.0), (-21.8, 433.3)]",0,0.65
experienced,mario,Mario1-1,Enemy,0,0,0.0,0.014,"[(112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0)]",0,2.3
experienced,mario,Mario1-1,Enemy,0,0,245.69,0.028,"[(112.0, 432.0), (127.0, 432.0), (165.8, 432.0), (205.8, 432.0)]",0,0.48
experienced,mario,Mario1-1,Stuck,20,0,92.93,0.111,"[(112.0, 432.0), (117.2, 371.5), (129.6, 321.2), (145.9, 292.3), (157.9, 286.8), (167.3, 312.8), (180.6, 373.9), (201.8, 417.9), (231.1, 388.7), (268.3, 382.8), (308.3, 408.4), (348.2, 382.2), (388.2, 367.4), (428.2, 379.8), (468.2, 414.0), (508.2, 381.9), (548.2, 372.9), (588.2, 394.0), (628.2, 397.5), (668.2, 374.1), (708.2, 374.9), (748.2, 409.4), (788.0, 395.3), (828.0, 372.3), (868.0, 406.1), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0), (880.0, 432.0)]",0,8.25
