persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,bricks_destroyed,elapsed_time
experienced,mario,Mario1-1,OOB,0,0,-252.88,0.0,"[(112.0, 432.0), (97.0, 432.0), (58.2, 432.0), (18.2, 432.0), (-21.6, 433.3)]",0,0,0.65
experienced,mario,Mario1-1,OOB,1,0,-199.65,0.0,"[(112.0, 432.0), (104.9, 371.0), (89.4, 319.9), (65.9, 290.4), (34.4, 284.2), (-4.4, 309.5), (-44.4, 370.0)]",0,0,0.83
experienced,mario,Mario1-1,Enemy,0,0,0.0,0.014,"[(112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0)]",0,0,2.3
experienced,mario,Mario1-1,Enemy,1,0,241.66,0.057,"[(112.0, 432.0), (119.1, 371.0), (134.6, 319.9), (158.1, 290.4), (189.6, 284.2), (228.4, 309.5), (268.4, 370.0), (308.4, 400.0), (348.4, 373.6), (388.4, 371.0), (428.4, 401.0)]",0,0,1.43
experienced,mario,Mario1-1,Enemy,0,0,245.69,0.028,"[(112.0, 432.0), (127.0, 432.0), (165.8, 432.0), (205.8, 432.0)]",0,0,0.48
experienced,mario,Mario1-1,Stuck,8,0,18.31,0.028,"[(112.0, 432.0), (114.8, 371.7), (124.7, 323.9), (142.7, 299.2), (168.6, 298.3), (202.3, 330.0), (233.2, 395.3), (256.2, 385.2), (271.1, 367.6), (278.1, 375.9), (277.0, 419.3), (268.0, 384.3), (250.9, 372.4), (225.8, 389.0), (193.5, 423.1), (166.9, 356.8), (148.2, 310.8), (137.6, 287.1), (135.0, 287.6), (140.4, 321.8), (144.8, 388.7), (143.5, 403.9), (144.8, 343.6), (153.7, 306.2), (170.5, 292.0), (195.3, 305.0), (225.7, 353.3), (249.5, 411.1), (265.3, 379.0), (273.2, 370.0), (273.0, 391.1), (265.5, 422.3), (254.8, 356.0), (236.8, 310.0), (223.1, 286.3), (217.4, 286.9), (219.6, 321.0), (220.9, 387.9), (216.2, 403.8), (207.0, 342.6), (198.7, 301.9), (198.4, 284.0), (206.1, 292.1), (221.1, 335.1), (231.8, 406.3), (234.5, 383.5), (229.3, 368.8)]",0,0,6.18
experienced,mario,Mario1-1,Enemy,0,0,245.69,0.028,"[(112.0, 432.0), (127.0, 432.0), (165.8, 432.0), (205.8, 432.0)]",0,0,0.48
experienced,mario,Mario1-1,Enemy,0,0,-0.05,0.014,"[(112.0, 432.0), (111.9, 432.0), (111.9, 432.0), (111.9, 432.0), (111.9, 432.0), (111.9, 432.0), (111.9, 432.0), (111.9, 432.0), (111.9, 432.0), (111.9, 432.0), (111.9, 432.0), (111.9, 432.0), (111.9, 432.0), (111.9, 432.0), (111.9, 432.0), (111.9, 432.0), (111.9, 432.0), (111.9, 432.0)]",0,0,2.32
experienced,mario,Mario1-1,Enemy,1,0,171.37,0.045,"[(112.0, 432.0), (119.1, 371.0), (134.6, 319.9), (158.1, 290.4), (186.7, 284.2), (211.4, 309.5), (231.7, 370.0), (248.7, 400.0), (271.8, 373.6), (302.8, 371.0), (334.9, 401.0)]",0,0,1.45
experienced,mario,Mario1-1,OOB,0,0,-259.62,0.0,"[(112.0, 432.0), (97.0, 432.0), (58.2, 432.0), (18.2, 432.0), (-21.8, 433.3)]",0,0,0.65
experienced,mario,Mario1-1,Enemy,1,0,241.66,0.057,"[(112.0, 432.0), (119.1, 371.0), (134.6, 319.9), (158.1, 290.4), (189.6, 284.2), (228.4, 309.5), (268.4, 370.0), (308.4, 400.0), (348.4, 373.6), (388.4, 371.0), (428.4, 401.0)]",0,0,1.43
experienced,mario,Mario1-1,Enemy,1,0,171.37,0.045,"[(112.0, 432.0), (119.1, 371.0), (134.6, 319.9), (158.1, 290.4), (186.7, 284.2), (211.4, 309.5), (231.7, 370.0), (248.7, 400.0), (271.8, 373.6), (302.8, 371.0), (334.9, 401.0)]",0,0,1.45
experienced,mario,Mario1-1,Stuck,8,0,18.31,0.028,"[(112.0, 432.0), (114.8, 371.7), (124.7, 323.9), (142.7, 299.2), (168.6, 298.3), (202.3, 330.0), (233.2, 395.3), (256.2, 385.2), (271.1, 367.6), (278.1, 375.9), (277.0, 419.3), (268.0, 384.3), (250.9, 372.4), (225.8, 389.0), (193.5, 423.1), (166.9, 356.8), (148.2, 310.8), (137.6, 287.1), (135.0, 287.6), (140.4, 321.8), (144.8, 388.7), (143.5, 403.9), (144.8, 343.6), (153.7, 306.2), (170.5, 292.0), (195.3, 305.0), (225.7, 353.3), (249.5, 411.1), (265.3, 379.0), (273.2, 370.0), (273.0, 391.1), (265.5, 422.3), (254.8, 356.0), (236.8, 310.0), (223.1, 286.3), (217.4, 286.9), (219.6, 321.0), (220.9, 387.9), (216.2, 403.8), (207.0, 342.6), (198.7, 301.9), (198.4, 284.0), (206.1, 292.1), (221.1, 335.1), (231.8, 406.3), (234.5, 383.5), (229.3, 368.8)]",0,0,6.18
experienced,mario,Mario1-1,Enemy,0,0,245.69,0.028,"[(112.0, 432.0), (127.0, 432.0), (165.8, 432.0), (205.8, 432.0)]",0,0,0.48
experienced,mario,Mario1-1,OOB,1,0,-197.21,0.0,"[(112.0, 432.0), (104.9, 371.0), (89.4, 319.9), (65.9, 290.4), (34.4, 284.2), (-4.4, 309.5), (-42.4, 370.0)]",0,0,0.85
experienced,mario,Mario1-1,Enemy,1,0,241.66,0.057,"[(112.0, 432.0), (119.1, 371.0), (134.6, 319.9), (158.1, 290.4), (189.6, 284.2), (228.4, 309.5), (268.4, 370.0), (308.4, 400.0), (348.4, 373.6), (388.4, 371.0), (428.4, 401.0)]",0,0,1.43
