persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
speedrunner,mario,Mario1-2,Stuck,13,0,-12.74,0.008,"[(112.0, 208.0), (112.0, 226.4), (110.1, 280.4), (100.7, 353.8), (84.5, 323.4), (69.1, 270.2), (58.2, 240.1), (51.6, 233.3), (49.6, 258.0), (49.6, 318.0), (49.6, 358.7), (49.6, 294.2), (49.6, 252.9), (48.9, 234.6), (48.0, 242.4), (48.0, 285.2), (48.0, 356.2), (48.0, 323.6), (48.0, 270.7), (48.0, 240.9), (48.0, 234.4), (48.0, 259.4), (48.0, 319.6), (48.0, 358.7), (48.0, 294.2), (48.0, 252.9), (48.0, 234.6), (48.0, 242.4), (48.0, 285.2), (48.0, 356.2), (48.0, 323.6), (48.0, 270.7), (48.0, 240.9), (48.0, 234.4), (48.0, 259.4), (48.0, 319.6), (48.0, 358.7), (48.0, 294.2)]",0,5.02
speedrunner,mario,Mario1-2,Stuck,21,0,65.28,0.099,"[(112.0, 208.0), (112.0, 226.4), (114.2, 280.4), (123.7, 353.8), (143.6, 314.5), (171.7, 261.1), (203.8, 229.8), (237.7, 221.6), (273.5, 243.4), (304.1, 300.8), (309.7, 368.0), (326.4, 304.0), (351.1, 320.9), (384.0, 368.0), (426.6, 304.0), (477.0, 320.9), (530.4, 368.0), (560.0, 368.0), (560.5, 368.0), (560.0, 368.0), (560.0, 368.0), (560.5, 368.0), (560.0, 368.0), (560.0, 368.0), (560.5, 368.0), (560.0, 368.0), (560.0, 368.0), (560.5, 368.0), (560.0, 368.0), (560.0, 368.0), (560.5, 368.0), (560.0, 368.0), (560.0, 368.0), (560.5, 368.0), (560.0, 368.0), (560.0, 368.0), (560.5, 368.0), (560.0, 363.0), (560.0, 363.0), (560.0, 363.0), (560.0, 363.0), (560.0, 363.0), (560.0, 363.0), (560.0, 363.0), (560.0, 363.0), (560.0, 363.0), (560.0, 363.0), (560.0, 363.0), (560.0, 363.0), (560.0, 363.0), (560.0, 363.0), (560.0, 363.0), (560.0, 363.0), (560.0, 363.0), (560.0, 363.0)]",0,7.22
speedrunner,mario,Mario1-2,Stuck,36,0,-1.65,0.017,"[(112.0, 208.0), (113.3, 226.4), (121.9, 280.4), (138.5, 353.8), (157.5, 314.8), (171.5, 261.9), (181.2, 230.2), (186.4, 221.6), (187.7, 243.2), (194.2, 300.2), (208.1, 368.0), (215.9, 299.6), (219.2, 251.8), (219.4, 225.8), (219.2, 223.6), (215.2, 254.0), (203.9, 318.5), (195.6, 348.9), (189.1, 286.5), (187.0, 245.3), (187.0, 226.6), (187.0, 233.8), (191.6, 276.1), (204.2, 346.9), (218.0, 322.7), (226.1, 266.9), (229.6, 232.1), (229.8, 220.3), (228.8, 237.0), (221.3, 289.3), (205.7, 362.5), (183.5, 307.4), (165.2, 258.1), (151.3, 230.3), (141.8, 225.8), (132.7, 252.8), (115.7, 314.7), (90.1, 348.9), (62.1, 286.2), (48.0, 245.1), (48.0, 226.7), (48.8, 234.3), (56.3, 276.9), (72.0, 347.9), (91.4, 322.8), (106.0, 267.0), (116.2, 232.2), (121.9, 220.3), (124.4, 237.1), (133.0, 289.3), (149.5, 347.7), (165.7, 315.6), (177.4, 306.6), (183.0, 327.7), (182.6, 331.2), (182.6, 307.8), (181.3, 308.6), (172.7, 343.1), (155.7, 331.2), (139.6, 274.1), (128.0, 238.9), (120.8, 226.6), (115.2, 242.8), (102.0, 294.7)]",0,8.45
speedrunner,mario,Mario1-2,Stuck,2,0,-12.17,0.008,"[(112.0, 208.0), (107.5, 226.4), (96.0, 280.4), (87.0, 353.8), (81.3, 314.8), (68.6, 261.9), (48.0, 230.3), (48.0, 221.7), (48.0, 243.2), (48.0, 300.3), (48.0, 368.0), (48.0, 299.1), (48.0, 250.6), (48.0, 224.0), (48.0, 221.1), (48.0, 250.8), (48.0, 314.8), (48.0, 348.9), (48.0, 285.1), (48.0, 241.8), (48.0, 221.0), (48.0, 225.2), (48.0, 263.8), (48.0, 333.1), (48.0, 331.0), (48.0, 272.3), (48.0, 234.4), (48.0, 219.4), (48.0, 231.5), (48.0, 279.0), (48.0, 351.4), (48.0, 314.5), (48.0, 260.9), (48.0, 228.5), (48.0, 219.2), (48.0, 240.0), (48.0, 296.4), (48.0, 368.0)]",0,5.02
speedrunner,mario,Mario1-2,Enemy,7,2,287.38,0.292,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (181.0, 314.5), (220.9, 260.9), (269.0, 228.5), (322.2, 219.2), (375.5, 240.0), (428.9, 171.2), (482.2, 122.7), (535.5, 96.1), (588.9, 93.1), (642.2, 122.8), (695.5, 186.8), (748.9, 260.1), (752.8, 333.5), (752.8, 331.3), (752.8, 275.1), (752.8, 241.8), (755.5, 231.6), (767.9, 220.9), (790.7, 157.1), (821.5, 113.8), (860.4, 93.0), (907.5, 97.2), (960.5, 135.8), (1013.8, 205.1), (1067.1, 272.0), (1120.5, 203.1), (1173.8, 154.6), (1227.1, 128.0), (1280.5, 125.1), (1333.8, 154.8), (1387.1, 139.0), (1440.5, 80.3), (1493.8, 93.4), (1547.1, 141.9), (1600.5, 214.6), (1648.0, 287.9), (1652.5, 361.3)]",0,5.38
speedrunner,mario,Mario1-2,Stuck,61,0,20.06,0.081,"[(112.0, 208.0), (112.0, 226.4), (112.4, 280.4), (114.9, 353.8), (118.4, 314.5), (118.5, 260.9), (118.5, 228.5), (118.5, 219.2), (118.5, 240.0), (119.2, 296.4), (122.9, 368.0), (125.0, 299.1), (125.0, 250.6), (125.0, 224.0), (125.0, 221.1), (125.0, 250.8), (126.2, 314.8), (130.4, 348.9), (131.5, 285.1), (131.5, 241.8), (131.5, 221.0), (131.5, 225.2), (131.6, 263.8), (133.6, 333.1), (139.5, 331.0), (140.9, 272.3), (140.9, 234.4), (140.9, 219.4), (140.9, 231.5), (141.3, 279.0), (145.7, 351.4), (152.4, 314.5), (154.3, 260.9), (154.3, 228.5), (154.3, 219.2), (154.3, 240.0), (155.0, 296.4), (161.5, 368.0), (166.7, 299.1), (167.6, 250.6), (167.6, 224.0), (167.6, 221.1), (167.6, 250.8), (169.2, 314.8), (176.5, 348.9), (180.6, 285.1), (181.0, 241.8), (181.0, 221.0), (181.0, 225.2), (181.1, 263.8), (183.9, 333.1), (191.5, 323.0), (195.2, 305.3), (195.5, 313.7), (196.7, 357.0), (204.7, 314.9), (209.5, 262.0), (210.3, 230.4), (210.3, 221.8), (210.3, 243.3), (211.0, 300.4), (217.5, 368.0), (229.6, 300.0), (237.2, 252.5), (240.5, 227.0), (240.6, 225.1), (240.6, 255.8), (242.2, 320.6), (251.2, 349.0), (262.2, 286.5), (268.8, 244.5), (270.9, 225.1), (270.9, 230.7), (271.1, 270.7), (274.7, 340.7), (286.9, 323.1), (300.8, 268.8), (304.0, 236.7), (304.0, 227.7), (304.0, 248.8), (304.0, 305.4), (308.1, 358.3), (309.9, 304.4), (315.8, 327.2), (329.3, 358.3), (340.6, 304.4), (355.8, 327.2), (376.9, 358.3), (392.7, 304.3), (411.1, 326.9), (430.2, 358.3), (442.9, 304.3), (454.0, 326.0), (460.7, 358.3), (461.3, 304.3), (461.3, 325.3), (461.3, 358.4), (461.3, 304.3), (461.3, 325.3), (461.3, 358.4), (461.3, 304.3), (461.3, 325.3), (461.3, 358.4), (461.3, 304.3), (461.3, 325.3), (461.3, 358.4), (461.3, 304.3), (461.3, 325.3), (461.3, 358.4), (461.3, 304.3), (461.3, 325.3), (461.3, 358.4), (461.3, 304.3), (461.3, 325.3), (461.3, 358.4), (461.3, 304.3), (461.3, 325.3), (461.3, 358.4), (461.3, 304.3), (461.3, 325.3), (461.3, 358.4), (461.3, 304.3), (461.3, 325.3), (461.3, 353.3), (461.3, 310.1), (461.3, 335.3), (461.3, 334.9), (461.3, 313.3), (461.3, 346.9), (461.3, 317.8), (461.3, 318.6)]",0,17.4
speedrunner,mario,Mario1-2,Stuck,3,0,80.97,0.099,"[(112.0, 208.0), (116.5, 226.4), (129.2, 280.4), (149.9, 353.8), (186.7, 368.0), (240.0, 368.0), (293.4, 368.0), (346.7, 368.0), (400.0, 368.0), (453.4, 314.5), (506.7, 314.2), (560.0, 359.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0), (560.0, 368.0)]",0,6.47
speedrunner,mario,Mario1-2,Stuck,0,0,-12.47,0.008,"[(112.0, 208.0), (107.5, 226.4), (94.8, 280.4), (74.1, 353.8), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0)]",0,5.02
speedrunner,mario,Mario1-2,Stuck,0,0,0.0,0.02,"[(112.0, 208.0), (112.0, 226.4), (112.0, 280.4), (112.0, 353.8), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0), (112.0, 368.0)]",0,5.02
speedrunner,mario,Mario1-2,Enemy,0,0,248.95,0.081,"[(112.0, 208.0), (112.0, 226.4), (112.0, 280.4), (112.0, 353.8), (122.6, 368.0), (164.7, 368.0), (218.0, 368.0), (271.3, 368.0), (324.7, 368.0), (378.0, 368.0), (431.3, 368.0)]",0,1.42
