persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
speedrunner,mario,Mario1-1,Enemy,5,0,333.83,0.672,"[(112.0, 432.0), (121.5, 378.5), (140.2, 324.9), (167.0, 292.5), (201.9, 283.2), (244.8, 304.0), (295.7, 360.4), (348.8, 404.5), (402.2, 375.3), (455.1, 369.4), (506.2, 394.9), (559.4, 412.9), (609.7, 349.1), (624.8, 306.3), (627.5, 286.5), (639.2, 291.8), (662.7, 304.0), (711.9, 276.2), (761.6, 242.5), (808.8, 271.9), (861.3, 275.8), (911.2, 214.6), (963.8, 173.9), (1017.2, 156.0), (1070.5, 164.1), (1123.8, 207.1), (1177.2, 278.3), (1230.5, 351.6), (1283.1, 314.5), (1336.3, 260.9), (1389.6, 228.5), (1443.0, 219.2), (1496.3, 240.0), (1549.6, 296.4), (1603.0, 369.8), (1656.3, 422.3), (1709.6, 356.0), (1762.4, 310.0), (1815.7, 286.3), (1869.1, 286.9), (1922.4, 321.0), (1975.7, 387.9), (2029.1, 403.8), (2082.3, 342.6), (2135.7, 301.9), (2189.0, 284.0), (2242.3, 292.1), (2295.5, 258.6), (2345.2, 202.5), (2391.6, 167.3), (2443.5, 155.2), (2496.9, 171.5), (2550.1, 114.7), (2600.8, 63.7), (2653.6, 34.2), (2707.0, 28.0), (2760.3, 53.2), (2813.6, 113.7), (2867.0, 166.3), (2918.4, 100.0), (2967.5, 54.0), (3020.6, 30.3), (3073.9, 30.9), (3127.2, 65.0), (3180.6, 131.9), (3233.9, 205.3), (3287.2, 278.6), (3339.9, 258.6), (3376.0, 202.4), (3376.4, 168.2), (3383.0, 157.1), (3397.6, 174.5), (3422.4, 114.6), (3454.7, 63.6), (3495.1, 34.1), (3543.6, 27.9), (3596.9, 53.1), (3650.2, 113.6), (3703.6, 186.9), (3756.9, 260.3), (3810.2, 333.6), (3863.6, 406.9), (3916.2, 386.6), (3968.3, 330.4), (4018.1, 295.3), (4071.2, 283.1), (4124.6, 299.5), (4177.9, 351.4), (4208.0, 380.9), (4212.5, 317.1), (4225.2, 273.8), (4245.9, 253.0), (4274.7, 257.2), (4311.6, 295.8), (4358.3, 250.5), (4410.4, 196.9), (4463.8, 164.5), (4517.1, 155.2), (4570.4, 176.0), (4623.8, 232.4), (4677.1, 305.8), (4720.1, 299.0), (4725.7, 240.3), (4739.3, 202.4), (4761.1, 187.4), (4790.9, 199.5), (4828.8, 247.0), (4875.2, 294.3), (4927.7, 228.0), (4981.0, 182.0), (5034.3, 158.3), (5087.7, 158.9), (5141.0, 193.0), (5194.3, 259.9), (5247.7, 333.3), (5265.9, 406.6), (5281.2, 432.4), (5326.4, 432.4)]",0,15.63
speedrunner,mario,Mario1-1,OOB,1,0,-176.04,0.0,"[(112.0, 432.0), (104.8, 371.0), (89.1, 319.9), (65.4, 290.4), (33.5, 284.2), (-2.6, 309.5), (-31.5, 370.0), (-50.0, 434.1)]",0,0.93
speedrunner,mario,Mario1-1,OOB,0,0,-294.25,0.0,"[(112.0, 432.0), (101.5, 432.0), (64.3, 432.0), (11.2, 432.0), (-41.4, 436.8)]",0,0.58
speedrunner,mario,Mario1-1,Enemy,0,0,290.58,0.029,"[(112.0, 432.0), (127.2, 432.0), (173.1, 432.0), (226.4, 432.0)]",0,0.42
speedrunner,mario,Mario1-1,Enemy,3,0,279.02,0.414,"[(112.0, 432.0), (119.2, 371.0), (134.9, 319.9), (158.6, 290.4), (190.5, 284.2), (230.4, 309.5), (278.5, 370.0), (331.7, 400.0), (385.0, 373.6), (438.4, 371.0), (491.7, 401.0), (545.0, 385.6), (598.4, 368.0), (625.3, 376.3), (633.9, 419.6), (650.5, 384.6), (675.3, 372.8), (708.2, 389.4), (749.5, 422.3), (801.1, 368.3), (854.4, 389.3), (880.5, 422.3), (881.1, 356.0), (889.7, 310.0), (906.4, 286.3), (931.2, 286.9), (964.0, 321.0), (1005.0, 387.9), (1054.7, 403.8), (1108.0, 342.6), (1161.4, 301.9), (1214.7, 284.0), (1268.0, 292.1), (1321.4, 335.1), (1374.7, 406.3), (1428.0, 383.5), (1455.7, 368.8), (1456.8, 381.2), (1456.0, 429.0), (1456.4, 370.6), (1457.3, 319.6), (1465.9, 290.1), (1482.5, 283.9), (1507.3, 309.1), (1541.7, 298.1), (1585.7, 239.5), (1637.3, 201.5), (1690.6, 186.5), (1743.9, 198.6), (1797.3, 246.1), (1850.6, 318.5), (1903.9, 283.3), (1957.3, 229.7), (2010.6, 197.4), (2063.9, 188.1), (2117.3, 208.9), (2170.6, 265.3), (2223.9, 338.6), (2277.3, 412.0), (2330.6, 386.6), (2383.9, 330.4), (2384.8, 295.6), (2392.3, 283.8), (2408.0, 300.5), (2434.4, 242.6), (2469.3, 192.2), (2481.9, 164.1), (2491.5, 159.3), (2509.6, 166.3), (2538.4, 100.0), (2575.3, 54.0), (2620.3, 30.3), (2672.5, 30.9), (2725.8, 65.0), (2779.2, 131.9), (2832.5, 147.8), (2885.8, 86.6), (2939.2, 45.9), (2992.5, 28.0), (3045.8, 36.1), (3099.2, 79.1), (3152.5, 150.3), (3205.8, 223.6), (3259.2, 296.9), (3280.0, 370.3), (3282.4, 432.0)]",0,11.33
speedrunner,mario,Mario1-1,Enemy,0,0,-13.25,0.009,"[(112.0, 432.0), (109.8, 432.0), (108.4, 432.0), (106.4, 432.0), (104.6, 432.0), (103.2, 432.0), (101.2, 432.0), (99.4, 432.0), (98.0, 432.0), (96.0, 432.0), (94.2, 432.0), (92.8, 432.0), (90.8, 432.0), (89.0, 432.0), (87.6, 432.0), (85.6, 432.0), (83.8, 432.0), (82.4, 432.0), (80.4, 432.0), (78.6, 432.0), (77.2, 432.0), (75.2, 432.0), (73.4, 432.0)]",0,2.95
speedrunner,mario,Mario1-1,Success,1,0,285.78,0.785,"[(112.0, 432.0), (119.2, 371.0), (134.9, 319.9), (158.6, 290.4), (190.5, 284.2), (230.4, 309.5), (278.5, 370.0), (331.7, 400.0), (385.0, 373.6), (438.4, 371.0), (491.7, 401.0), (545.0, 385.6), (598.4, 368.0), (625.3, 376.3), (633.9, 419.6), (650.5, 384.6), (675.3, 372.8), (708.2, 389.4), (749.5, 422.3), (801.1, 368.3), (854.4, 389.3), (880.0, 422.3), (881.3, 356.0), (889.9, 310.0), (906.5, 286.3), (931.3, 286.9), (964.2, 321.0), (1005.1, 387.9), (1054.8, 403.8), (1108.2, 342.6), (1161.5, 301.9), (1214.8, 284.0), (1268.2, 292.1), (1321.5, 335.1), (1374.8, 406.3), (1428.2, 383.5), (1456.8, 368.8), (1456.8, 381.2), (1456.8, 429.0), (1456.1, 370.6), (1457.9, 319.6), (1467.5, 290.1), (1485.2, 283.9), (1511.0, 309.1), (1546.4, 298.1), (1591.4, 239.5), (1643.6, 201.5), (1696.9, 186.5), (1750.2, 198.6), (1803.6, 246.1), (1856.9, 318.5), (1910.2, 283.3), (1963.6, 229.7), (2016.9, 197.4), (2070.2, 188.1), (2123.6, 208.9), (2176.9, 265.3), (2230.2, 338.6), (2283.6, 412.0), (2336.9, 386.6), (2384.0, 330.4), (2385.3, 295.3), (2393.9, 283.1), (2410.5, 299.5), (2438.0, 242.7), (2473.9, 191.6), (2482.7, 162.1), (2493.3, 155.9), (2512.4, 166.4), (2542.2, 100.1), (2580.1, 54.1), (2626.1, 30.4), (2678.8, 30.9), (2732.1, 65.1), (2785.4, 132.0), (2838.8, 147.8), (2892.1, 86.6), (2945.4, 45.9), (2998.8, 28.0), (3052.1, 36.1), (3105.4, 79.1), (3158.8, 150.3), (3212.1, 223.6), (3265.4, 296.9), (3280.1, 370.3), (3285.7, 414.3), (3299.3, 385.1), (3321.1, 379.2), (3350.9, 404.8), (3390.0, 403.8), (3439.0, 370.5), (3492.3, 399.9), (3545.7, 403.8), (3599.0, 342.6), (3652.3, 301.9), (3705.7, 284.0), (3759.0, 292.1), (3812.3, 335.1), (3865.7, 406.3), (3919.0, 386.6), (3972.3, 330.4), (4025.7, 295.3), (4079.0, 283.1), (4132.3, 299.5), (4185.7, 351.4), (4208.1, 380.9), (4213.7, 317.1), (4227.3, 273.8), (4249.1, 253.0), (4278.9, 257.2), (4316.8, 295.8), (4365.1, 250.5), (4418.4, 196.9), (4471.8, 164.5), (4525.1, 155.2), (4578.4, 176.0), (4631.8, 232.4), (4685.1, 305.8), (4720.4, 299.0), (4727.0, 240.3), (4741.6, 202.4), (4764.4, 187.4), (4795.2, 199.5), (4834.1, 247.0), (4881.5, 294.3), (4934.8, 228.0), (4988.2, 182.0), (5041.5, 158.3), (5094.8, 158.9), (5148.2, 193.0), (5201.5, 259.9), (5254.8, 333.3), (5266.7, 406.6), (5277.3, 383.9), (5296.0, 369.1), (5322.8, 381.5), (5357.7, 429.3), (5403.3, 370.6), (5456.0, 381.0), (5509.3, 427.8), (5562.6, 370.6), (5616.0, 319.6), (5669.3, 290.1), (5722.6, 283.9), (5776.0, 309.1), (5776.8, 298.1), (5784.3, 239.5), (5800.0, 201.5), (5823.8, 186.5), (5855.6, 198.6), (5872.0, 240.0), (5874.7, 171.1), (5885.3, 122.6), (5904.0, 96.0), (5930.8, 93.1), (5965.7, 122.8), (6008.6, 186.8), (6059.5, 260.1), (6112.8, 333.4), (6166.2, 406.8), (6219.5, 386.6)]",0,21.35
speedrunner,mario,Mario1-1,Enemy,0,0,290.58,0.029,"[(112.0, 432.0), (127.2, 432.0), (173.1, 432.0), (226.4, 432.0)]",0,0.42
speedrunner,mario,Mario1-1,Enemy,0,0,214.09,0.028,"[(112.0, 432.0), (126.2, 432.0), (159.7, 432.0), (192.6, 432.0), (222.3, 432.4)]",0,0.53
speedrunner,mario,Mario1-1,Enemy,0,0,290.58,0.029,"[(112.0, 432.0), (127.2, 432.0), (173.1, 432.0), (226.4, 432.0)]",0,0.42
