persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
speedrunner,mario,Mario1-2,Stuck,27,0,20.43,0.075,"[(112.0, 208.0), (112.0, 226.4), (112.8, 280.4), (120.3, 353.8), (135.4, 314.5), (152.9, 260.9), (169.8, 228.8), (182.2, 219.9), (190.2, 241.0), (196.7, 297.8), (210.7, 368.0), (230.7, 299.1), (247.4, 250.6), (259.7, 224.0), (267.5, 221.1), (270.9, 250.8), (275.4, 314.8), (284.9, 348.9), (289.8, 285.1), (294.4, 242.5), (297.5, 222.7), (299.4, 227.9), (304.4, 267.6), (306.7, 337.4), (309.7, 331.3), (309.7, 308.3), (309.7, 342.1), (306.9, 331.0), (302.4, 272.3), (302.4, 235.0), (302.4, 220.6), (305.3, 233.5), (306.9, 186.6), (306.9, 133.4), (306.9, 101.5), (306.9, 92.6), (306.9, 113.9), (308.8, 170.7), (318.4, 240.0), (324.4, 171.1), (325.9, 122.7), (325.9, 96.4), (325.9, 93.8), (325.9, 123.9), (329.4, 188.1), (339.4, 220.9), (344.1, 157.1), (344.8, 113.9), (344.8, 93.4), (344.8, 98.0), (345.0, 137.0), (350.5, 206.4), (360.0, 203.0), (363.6, 144.3), (363.8, 106.6), (363.8, 91.9), (363.8, 104.4), (364.6, 152.3), (372.2, 224.8), (380.3, 186.5), (382.8, 132.9), (382.8, 100.8), (382.8, 91.9), (382.8, 113.0), (384.7, 169.8), (394.3, 240.0), (400.0, 171.1), (401.2, 122.7), (401.2, 96.4), (401.2, 93.8), (401.2, 123.9), (404.7, 188.1), (414.7, 220.9), (419.1, 157.1), (423.8, 114.9), (427.0, 95.8), (427.1, 101.7), (427.5, 142.1), (433.9, 212.2), (437.6, 203.3), (437.6, 146.2), (437.6, 112.2), (437.6, 101.3), (437.6, 119.0), (437.6, 172.2), (437.6, 240.0), (431.1, 172.4), (427.2, 127.4), (426.9, 104.6), (426.9, 106.1), (427.3, 141.2), (433.7, 208.6), (437.4, 203.3), (437.3, 146.2), (437.3, 112.2), (437.3, 101.3), (437.3, 119.0), (437.3, 172.2), (437.3, 240.0), (430.9, 172.4), (427.0, 127.4), (426.7, 104.6), (426.7, 106.1), (427.1, 141.2), (433.4, 208.6), (437.2, 203.3), (437.1, 146.2), (437.1, 112.2), (437.1, 101.3), (437.1, 119.0), (437.1, 172.2), (437.1, 240.0), (430.7, 172.4), (426.8, 127.4), (426.5, 104.6), (426.5, 106.1), (426.8, 141.2)]",0,15.47
speedrunner,mario,Mario1-2,Stuck,11,0,235.74,0.969,"[(112.0, 208.0), (116.5, 226.4), (128.0, 280.4), (137.0, 353.8), (146.0, 314.5), (154.2, 260.9), (169.3, 228.5), (192.5, 219.2), (223.8, 240.0), (263.2, 296.4), (310.7, 368.0), (364.0, 304.0), (417.4, 320.9), (470.7, 345.1), (524.0, 315.8), (577.4, 309.9), (624.0, 335.5), (624.1, 339.8), (625.7, 278.6), (628.6, 237.9), (638.5, 220.0), (656.5, 228.1), (682.5, 271.1), (688.1, 342.3), (688.8, 322.6), (688.8, 266.4), (695.0, 231.3), (709.1, 219.1), (731.3, 235.5), (752.4, 287.4), (752.4, 360.6), (752.4, 306.6), (752.4, 255.6), (754.7, 226.1), (765.3, 219.9), (784.4, 230.3), (814.2, 164.0), (852.1, 118.1), (898.1, 94.4), (950.8, 94.9), (1004.1, 129.1), (1057.4, 196.0), (1110.8, 269.3), (1164.1, 342.6), (1217.4, 319.9), (1270.8, 305.1), (1324.1, 317.6), (1377.4, 365.3), (1430.8, 306.6), (1484.1, 317.0), (1537.4, 350.3), (1590.8, 318.2), (1644.1, 309.2), (1697.4, 330.3), (1715.0, 368.3), (1744.4, 368.0), (1796.7, 368.0), (1850.1, 322.6), (1903.4, 310.7), (1956.7, 348.7), (2010.1, 324.1), (2063.4, 309.3), (2116.7, 321.7), (2170.1, 368.0), (2223.4, 304.0), (2276.7, 320.9), (2330.1, 368.0), (2383.4, 304.0), (2436.7, 320.9), (2490.1, 368.0), (2543.4, 304.0), (2596.7, 321.5), (2650.1, 334.6), (2703.4, 308.3), (2756.7, 305.7), (2810.1, 335.7), (2863.4, 339.8), (2916.7, 278.6), (2970.1, 237.9), (3023.4, 220.0), (3076.7, 228.1), (3130.1, 271.1), (3183.4, 342.3), (3236.7, 322.6), (3280.1, 266.4), (3284.5, 231.3), (3286.4, 219.1), (3286.4, 235.5), (3287.7, 252.0), (3297.3, 188.2), (3315.0, 145.1), (3340.8, 124.6), (3374.7, 129.1), (3416.7, 168.1), (3466.7, 237.6), (3520.0, 178.6), (3573.3, 127.6), (3626.7, 98.1), (3680.0, 91.9), (3733.3, 117.1), (3786.7, 177.6), (3840.0, 250.9), (3893.3, 226.6), (3946.7, 170.4), (4000.0, 135.3), (4053.3, 123.1), (4106.7, 139.5), (4160.0, 191.4), (4213.3, 264.6), (4266.7, 275.8), (4275.5, 214.6), (4287.2, 173.9), (4306.9, 156.0), (4334.7, 164.1), (4370.6, 207.1), (4417.2, 212.2), (4470.5, 150.9), (4523.9, 110.3), (4577.2, 92.4), (4630.5, 100.4), (4683.9, 143.5), (4737.2, 214.6), (4790.5, 194.6), (4843.9, 138.4), (4897.2, 103.3), (4950.5, 91.1), (5003.9, 107.5), (5057.2, 134.3), (5110.5, 80.4), (5163.9, 103.2), (5217.2, 161.6), (5270.5, 234.9), (5323.9, 234.6), (5377.2, 176.0), (5430.5, 138.0), (5483.9, 123.0), (5488.8, 135.1), (5488.8, 182.6), (5488.0, 162.6), (5488.0, 106.4), (5488.0, 81.3), (5488.0, 108.6), (5488.0, 170.8), (5488.4, 170.5), (5488.4, 111.8), (5488.4, 80.4), (5488.4, 103.2), (5488.4, 161.6), (5488.4, 179.2), (5488.4, 118.0), (5488.4, 80.0), (5488.4, 98.4), (5488.4, 152.4), (5488.0, 188.3), (5488.0, 124.6), (5488.0, 81.3), (5488.0, 94.2), (5488.0, 143.8), (5488.0, 197.7), (5488.0, 131.4), (5488.0, 85.5), (5488.0, 90.5), (5488.0, 135.6), (5488.0, 207.4), (5488.4, 138.6), (5488.4, 90.1), (5488.4, 87.4), (5488.4, 128.0), (5488.4, 198.3), (5488.4, 146.1), (5488.4, 95.0), (5488.4, 84.8), (5488.4, 121.0)]",0,23.02
speedrunner,mario,Mario1-2,Stall,1,0,1.98,0.028,"[(112.0, 208.0), (112.0, 226.4), (112.0, 280.4), (112.0, 353.8), (114.0, 314.5), (114.1, 260.9), (114.1, 228.5), (114.1, 219.2), (114.1, 240.0), (114.1, 296.4), (114.1, 368.0), (116.2, 299.1), (116.2, 250.6), (116.2, 224.0), (116.2, 221.1), (116.2, 250.8), (116.2, 314.8), (117.1, 348.9), (118.3, 285.1), (118.3, 241.8), (118.3, 221.0), (118.3, 225.2), (118.3, 263.8), (118.3, 333.1), (119.9, 331.0), (120.4, 272.3), (120.4, 234.4), (120.4, 219.4), (120.4, 231.5), (120.4, 279.0), (120.4, 351.4), (122.4, 314.5), (122.5, 260.9), (122.5, 228.5), (122.5, 219.2), (122.5, 240.0), (122.5, 296.4), (122.5, 368.0), (124.6, 299.1), (124.6, 250.6), (124.6, 224.0), (124.6, 221.1), (124.6, 250.8), (124.6, 314.8), (125.5, 348.9), (126.7, 285.1), (126.7, 241.8), (126.7, 221.0), (126.7, 225.2), (126.7, 263.8), (126.7, 333.1), (128.3, 331.0), (128.8, 272.3), (128.8, 234.4), (128.8, 219.4), (128.8, 231.5), (128.8, 279.0), (128.8, 351.4), (128.8, 316.4), (128.8, 304.5), (128.8, 321.2), (128.8, 368.0), (130.9, 299.1), (130.9, 250.6), (130.9, 224.0), (130.9, 221.1), (130.9, 250.8), (130.9, 314.8), (131.8, 348.9), (133.0, 285.1), (133.0, 241.8), (133.0, 221.0), (133.0, 225.2), (133.0, 263.8), (133.0, 333.1), (134.6, 331.0), (135.1, 272.3), (135.1, 234.4), (135.1, 219.4), (135.1, 231.5), (135.1, 279.0), (135.1, 351.4), (137.1, 314.5), (137.2, 260.9), (137.2, 228.5), (137.2, 219.2), (137.2, 240.0), (137.2, 296.4), (137.2, 368.0), (139.3, 299.1), (139.3, 250.6), (139.3, 224.0), (139.3, 221.1), (139.3, 250.8), (139.3, 314.8), (140.2, 348.9), (141.4, 285.1), (141.4, 241.8), (141.4, 221.0), (141.4, 225.2), (141.4, 263.8), (141.4, 333.1), (142.6, 331.0), (142.8, 272.3), (142.8, 234.4), (142.8, 219.4), (142.8, 231.5), (142.8, 279.0), (142.8, 351.4), (144.2, 314.5), (144.2, 260.9), (144.2, 228.5), (144.2, 219.2), (144.2, 240.0), (144.2, 296.4), (144.1, 368.0), (145.7, 299.1), (145.7, 250.6), (145.7, 224.0), (145.7, 221.1), (145.7, 250.8), (145.7, 314.8), (146.3, 348.9), (147.1, 285.1), (147.1, 241.8), (147.1, 221.0), (147.1, 225.2), (147.1, 263.8), (147.1, 333.1), (148.3, 331.0), (148.5, 272.3), (148.5, 234.4), (148.5, 219.4), (148.5, 231.5), (148.5, 279.0), (148.5, 351.4), (149.9, 314.5), (149.9, 260.9), (149.9, 228.5), (149.9, 219.2), (149.9, 240.0), (149.9, 296.4), (149.8, 368.0), (151.3, 299.1), (151.3, 250.6), (151.3, 224.0), (151.3, 221.1), (151.3, 250.8), (151.3, 314.8), (152.0, 348.9), (152.8, 285.1), (152.8, 241.8), (152.8, 221.0), (152.8, 225.2), (152.8, 263.8), (152.8, 333.1), (153.9, 331.0), (154.2, 272.3), (154.2, 234.4), (154.2, 219.4), (154.2, 231.5), (154.2, 279.0), (154.2, 351.4), (155.6, 314.5), (155.6, 260.9), (155.6, 228.5), (155.6, 219.2), (155.6, 240.0), (155.6, 296.4), (155.5, 368.0)]",0,22.6
speedrunner,mario,Mario1-2,Stuck,6,0,0.0,0.02,"[(112.0, 208.0), (112.0, 226.4), (112.0, 280.4), (112.0, 353.8), (112.0, 315.3), (112.0, 265.3), (112.0, 238.4), (112.0, 235.2), (112.0, 264.6), (112.0, 328.4), (112.0, 340.0), (112.0, 281.4), (112.0, 245.8), (112.0, 233.3), (112.0, 249.4), (112.0, 301.1), (112.0, 368.0), (112.0, 300.7), (112.0, 256.4), (112.0, 235.3), (112.0, 239.2), (112.0, 277.5), (112.0, 346.7), (112.0, 323.2), (112.0, 270.3), (112.0, 240.5), (112.0, 234.0), (112.0, 259.0), (112.0, 319.2), (112.0, 349.0), (112.0, 287.4), (112.0, 249.0), (112.0, 233.6), (112.0, 245.5), (112.0, 292.7), (112.0, 365.0), (112.0, 308.1), (112.0, 261.3)]",0,5.02
speedrunner,mario,Mario1-2,Stuck,0,0,0.52,0.02,"[(112.0, 208.0), (116.5, 226.4), (124.9, 280.4), (137.4, 353.8), (141.3, 368.0), (141.3, 368.0), (141.3, 368.0), (141.3, 368.0), (141.3, 368.0), (141.3, 368.0), (141.3, 368.0), (141.3, 368.0), (141.3, 368.0), (141.3, 368.0), (141.3, 368.0), (141.3, 368.0), (141.3, 368.0), (141.3, 368.0), (141.3, 368.0), (141.3, 368.0), (141.3, 368.0), (141.3, 368.0), (141.3, 368.0), (141.3, 368.0), (141.3, 368.0), (141.3, 368.0), (141.3, 368.0), (140.4, 368.0), (138.6, 368.0), (136.7, 368.0), (134.9, 368.0), (133.1, 368.0), (131.3, 368.0), (129.4, 368.0), (127.6, 368.0), (125.8, 368.0), (124.0, 368.0), (122.2, 368.0), (120.3, 368.0), (118.5, 368.0), (116.7, 368.0), (114.9, 368.0)]",0,5.47
speedrunner,mario,Mario1-2,Stuck,0,0,-12.47,0.008,"[(112.0, 208.0), (107.5, 226.4), (94.8, 280.4), (74.1, 353.8), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0)]",0,5.02
speedrunner,mario,Mario1-2,Stuck,0,0,-12.01,0.008,"[(112.0, 208.0), (107.5, 226.4), (95.4, 280.4), (84.9, 353.8), (66.7, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0)]",0,5.02
speedrunner,mario,Mario1-2,Stuck,1,0,-12.02,0.008,"[(112.0, 208.0), (107.5, 226.4), (94.8, 280.4), (74.1, 353.8), (48.0, 314.5), (48.0, 260.9), (48.0, 228.5), (48.0, 219.2), (48.0, 240.0), (48.0, 296.4), (48.0, 368.0), (48.0, 299.1), (48.0, 250.6), (48.0, 224.0), (48.0, 221.1), (48.0, 250.8), (48.0, 314.8), (48.0, 348.9), (48.0, 285.1), (48.0, 241.8), (48.0, 221.0), (48.0, 225.2), (48.0, 263.8), (48.0, 333.1), (48.0, 331.0), (48.0, 272.3), (48.0, 234.4), (48.0, 219.4), (48.0, 231.5), (48.0, 279.0), (48.0, 351.4), (48.0, 314.5), (48.0, 260.9), (48.0, 228.5), (48.0, 219.2), (48.0, 240.0), (48.0, 296.4), (48.0, 368.0)]",0,5.02
speedrunner,mario,Mario1-2,Stuck,0,0,-11.46,0.008,"[(112.0, 208.0), (111.8, 226.4), (110.5, 280.4), (102.5, 353.8), (78.4, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0)]",0,5.02
speedrunner,mario,Mario1-2,Pit,9,0,250.83,0.466,"[(112.0, 208.0), (116.5, 226.4), (128.9, 280.4), (145.4, 353.8), (162.0, 314.5), (182.8, 260.9), (204.2, 228.5), (233.6, 219.2), (271.1, 240.0), (304.1, 296.4), (309.7, 368.0), (326.4, 304.0), (351.1, 320.9), (382.5, 368.0), (407.4, 304.0), (438.6, 320.9), (467.0, 345.4), (487.3, 316.1), (500.3, 310.2), (513.3, 335.8), (518.2, 339.8), (520.4, 278.7), (526.2, 238.2), (538.8, 220.4), (558.7, 228.5), (584.0, 271.7), (604.9, 336.0), (615.8, 267.1), (630.3, 218.6), (652.9, 192.0), (680.0, 189.1), (710.9, 218.8), (745.4, 262.3), (753.9, 196.0), (763.5, 150.0), (781.2, 126.3), (807.0, 126.9), (840.9, 161.0), (877.5, 227.9), (910.0, 243.8), (947.1, 182.6), (986.1, 141.9), (1033.1, 124.0), (1086.1, 132.1), (1139.4, 175.1), (1191.5, 246.3), (1244.1, 319.6), (1295.5, 348.9), (1347.4, 305.1), (1400.7, 330.4), (1451.5, 348.9), (1502.7, 305.1), (1554.1, 330.4), (1603.9, 335.6), (1656.9, 312.1), (1710.2, 313.0), (1712.8, 347.4), (1721.2, 368.3), (1761.5, 368.0), (1806.5, 368.0), (1845.2, 304.0), (1892.0, 320.9), (1943.7, 345.1), (1996.3, 315.8), (2049.6, 309.9), (2102.9, 335.5), (2153.8, 339.8), (2206.2, 306.5), (2259.5, 335.9), (2310.5, 339.8), (2362.1, 306.5), (2415.5, 335.9), (2466.5, 339.8), (2518.3, 306.5), (2571.6, 335.9), (2622.3, 399.3)]",0,10.07
