persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,bricks_destroyed,elapsed_time
experienced,meatboy,4,Stuck,15,0,0.0,0.088,"[(73.0, 685.0), (73.0, 681.3), (73.0, 674.2), (73.0, 686.0), (73.0, 676.1), (73.0, 678.5), (73.0, 681.1), (73.0, 674.0), (73.0, 685.8), (73.0, 676.0), (73.0, 678.3), (73.0, 681.1), (73.0, 674.0), (73.0, 685.8), (73.0, 676.0), (73.0, 678.3), (73.0, 681.1), (73.0, 674.0), (73.0, 685.8), (73.0, 676.0), (73.0, 678.3), (73.0, 681.1), (73.0, 674.0), (73.0, 685.8), (73.0, 676.0), (73.0, 678.3), (73.0, 681.1), (73.0, 674.0), (73.0, 685.8), (73.0, 676.0), (73.0, 678.3), (73.0, 681.1), (73.0, 674.0), (73.0, 685.8), (73.0, 676.0), (73.0, 678.3), (73.0, 681.1), (73.0, 674.0)]",0,0,5.02
experienced,meatboy,4,Stuck,1,0,40.84,0.374,"[(73.0, 685.0), (98.2, 691.3), (138.2, 691.0), (178.2, 691.9), (218.2, 691.3), (258.2, 691.0), (296.9, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3)]",0,0,5.77
experienced,meatboy,4,Pit,1,0,-261.3,0.0,"[(73.0, 685.0), (65.8, 691.3), (27.8, 691.0), (-12.2, 691.9), (-52.2, 707.2), (-92.2, 741.4), (-132.2, 794.4)]",0,0,0.9
experienced,meatboy,4,Pit,2,0,-196.57,0.0,"[(73.0, 685.0), (52.9, 681.3), (15.4, 674.2), (-18.2, 686.0), (-46.6, 716.7), (-69.6, 766.2), (-87.2, 834.5)]",0,0,0.83
experienced,meatboy,4,Stuck,5,0,57.3,0.374,"[(73.0, 685.0), (98.2, 676.1), (138.2, 627.4), (178.2, 609.3), (218.2, 614.1), (258.2, 637.6), (298.2, 680.1), (311.7, 649.2), (311.7, 609.9), (311.7, 589.5), (311.7, 587.9), (311.7, 605.2), (311.7, 640.4), (311.7, 680.1), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3)]",0,0,6.08
experienced,meatboy,4,Stuck,32,0,17.13,0.215,"[(73.0, 685.0), (75.2, 691.3), (106.1, 681.4), (134.4, 674.3), (169.8, 686.1), (209.6, 676.5), (249.6, 676.6), (289.6, 691.3), (300.7, 671.7), (218.5, 662.3), (141.5, 671.8), (100.9, 691.3), (130.1, 691.0), (170.1, 691.9), (209.9, 675.5), (249.9, 677.9), (289.9, 691.9), (300.7, 672.0), (218.5, 662.6), (141.5, 672.1), (100.9, 691.3), (130.1, 691.0), (170.1, 691.9), (209.9, 675.5), (249.9, 677.9), (289.9, 691.9), (300.7, 672.0), (218.5, 662.6), (141.5, 672.1), (100.9, 691.3), (130.1, 691.0), (170.1, 691.9), (209.9, 675.5), (249.9, 677.9), (289.9, 691.9), (300.7, 672.0), (218.5, 662.6), (141.5, 672.1), (100.9, 691.3), (130.1, 691.0), (170.1, 691.9), (209.9, 675.5), (249.9, 677.9), (289.9, 691.9), (300.7, 672.0), (218.5, 662.6)]",0,0,6.07
experienced,meatboy,4,Stuck,0,0,53.05,0.374,"[(73.0, 685.0), (98.2, 691.3), (138.2, 691.0), (178.2, 691.9), (218.2, 691.3), (258.2, 691.0), (298.2, 691.9), (311.7, 691.3), (311.0, 691.0), (311.0, 691.9), (311.7, 691.3), (311.0, 691.0), (311.0, 691.9), (311.7, 691.3), (311.0, 691.0), (311.0, 691.9), (311.7, 691.3), (311.0, 691.0), (311.0, 691.9), (311.7, 691.3), (311.0, 691.0), (311.0, 691.9), (311.7, 691.3), (311.0, 691.0), (311.0, 691.9), (311.7, 691.3), (311.0, 691.0), (311.0, 691.9), (311.7, 691.3), (311.0, 691.0), (311.0, 691.9), (311.7, 691.3), (311.0, 691.0), (311.0, 691.9), (311.7, 691.3), (311.0, 691.0), (311.0, 691.9), (311.7, 691.3), (311.0, 691.0), (311.0, 691.9), (311.7, 691.3), (311.0, 691.0), (311.0, 691.9), (311.7, 691.3)]",0,0,5.77
experienced,meatboy,4,Pit,0,0,-282.55,0.0,"[(73.0, 685.0), (47.8, 691.3), (7.8, 691.0), (-32.2, 695.4), (-72.2, 717.8), (-112.2, 759.0), (-152.2, 819.1)]",0,0,0.85
experienced,meatboy,4,Stuck,0,0,0.0,0.088,"[(73.0, 685.0), (73.0, 691.3), (73.0, 691.0), (73.0, 691.9), (73.0, 691.3), (73.0, 691.0), (73.0, 691.9), (73.0, 691.3), (73.0, 691.0), (73.0, 691.9), (73.0, 691.3), (73.0, 691.0), (73.0, 691.9), (73.0, 691.3), (73.0, 691.0), (73.0, 691.9), (73.0, 691.3), (73.0, 691.0), (73.0, 691.9), (73.0, 691.3), (73.0, 691.0), (73.0, 691.9), (73.0, 691.3), (73.0, 691.0), (73.0, 691.9), (73.0, 691.3), (73.0, 691.0), (73.0, 691.9), (73.0, 691.3), (73.0, 691.0), (73.0, 691.9), (73.0, 691.3), (73.0, 691.0), (73.0, 691.9), (73.0, 691.3), (73.0, 691.0), (73.0, 691.9), (73.0, 691.3)]",0,0,5.02
experienced,meatboy,4,Stuck,0,0,59.32,0.375,"[(73.0, 685.0), (98.2, 691.3), (138.2, 691.0), (178.2, 691.9), (218.2, 691.3), (258.2, 691.0), (298.2, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3)]",0,0,5.77
experienced,meatboy,4,Stuck,5,0,57.3,0.374,"[(73.0, 685.0), (98.2, 676.1), (138.2, 627.4), (178.2, 609.3), (218.2, 614.1), (258.2, 637.6), (298.2, 680.1), (311.7, 649.2), (311.7, 609.9), (311.7, 589.5), (311.7, 587.9), (311.7, 605.2), (311.7, 640.4), (311.7, 680.1), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3)]",0,0,6.08
experienced,meatboy,4,Stuck,32,0,17.13,0.215,"[(73.0, 685.0), (75.2, 691.3), (106.1, 681.4), (134.4, 674.3), (169.8, 686.1), (209.6, 676.5), (249.6, 676.6), (289.6, 691.3), (300.7, 671.7), (218.5, 662.3), (141.5, 671.8), (100.9, 691.3), (130.1, 691.0), (170.1, 691.9), (209.9, 675.5), (249.9, 677.9), (289.9, 691.9), (300.7, 672.0), (218.5, 662.6), (141.5, 672.1), (100.9, 691.3), (130.1, 691.0), (170.1, 691.9), (209.9, 675.5), (249.9, 677.9), (289.9, 691.9), (300.7, 672.0), (218.5, 662.6), (141.5, 672.1), (100.9, 691.3), (130.1, 691.0), (170.1, 691.9), (209.9, 675.5), (249.9, 677.9), (289.9, 691.9), (300.7, 672.0), (218.5, 662.6), (141.5, 672.1), (100.9, 691.3), (130.1, 691.0), (170.1, 691.9), (209.9, 675.5), (249.9, 677.9), (289.9, 691.9), (300.7, 672.0), (218.5, 662.6)]",0,0,6.07
experienced,meatboy,4,Stuck,0,0,59.32,0.375,"[(73.0, 685.0), (98.2, 691.3), (138.2, 691.0), (178.2, 691.9), (218.2, 691.3), (258.2, 691.0), (298.2, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3), (311.7, 691.0), (311.7, 691.9), (311.7, 691.3)]",0,0,5.77
