persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,bricks_destroyed,elapsed_time
experienced,meatboy,7,Saw,3,0,267.33,0.381,"[(105.0, 237.0), (130.2, 243.3), (170.2, 243.0), (210.2, 243.9), (250.2, 243.3), (290.2, 226.3), (330.2, 233.4), (370.2, 259.4), (410.2, 304.1), (439.3, 367.8)]",0,0,1.25
experienced,meatboy,7,Stuck,1,0,4.49,0.111,"[(105.0, 237.0), (125.8, 243.3), (127.5, 243.0), (127.5, 243.9), (127.5, 243.3), (127.5, 243.0), (127.5, 243.9), (127.5, 243.3), (127.5, 243.0), (127.5, 243.9), (127.5, 243.3), (127.5, 243.0), (127.5, 243.9), (127.5, 243.3), (127.5, 243.0), (127.5, 243.9), (127.5, 243.3), (127.5, 243.0), (127.5, 243.9), (127.5, 243.3), (127.5, 243.0), (127.5, 243.9), (127.5, 243.3), (127.5, 243.0), (127.5, 243.9), (127.5, 243.3), (127.5, 243.0), (127.5, 243.9), (127.5, 243.3), (127.5, 243.0), (127.5, 243.9), (127.5, 243.3), (127.5, 243.0), (127.5, 243.9), (127.5, 243.3), (127.5, 243.0), (127.5, 243.9), (127.5, 243.3)]",0,0,5.02
experienced,meatboy,7,Pit,1,0,-287.81,0.0,"[(105.0, 237.0), (79.8, 243.3), (39.8, 243.0), (-0.2, 243.9), (-40.2, 251.2), (-80.2, 278.3), (-120.2, 324.3), (-160.2, 389.0), (-200.2, 472.7), (-240.2, 575.1)]",0,0,1.22
experienced,meatboy,7,Saw,0,0,288.59,0.417,"[(105.0, 237.0), (130.2, 243.3), (170.2, 243.0), (210.2, 243.9), (250.2, 243.3), (290.2, 243.0), (330.2, 243.9), (370.2, 259.2), (410.2, 293.4), (450.2, 346.4)]",0,0,1.3
experienced,meatboy,7,Saw,1,0,281.38,0.417,"[(105.0, 237.0), (120.2, 243.3), (160.2, 243.0), (200.2, 243.9), (240.2, 243.3), (280.2, 243.0), (320.2, 243.9), (360.2, 251.2), (400.2, 278.3), (440.2, 324.3), (480.2, 389.0)]",0,0,1.33
experienced,meatboy,7,Saw,1,0,273.89,0.412,"[(105.0, 237.0), (116.5, 243.3), (153.5, 243.0), (193.5, 243.9), (233.5, 243.3), (273.5, 243.0), (313.5, 243.9), (353.5, 251.2), (393.5, 278.3), (433.5, 324.3), (470.5, 389.0)]",0,0,1.35
experienced,meatboy,7,Pit,1,0,-48.92,0.0,"[(105.0, 237.0), (79.8, 243.3), (39.8, 243.0), (31.9, 243.9), (25.1, 243.3), (18.2, 243.0), (11.3, 243.9), (4.4, 243.3), (-2.5, 243.0), (-10.6, 243.9), (-9.0, 259.2), (-9.0, 293.0), (-9.0, 332.7), (-9.0, 372.3), (-9.0, 412.0), (-9.0, 451.7), (-9.0, 491.4), (-9.7, 531.4), (-12.6, 584.0)]",0,0,2.42
experienced,meatboy,7,Saw,1,0,241.39,0.381,"[(105.0, 237.0), (107.2, 243.3), (140.2, 243.0), (180.2, 243.9), (220.2, 243.3), (260.2, 243.0), (300.2, 243.9), (339.9, 245.9), (375.6, 266.0), (405.9, 304.8), (430.9, 362.5)]",0,0,1.38
experienced,meatboy,7,Stuck,1,0,0.0,0.091,"[(105.0, 237.0), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3)]",0,0,5.02
experienced,meatboy,7,Stuck,0,0,-4.44,0.072,"[(105.0, 237.0), (88.5, 243.3), (82.7, 243.0), (82.7, 243.9), (82.7, 243.3), (82.7, 243.0), (82.7, 243.9), (82.7, 243.3), (82.7, 243.0), (82.7, 243.9), (82.7, 243.3), (82.7, 243.0), (82.7, 243.9), (82.7, 243.3), (82.7, 243.0), (82.7, 243.9), (82.7, 243.3), (82.7, 243.0), (82.7, 243.9), (82.7, 243.3), (82.7, 243.0), (82.7, 243.9), (82.7, 243.3), (82.7, 243.0), (82.7, 243.9), (82.7, 243.3), (82.7, 243.0), (82.7, 243.9), (82.7, 243.3), (82.7, 243.0), (82.7, 243.9), (82.7, 243.3), (82.7, 243.0), (82.7, 243.9), (82.7, 243.3), (82.7, 243.0), (82.7, 243.9), (82.7, 243.3)]",0,0,5.02
experienced,meatboy,7,Saw,1,0,241.39,0.381,"[(105.0, 237.0), (107.2, 243.3), (140.2, 243.0), (180.2, 243.9), (220.2, 243.3), (260.2, 243.0), (300.2, 243.9), (339.9, 245.9), (375.6, 266.0), (405.9, 304.8), (430.9, 362.5)]",0,0,1.38
experienced,meatboy,7,Saw,1,0,273.89,0.412,"[(105.0, 237.0), (116.5, 243.3), (153.5, 243.0), (193.5, 243.9), (233.5, 243.3), (273.5, 243.0), (313.5, 243.9), (353.5, 251.2), (393.5, 278.3), (433.5, 324.3), (470.5, 389.0)]",0,0,1.35
experienced,meatboy,7,Saw,1,0,281.38,0.417,"[(105.0, 237.0), (120.2, 243.3), (160.2, 243.0), (200.2, 243.9), (240.2, 243.3), (280.2, 243.0), (320.2, 243.9), (360.2, 251.2), (400.2, 278.3), (440.2, 324.3), (480.2, 389.0)]",0,0,1.33
experienced,meatboy,7,Saw,0,0,288.59,0.417,"[(105.0, 237.0), (130.2, 243.3), (170.2, 243.0), (210.2, 243.9), (250.2, 243.3), (290.2, 243.0), (330.2, 243.9), (370.2, 259.2), (410.2, 293.4), (450.2, 346.4)]",0,0,1.3
experienced,meatboy,7,Saw,1,0,284.74,0.412,"[(105.0, 237.0), (125.2, 243.3), (165.2, 243.0), (205.2, 243.9), (245.2, 243.3), (285.2, 243.0), (325.2, 243.9), (365.2, 259.2), (405.2, 293.4), (445.2, 346.4)]",0,0,1.3
experienced,meatboy,7,Saw,3,0,283.03,0.411,"[(105.0, 237.0), (130.2, 243.3), (170.2, 243.0), (210.2, 243.9), (250.2, 243.3), (290.2, 243.0), (330.2, 243.9), (370.2, 259.2), (410.2, 293.4), (450.2, 346.4)]",0,0,1.3
experienced,meatboy,7,Saw,1,0,269.72,0.415,"[(105.0, 237.0), (111.2, 243.3), (146.1, 243.0), (186.1, 243.9), (226.1, 243.3), (266.1, 243.0), (306.1, 243.9), (346.1, 245.9), (386.1, 266.0), (426.1, 304.8), (464.9, 362.5)]",0,0,1.38
