persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
experienced,meatboy,3,Stuck,4,0,55.9,0.375,"[(73.0, 621.0), (135.7, 570.1), (148.5, 529.2), (151.3, 526.9), (167.8, 516.8), (179.2, 468.1), (209.4, 438.2), (246.2, 427.2), (286.2, 435.1), (311.0, 461.8), (311.0, 501.2), (311.0, 531.3), (311.0, 531.0), (311.0, 531.9), (311.0, 531.3), (311.0, 531.0), (311.0, 531.9), (311.0, 531.3), (311.0, 531.0), (311.0, 531.9), (311.0, 531.3), (311.0, 531.0), (311.0, 531.9), (311.0, 531.3), (311.0, 531.0), (311.0, 531.9), (311.0, 531.3), (311.0, 531.0), (311.0, 531.9), (311.0, 531.3), (311.0, 531.0), (311.0, 531.9), (311.0, 531.3), (311.0, 531.0), (311.0, 531.9), (311.0, 531.3), (311.0, 531.0), (311.0, 531.9), (311.0, 531.3), (311.0, 531.0), (311.0, 531.9), (311.0, 531.3), (311.0, 531.0), (311.0, 531.9), (311.0, 531.3), (311.0, 531.0)]",0,6.08
experienced,meatboy,3,Stuck,1,0,9.66,0.151,"[(73.0, 621.0), (75.2, 627.3), (85.2, 627.0), (93.2, 627.9), (98.0, 627.3), (103.2, 627.0), (106.4, 627.9), (109.3, 627.3), (112.2, 627.0), (115.1, 627.9), (118.0, 627.3), (120.2, 627.0), (122.3, 627.9), (124.5, 627.3), (125.9, 627.0), (125.9, 627.9), (125.9, 627.3), (125.9, 627.0), (125.9, 627.9), (125.9, 627.3), (125.9, 627.0), (125.9, 627.9), (125.9, 627.3), (125.9, 627.0), (125.9, 627.9), (125.9, 627.3), (125.9, 627.0), (125.9, 627.9), (125.9, 627.3), (125.9, 627.0), (125.9, 627.9), (125.9, 627.3), (125.9, 627.0), (125.9, 627.9), (125.9, 627.3), (125.9, 627.0), (125.9, 627.9), (125.9, 627.3), (125.9, 627.0), (125.9, 627.9), (125.9, 627.3), (125.9, 627.0)]",0,5.48
experienced,meatboy,3,Stuck,1,0,34.14,0.182,"[(73.0, 621.0), (75.2, 627.3), (108.2, 627.0), (148.2, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3)]",0,5.33
experienced,meatboy,3,Stuck,1,0,34.79,0.182,"[(73.0, 621.0), (98.2, 627.3), (138.2, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9), (151.7, 627.3), (151.7, 627.0), (151.7, 627.9)]",0,5.23
experienced,meatboy,3,Stuck,1,0,1.44,0.096,"[(73.0, 621.0), (80.2, 627.3), (80.2, 627.0), (80.2, 627.9), (80.2, 627.3), (80.2, 627.0), (80.2, 627.9), (80.2, 627.3), (80.2, 627.0), (80.2, 627.9), (80.2, 627.3), (80.2, 627.0), (80.2, 627.9), (80.2, 627.3), (80.2, 627.0), (80.2, 627.9), (80.2, 627.3), (80.2, 627.0), (80.2, 627.9), (80.2, 627.3), (80.2, 627.0), (80.2, 627.9), (80.2, 627.3), (80.2, 627.0), (80.2, 627.9), (80.2, 627.3), (80.2, 627.0), (80.2, 627.9), (80.2, 627.3), (80.2, 627.0), (80.2, 627.9), (80.2, 627.3), (80.2, 627.0), (80.2, 627.9), (80.2, 627.3), (80.2, 627.0), (80.2, 627.9), (80.2, 627.3)]",0,5.0
experienced,meatboy,3,Stuck,2,0,-0.94,0.088,"[(73.0, 621.0), (144.6, 561.9), (138.8, 538.7), (127.2, 543.5), (115.2, 567.0), (102.1, 609.5), (81.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9)]",0,5.2
experienced,meatboy,3,Stuck,0,0,0.0,0.088,"[(73.0, 621.0), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3)]",0,5.0
experienced,meatboy,3,Stuck,26,0,11.91,0.117,"[(73.0, 621.0), (144.6, 603.1), (73.0, 584.5), (104.0, 571.7), (111.0, 553.1), (73.0, 548.4), (73.0, 562.6), (124.7, 556.3), (84.3, 537.7), (73.0, 537.7), (73.0, 556.6), (135.0, 546.8), (73.0, 528.2), (73.0, 530.5), (73.0, 551.8), (124.7, 548.1), (84.3, 529.5), (73.0, 529.5), (73.0, 548.4), (114.3, 549.8), (97.7, 531.2), (73.0, 528.8), (73.0, 545.3), (104.0, 551.7), (111.0, 533.1), (73.0, 528.4), (73.0, 542.6), (93.7, 554.0), (124.3, 535.4), (73.0, 528.3), (73.0, 540.1), (83.3, 556.5), (137.7, 537.9), (73.0, 528.5), (73.0, 537.9), (73.0, 566.2), (151.0, 547.6), (73.0, 529.0), (73.0, 536.1), (73.0, 562.0), (144.6, 548.4), (73.0, 529.8), (73.0, 534.5), (73.0, 558.1), (135.0, 549.4), (73.0, 530.8), (73.0, 533.2), (73.0, 554.4), (124.7, 550.8)]",0,6.52
experienced,meatboy,3,Stuck,2,0,14.12,0.181,"[(73.0, 621.0), (145.2, 603.1), (151.0, 607.8), (151.0, 627.0), (151.0, 627.9), (151.0, 627.3), (151.0, 627.0), (151.0, 627.9), (151.0, 627.3), (151.0, 627.0), (151.0, 627.9), (151.0, 627.3), (151.0, 627.0), (151.0, 627.9), (151.0, 627.3), (151.0, 627.0), (151.0, 627.9), (151.0, 627.3), (151.0, 627.0), (151.0, 627.9), (151.0, 627.3), (151.0, 627.0), (151.0, 627.9), (151.0, 627.3), (151.0, 627.0), (151.0, 627.9), (151.0, 627.3), (151.0, 627.0), (151.0, 627.9), (151.0, 627.3), (151.0, 627.0), (151.0, 627.9), (151.0, 627.3), (151.0, 627.0), (151.0, 627.9), (151.0, 627.3), (151.0, 627.0), (151.0, 627.9), (151.0, 627.3)]",0,5.12
experienced,meatboy,3,Stuck,1,0,0.0,0.088,"[(73.0, 621.0), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3), (73.0, 627.0), (73.0, 627.9), (73.0, 627.3)]",0,5.0
