persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
experienced,meatboy,7,Pit,1,0,-289.28,0.0,"[(105.0, 237.0), (79.8, 243.3), (39.8, 243.0), (-0.2, 243.9), (-40.2, 226.9), (-80.2, 234.0), (-120.2, 259.9), (-160.2, 304.7), (-200.2, 368.3), (-240.2, 450.8), (-280.2, 552.1)]",0,1.38
experienced,meatboy,7,Saw,0,0,288.59,0.417,"[(105.0, 237.0), (130.2, 243.3), (170.2, 243.0), (210.2, 243.9), (250.2, 243.3), (290.2, 243.0), (330.2, 243.9), (370.2, 259.2), (410.2, 293.4), (450.2, 346.4)]",0,1.3
experienced,meatboy,7,Stuck,1,0,0.0,0.091,"[(105.0, 237.0), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3)]",0,5.02
experienced,meatboy,7,Saw,2,0,249.29,0.412,"[(105.0, 237.0), (119.4, 235.3), (131.0, 184.3), (149.8, 156.2), (189.8, 153.9), (229.8, 170.4), (269.8, 205.7), (309.8, 243.9), (349.8, 251.2), (389.8, 278.3), (429.8, 324.3), (469.8, 389.0)]",0,1.48
experienced,meatboy,7,Saw,4,0,237.7,0.414,"[(105.0, 237.0), (122.5, 243.3), (121.7, 196.1), (157.8, 186.7), (197.8, 196.2), (236.5, 224.5), (262.8, 243.3), (291.1, 243.0), (331.1, 243.9), (371.1, 259.2), (411.1, 293.4), (450.6, 346.4)]",0,1.57
experienced,meatboy,7,Pit,1,0,-173.21,0.0,"[(105.0, 237.0), (99.2, 243.3), (66.2, 243.0), (26.2, 243.9), (-13.8, 243.3), (-53.8, 256.2), (-93.8, 288.1), (-133.8, 338.7), (-166.6, 408.2), (-157.4, 496.5)]",0,1.32
experienced,meatboy,7,Saw,1,0,288.59,0.417,"[(105.0, 237.0), (130.2, 243.3), (170.2, 243.0), (210.2, 243.9), (250.2, 243.3), (290.2, 243.0), (330.2, 243.9), (370.2, 259.2), (410.2, 293.4), (450.2, 346.4)]",0,1.3
experienced,meatboy,7,Pit,6,0,-232.56,0.0,"[(105.0, 237.0), (85.4, 239.1), (61.6, 234.4), (41.4, 239.1), (21.7, 234.4), (5.0, 243.3), (-21.1, 249.2), (-42.4, 273.9), (-21.4, 317.5), (-11.2, 379.9), (-11.2, 461.2), (-71.0, 467.0), (-150.7, 469.4), (-225.0, 490.6), (-294.0, 530.7), (-357.7, 589.6)]",0,2.0
experienced,meatboy,7,Saw,0,0,155.47,0.393,"[(105.0, 237.0), (125.7, 243.3), (141.9, 243.0), (159.0, 243.9), (179.7, 243.3), (203.9, 243.0), (231.7, 243.9), (262.9, 243.3), (281.8, 243.0), (284.7, 243.9), (287.6, 243.3), (290.5, 243.0), (296.3, 243.9), (323.3, 243.3), (348.1, 256.2), (385.1, 288.1), (424.4, 338.7)]",0,2.23
experienced,meatboy,7,Stuck,0,0,4.04,0.109,"[(105.0, 237.0), (124.9, 243.3), (125.3, 243.0), (125.3, 243.9), (125.3, 243.3), (125.3, 243.0), (125.3, 243.9), (125.3, 243.3), (125.3, 243.0), (125.3, 243.9), (125.3, 243.3), (125.3, 243.0), (125.3, 243.9), (125.3, 243.3), (125.3, 243.0), (125.3, 243.9), (125.3, 243.3), (125.3, 243.0), (125.3, 243.9), (125.3, 243.3), (125.3, 243.0), (125.3, 243.9), (125.3, 243.3), (125.3, 243.0), (125.3, 243.9), (125.3, 243.3), (125.3, 243.0), (125.3, 243.9), (125.3, 243.3), (125.3, 243.0), (125.3, 243.9), (125.3, 243.3), (125.3, 243.0), (125.3, 243.9), (125.3, 243.3), (125.3, 243.0), (125.3, 243.9), (125.3, 243.3)]",0,5.02
