persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
novice,meatboy,10,Stuck,7,0,-5.44,0.039,"[(73.0, 653.0), (70.8, 644.1), (50.2, 627.7), (41.0, 634.8), (41.0, 659.0), (41.0, 611.5), (41.0, 574.6), (41.0, 556.6), (41.0, 557.3), (41.0, 577.0), (41.0, 613.7), (41.0, 659.6), (41.0, 617.5), (41.0, 578.2), (41.0, 557.8), (41.0, 556.2), (41.0, 573.5), (41.0, 608.7), (41.0, 654.6), (41.0, 623.7), (41.0, 582.1), (41.0, 559.3), (41.0, 555.4), (41.0, 570.3), (41.0, 603.8), (41.0, 647.9), (41.0, 630.2), (41.0, 586.3), (41.0, 561.1), (41.0, 554.8), (41.0, 567.4), (41.0, 598.8), (41.0, 641.4), (41.0, 637.1), (41.0, 590.7), (41.0, 563.2), (41.0, 554.6), (41.0, 564.8), (41.0, 593.8), (41.0, 635.3), (41.0, 644.2), (41.0, 595.5), (41.0, 565.6), (41.0, 554.6)]",0,5.8
novice,meatboy,10,Stuck,1,0,26.64,0.207,"[(73.0, 653.0), (98.2, 659.3), (138.2, 659.0), (178.2, 659.9), (215.2, 659.3), (218.2, 659.0), (218.2, 659.9), (218.2, 659.3), (218.2, 659.0), (218.2, 659.9), (218.2, 659.3), (218.2, 659.0), (218.2, 659.9), (218.2, 659.3), (218.2, 659.0), (218.2, 659.9), (218.2, 659.3), (218.2, 659.0), (218.2, 659.9), (218.2, 659.3), (218.2, 659.0), (218.2, 659.9), (218.2, 659.3), (218.2, 659.0), (218.2, 659.9), (218.2, 659.3), (218.2, 659.0), (218.2, 659.9), (218.2, 659.3), (218.2, 659.0), (218.2, 659.9), (218.2, 659.3), (218.2, 659.0), (218.2, 659.9), (218.2, 659.3), (218.2, 659.0), (218.2, 659.9), (218.2, 659.3), (218.2, 659.0), (218.2, 659.9), (218.2, 659.3)]",0,5.45
novice,meatboy,10,Stuck,1,0,-6.01,0.039,"[(73.0, 653.0), (47.8, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3)]",0,5.02
novice,meatboy,10,Stuck,1,0,-5.79,0.039,"[(73.0, 653.0), (51.2, 644.1), (41.0, 595.4), (41.0, 565.5), (41.0, 554.5), (41.0, 562.4), (41.0, 589.1), (41.0, 634.6), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9)]",0,5.35
novice,meatboy,10,Stuck,5,0,133.31,0.961,"[(73.0, 653.0), (98.2, 644.1), (138.2, 627.7), (178.2, 634.8), (218.2, 659.0), (258.2, 659.9), (298.2, 659.3), (338.2, 659.0), (378.2, 659.9), (418.2, 659.3), (458.2, 659.0), (498.2, 659.9), (538.2, 659.3), (578.2, 659.0), (618.2, 659.9), (658.2, 659.3), (698.2, 659.0), (738.2, 659.9), (778.2, 659.3), (818.2, 659.0), (858.2, 659.9), (898.2, 659.3), (938.2, 659.0), (978.2, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0)]",0,7.8
novice,meatboy,10,Stuck,23,0,120.29,0.962,"[(73.0, 653.0), (75.2, 649.3), (95.8, 642.2), (114.3, 654.0), (151.9, 651.1), (185.6, 655.8), (222.6, 644.2), (260.9, 646.6), (300.9, 659.9), (340.9, 659.3), (380.9, 659.0), (420.9, 659.9), (460.9, 659.3), (500.9, 652.2), (540.9, 642.8), (580.9, 652.2), (620.9, 644.2), (660.9, 644.3), (700.8, 652.0), (740.0, 642.6), (780.0, 652.1), (820.0, 659.9), (860.0, 659.3), (900.0, 659.0), (940.0, 642.0), (980.0, 649.1), (910.7, 633.1), (831.7, 637.9), (781.1, 659.0), (795.0, 659.9), (835.0, 659.3), (875.0, 659.0), (915.0, 648.1), (955.0, 643.4), (985.2, 657.5), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0)]",0,8.45
novice,meatboy,10,Stuck,0,0,126.92,0.961,"[(73.0, 653.0), (98.2, 659.3), (138.2, 659.0), (178.2, 659.9), (218.2, 659.3), (258.2, 659.0), (298.2, 659.9), (338.2, 659.3), (378.2, 659.0), (418.2, 659.9), (458.2, 659.3), (498.2, 659.0), (538.2, 659.9), (578.2, 659.3), (618.2, 659.0), (658.2, 659.9), (698.2, 659.3), (738.2, 659.0), (778.2, 659.9), (818.2, 659.3), (858.2, 659.0), (898.2, 659.9), (938.2, 659.3), (978.2, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3)]",0,7.8
novice,meatboy,10,Stuck,0,0,-6.01,0.039,"[(73.0, 653.0), (47.8, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3), (41.0, 659.0), (41.0, 659.9), (41.0, 659.3)]",0,5.02
novice,meatboy,10,Stuck,0,0,0.0,0.069,"[(73.0, 653.0), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3), (73.0, 659.0), (73.0, 659.9), (73.0, 659.3)]",0,5.02
novice,meatboy,10,Stuck,0,0,117.11,0.945,"[(73.0, 653.0), (75.2, 659.3), (108.2, 659.0), (148.2, 659.9), (188.2, 659.3), (228.2, 659.0), (268.2, 659.9), (308.2, 659.3), (348.2, 659.0), (388.2, 659.9), (428.2, 659.3), (468.2, 659.0), (508.2, 659.9), (548.2, 659.3), (588.2, 659.0), (628.2, 659.9), (668.2, 659.3), (708.2, 659.0), (748.2, 659.9), (788.2, 659.3), (828.2, 659.0), (868.2, 659.9), (908.2, 659.3), (948.2, 659.0), (988.2, 659.9), (998.2, 659.3), (998.2, 659.0), (998.2, 659.9), (998.2, 659.3), (998.2, 659.0), (998.2, 659.9), (998.2, 659.3), (998.2, 659.0), (998.2, 659.9), (998.2, 659.3), (998.2, 659.0), (998.2, 659.9), (998.2, 659.3), (998.2, 659.0), (998.2, 659.9), (998.2, 659.3), (998.2, 659.0), (998.2, 659.9), (998.2, 659.3), (998.2, 659.0), (998.2, 659.9), (998.2, 659.3), (998.2, 659.0), (998.2, 659.9), (998.2, 659.3), (998.2, 659.0), (998.2, 659.9), (998.2, 659.3), (998.2, 659.0), (998.2, 659.9), (998.2, 659.3), (998.2, 659.0), (998.2, 659.9), (998.2, 659.3), (998.2, 659.0)]",0,7.9
novice,meatboy,10,Stuck,23,0,120.29,0.962,"[(73.0, 653.0), (75.2, 649.3), (95.8, 642.2), (114.3, 654.0), (151.9, 651.1), (185.6, 655.8), (222.6, 644.2), (260.9, 646.6), (300.9, 659.9), (340.9, 659.3), (380.9, 659.0), (420.9, 659.9), (460.9, 659.3), (500.9, 652.2), (540.9, 642.8), (580.9, 652.2), (620.9, 644.2), (660.9, 644.3), (700.8, 652.0), (740.0, 642.6), (780.0, 652.1), (820.0, 659.9), (860.0, 659.3), (900.0, 659.0), (940.0, 642.0), (980.0, 649.1), (910.7, 633.1), (831.7, 637.9), (781.1, 659.0), (795.0, 659.9), (835.0, 659.3), (875.0, 659.0), (915.0, 648.1), (955.0, 643.4), (985.2, 657.5), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0), (1015.0, 659.9), (1015.0, 659.3), (1015.0, 659.0)]",0,8.45
