persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
novice,meatboy,7,Pit,1,0,-287.81,0.0,"[(105.0, 237.0), (79.8, 243.3), (39.8, 243.0), (-0.2, 243.9), (-40.2, 251.2), (-80.2, 278.3), (-120.2, 324.3), (-160.2, 389.0), (-200.2, 472.7), (-240.2, 575.1)]",0,1.22
novice,meatboy,7,Pit,1,0,-283.7,0.0,"[(105.0, 237.0), (84.8, 243.3), (44.8, 243.0), (4.8, 243.9), (-35.2, 251.2), (-75.2, 278.3), (-115.2, 324.3), (-155.2, 389.0), (-195.2, 472.7), (-235.2, 575.1)]",0,1.22
novice,meatboy,7,Pit,2,0,-229.31,0.0,"[(105.0, 237.0), (79.8, 233.3), (39.8, 226.2), (-0.2, 238.0), (-38.9, 268.7), (-72.6, 318.2), (-100.9, 386.5), (-123.9, 473.7), (-141.6, 579.7)]",0,1.08
novice,meatboy,7,Saw,1,0,239.74,0.362,"[(105.0, 237.0), (130.2, 243.3), (170.2, 243.0), (210.2, 243.9), (250.2, 243.3), (290.2, 243.0), (330.2, 243.9), (370.2, 259.2), (401.4, 293.4), (399.0, 346.4)]",0,1.3
novice,meatboy,7,Pit,0,0,-135.55,0.0,"[(105.0, 237.0), (82.4, 243.3), (46.1, 243.0), (18.5, 243.9), (9.4, 243.3), (1.3, 243.0), (-5.8, 243.9), (-29.9, 251.2), (-57.3, 278.3), (-79.4, 324.3), (-96.2, 389.0), (-107.6, 472.7), (-113.8, 575.1)]",0,1.62
novice,meatboy,7,Saw,0,0,288.59,0.417,"[(105.0, 237.0), (130.2, 243.3), (170.2, 243.0), (210.2, 243.9), (250.2, 243.3), (290.2, 243.0), (330.2, 243.9), (370.2, 259.2), (410.2, 293.4), (450.2, 346.4)]",0,1.3
novice,meatboy,7,Saw,2,0,271.29,0.417,"[(105.0, 237.0), (110.7, 243.3), (145.3, 243.0), (185.3, 243.9), (225.3, 243.3), (265.3, 243.0), (305.3, 243.9), (345.3, 245.9), (385.3, 266.0), (425.3, 304.8), (465.3, 362.5)]",0,1.38
novice,meatboy,7,Stuck,29,0,8.63,0.131,"[(105.0, 237.0), (105.6, 233.3), (115.9, 226.2), (134.9, 238.0), (140.3, 228.1), (134.1, 230.5), (127.2, 243.9), (138.8, 226.9), (135.9, 234.0), (138.6, 231.5), (145.1, 226.8), (141.6, 240.9), (152.1, 227.5), (149.7, 229.9), (149.1, 235.6), (154.5, 226.2), (144.2, 235.6), (148.9, 229.9), (150.9, 227.5), (149.0, 243.0), (157.6, 226.8), (146.7, 231.5), (144.3, 233.4), (152.3, 226.3), (150.2, 238.1), (157.8, 228.5), (149.6, 228.6), (142.6, 243.3), (154.1, 226.3), (150.7, 233.4), (155.0, 231.5), (152.8, 226.8), (143.8, 240.9), (153.9, 227.5), (151.5, 229.9), (150.9, 235.6), (156.3, 226.2), (146.0, 235.6), (150.7, 229.9), (152.6, 227.5), (150.8, 243.0)]",0,5.37
novice,meatboy,7,Stuck,1,0,0.0,0.091,"[(105.0, 237.0), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3)]",0,5.02
novice,meatboy,7,Pit,1,0,-287.81,0.0,"[(105.0, 237.0), (79.8, 243.3), (39.8, 243.0), (-0.2, 243.9), (-40.2, 251.2), (-80.2, 278.3), (-120.2, 324.3), (-160.2, 389.0), (-200.2, 472.7), (-240.2, 575.1)]",0,1.22
