persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,bricks_destroyed,elapsed_time
speedrunner,meatboy,4,Pit,3,0,-559.17,0.0,"[(73.0, 685.0), (25.7, 687.1), (-54.3, 682.4), (-134.3, 696.5), (-214.3, 729.5), (-294.3, 781.4), (-374.3, 852.1)]",0,0,0.8
speedrunner,meatboy,4,Stuck,12,0,18.95,0.374,"[(73.0, 685.0), (63.6, 681.3), (60.4, 674.2), (49.3, 686.0), (49.9, 676.1), (54.3, 678.5), (58.2, 691.9), (60.2, 691.3), (62.2, 691.0), (64.2, 691.9), (66.2, 691.3), (68.2, 691.0), (70.2, 691.9), (72.2, 691.3), (74.2, 691.0), (76.2, 691.9), (78.2, 691.3), (80.2, 691.0), (82.2, 691.9), (84.2, 691.3), (86.2, 691.0), (88.2, 691.9), (90.2, 691.3), (92.2, 691.0), (94.2, 691.9), (96.2, 691.3), (98.2, 691.0), (100.2, 691.9), (102.2, 691.3), (104.2, 691.0), (106.2, 691.9), (108.2, 691.3), (110.2, 691.0), (112.2, 691.9), (114.2, 691.3), (116.2, 691.0), (118.2, 691.9), (120.2, 691.3), (122.2, 691.0), (124.2, 691.9), (126.2, 691.3), (128.2, 691.0), (130.2, 691.9), (132.2, 691.3), (134.2, 691.0), (136.2, 691.9), (138.2, 691.3), (140.2, 691.0), (142.2, 691.9), (144.2, 691.3), (146.2, 691.0), (148.2, 691.9), (150.2, 691.3), (152.2, 691.0), (154.2, 691.9), (173.4, 691.3), (250.5, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3)]",0,0,12.53
speedrunner,meatboy,4,Stuck,2,0,43.82,0.374,"[(73.0, 685.0), (120.3, 687.1), (200.3, 682.4), (280.3, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0)]",0,0,5.42
speedrunner,meatboy,4,Pit,1,0,-562.31,0.0,"[(73.0, 685.0), (25.7, 691.3), (-54.3, 675.4), (-134.3, 680.1), (-214.3, 703.7), (-294.3, 746.1), (-374.3, 807.4)]",0,0,0.87
speedrunner,meatboy,4,Stuck,0,0,-0.8,0.083,"[(73.0, 685.0), (69.0, 691.3), (69.0, 691.0), (69.0, 691.9), (69.0, 691.3), (69.0, 691.0), (69.0, 691.9), (69.0, 691.3), (69.0, 691.0), (69.0, 691.9), (69.0, 691.3), (69.0, 691.0), (69.0, 691.9), (69.0, 691.3), (69.0, 691.0), (69.0, 691.9), (69.0, 691.3), (69.0, 691.0), (69.0, 691.9), (69.0, 691.3), (69.0, 691.0), (69.0, 691.9), (69.0, 691.3), (69.0, 691.0), (69.0, 691.9), (69.0, 691.3), (69.0, 691.0), (69.0, 691.9), (69.0, 691.3), (69.0, 691.0), (69.0, 691.9), (69.0, 691.3), (69.0, 691.0), (69.0, 691.9), (69.0, 691.3), (69.0, 691.0), (69.0, 691.9), (69.0, 691.3)]",0,0,5.02
speedrunner,meatboy,4,Pit,1,0,-564.0,0.0,"[(73.0, 685.0), (29.7, 676.1), (-50.0, 627.4), (-130.0, 597.5), (-210.0, 586.5), (-290.0, 594.4), (-370.0, 621.1), (-450.0, 666.6), (-528.7, 731.0), (-603.3, 814.2)]",0,0,1.25
speedrunner,meatboy,4,Stuck,11,0,36.19,0.374,"[(73.0, 685.0), (116.3, 691.3), (194.0, 691.0), (270.0, 691.9), (280.0, 660.5), (217.3, 655.8), (236.0, 670.0), (311.1, 686.9), (311.0, 682.2), (311.0, 691.3), (311.0, 637.9), (311.0, 603.3), (311.0, 587.6), (311.0, 590.8), (311.0, 612.7), (311.0, 651.2), (311.0, 691.0), (311.0, 650.1), (311.0, 610.8), (311.0, 590.4), (311.0, 588.8), (311.0, 606.1), (311.0, 641.6), (311.0, 682.5), (311.0, 662.8), (311.0, 618.9), (311.0, 593.7), (311.0, 587.4), (311.0, 600.0), (311.0, 631.4), (311.0, 672.2), (311.0, 676.8), (311.0, 628.1), (311.0, 598.2), (311.0, 587.2), (311.0, 595.1), (311.0, 621.8), (311.0, 662.0), (311.0, 691.9), (311.0, 638.5), (311.0, 603.9), (311.0, 588.2), (311.0, 591.4), (311.0, 613.3), (311.0, 651.8), (311.0, 691.0), (311.0, 650.1), (311.0, 610.8), (311.0, 590.4)]",0,0,6.45
speedrunner,meatboy,4,Pit,6,0,-332.8,0.0,"[(73.0, 685.0), (46.3, 676.1), (-27.7, 627.4), (-107.7, 597.5), (-187.7, 586.5), (-263.7, 594.4), (-322.3, 621.1), (-330.3, 666.6), (-335.7, 731.0), (-341.0, 814.2)]",0,0,1.25
speedrunner,meatboy,4,Stuck,1,0,43.82,0.374,"[(73.0, 685.0), (120.3, 691.3), (200.3, 691.0), (280.3, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3), (311.0, 691.0), (311.0, 691.9), (311.0, 691.3)]",0,0,5.42
speedrunner,meatboy,4,Stuck,43,0,-2.8,0.071,"[(73.0, 685.0), (63.3, 687.1), (57.7, 682.4), (55.6, 681.3), (53.1, 674.3), (58.4, 686.1), (61.0, 676.2), (60.9, 678.6), (67.3, 681.1), (67.1, 674.0), (64.6, 685.8), (56.7, 676.2), (50.4, 676.3), (49.9, 684.0), (47.9, 674.6), (39.9, 684.1), (32.8, 677.9), (27.1, 675.5), (30.0, 691.0), (26.1, 674.0), (30.0, 681.1), (31.1, 678.3), (31.1, 676.0), (37.5, 691.0), (33.6, 674.0), (37.4, 681.1), (38.6, 678.3), (38.5, 676.0), (44.9, 691.0), (41.0, 674.0), (44.9, 681.1), (46.0, 678.3), (45.9, 676.0), (53.8, 691.0), (51.7, 674.0), (53.8, 681.1), (58.8, 678.3), (56.3, 676.0)]",0,0,5.02
