persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,bricks_destroyed,elapsed_time
speedrunner,meatboy,6,Saw,2,0,565.0,0.469,"[(73.0, 461.0), (120.3, 467.3), (200.3, 467.0), (280.3, 467.9), (360.3, 450.5), (440.3, 455.2), (520.3, 467.9), (600.3, 467.3)]",0,0,0.93
speedrunner,meatboy,6,Stuck,1,0,10.77,0.101,"[(73.0, 461.0), (114.0, 467.3), (129.0, 467.0), (129.0, 467.9), (129.0, 467.3), (129.0, 467.0), (129.0, 467.9), (129.0, 467.3), (129.0, 467.0), (129.0, 467.9), (129.0, 467.3), (129.0, 467.0), (129.0, 467.9), (129.0, 467.3), (129.0, 467.0), (129.0, 467.9), (129.0, 467.3), (129.0, 467.0), (129.0, 467.9), (129.0, 467.3), (129.0, 467.0), (129.0, 467.9), (129.0, 467.3), (129.0, 467.0), (129.0, 467.9), (129.0, 467.3), (129.0, 467.0), (129.0, 467.9), (129.0, 467.3), (129.0, 467.0), (129.0, 467.9), (129.0, 467.3), (129.0, 467.0), (129.0, 467.9), (129.0, 467.3), (129.0, 467.0), (129.0, 467.9), (129.0, 467.3), (129.0, 467.0), (129.0, 467.9)]",0,0,5.2
speedrunner,meatboy,6,Pit,1,0,-557.39,0.0,"[(73.0, 461.0), (25.7, 467.3), (-54.3, 473.2), (-134.3, 497.9), (-214.3, 541.5), (-294.3, 603.9)]",0,0,0.77
speedrunner,meatboy,6,Saw,0,0,140.98,0.463,"[(73.0, 461.0), (120.3, 467.3), (184.2, 467.0), (213.9, 467.9), (243.7, 467.3), (270.4, 467.0), (297.2, 467.9), (371.8, 467.3), (427.1, 467.0), (452.6, 467.9), (471.7, 467.3), (487.7, 467.0), (500.4, 467.9), (510.1, 467.3), (515.6, 467.0), (521.2, 467.9), (526.7, 467.3), (532.3, 467.0), (537.8, 467.9), (543.4, 467.3), (548.9, 467.0), (554.5, 467.9), (560.1, 467.3), (565.6, 467.0), (571.2, 467.9), (576.7, 467.3), (582.3, 467.0), (587.8, 467.9)]",0,0,3.68
speedrunner,meatboy,6,Saw,1,0,555.09,0.469,"[(73.0, 461.0), (110.3, 467.3), (190.3, 467.0), (270.3, 467.9), (350.3, 467.3), (430.3, 467.0), (510.3, 467.9), (590.3, 467.3)]",0,0,0.95
speedrunner,meatboy,6,Saw,1,0,379.78,0.463,"[(73.0, 461.0), (85.6, 467.3), (153.2, 467.0), (233.2, 467.9), (313.2, 467.3), (393.2, 467.0), (472.2, 467.9), (511.9, 467.3), (540.0, 467.0), (565.9, 467.9), (588.6, 467.3)]",0,0,1.37
speedrunner,meatboy,6,Pit,1,0,-54.46,0.0,"[(73.0, 461.0), (28.3, 467.3), (15.8, 467.0), (11.2, 467.9), (6.5, 467.3), (1.8, 467.0), (-2.8, 467.9), (-7.5, 467.3), (-9.0, 480.2), (-9.0, 512.0), (-9.0, 551.7), (-9.0, 591.4), (-14.3, 641.7)]",0,0,1.63
speedrunner,meatboy,6,Saw,1,0,510.32,0.469,"[(73.0, 461.0), (77.0, 467.3), (140.3, 467.0), (220.3, 467.9), (300.3, 467.3), (380.3, 467.0), (460.3, 467.9), (540.3, 467.3)]",0,0,1.03
speedrunner,meatboy,6,Stuck,1,0,0.0,0.057,"[(73.0, 461.0), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3), (73.0, 467.0), (73.0, 467.9), (73.0, 467.3)]",0,0,5.02
speedrunner,meatboy,6,Stuck,0,0,-5.45,0.036,"[(73.0, 461.0), (48.7, 467.3), (45.7, 467.0), (45.7, 467.9), (45.7, 467.3), (45.7, 467.0), (45.7, 467.9), (45.7, 467.3), (45.7, 467.0), (45.7, 467.9), (45.7, 467.3), (45.7, 467.0), (45.7, 467.9), (45.7, 467.3), (45.7, 467.0), (45.7, 467.9), (45.7, 467.3), (45.7, 467.0), (45.7, 467.9), (45.7, 467.3), (45.7, 467.0), (45.7, 467.9), (45.7, 467.3), (45.7, 467.0), (45.7, 467.9), (45.7, 467.3), (45.7, 467.0), (45.7, 467.9), (45.7, 467.3), (45.7, 467.0), (45.7, 467.9), (45.7, 467.3), (45.7, 467.0), (45.7, 467.9), (45.7, 467.3), (45.7, 467.0), (45.7, 467.9), (45.7, 467.3)]",0,0,5.02
