persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
speedrunner,meatboy,7,Saw,1,0,266.25,0.464,"[(105.0, 237.0), (151.6, 228.1), (222.6, 179.4), (288.2, 149.5), (352.8, 138.5), (432.8, 146.4), (512.7, 173.1), (535.0, 212.7), (535.0, 252.4), (535.0, 292.1), (535.0, 331.8), (535.0, 371.5), (535.0, 411.2)]",0,1.6
speedrunner,meatboy,7,Saw,1,0,132.82,0.304,"[(105.0, 237.0), (93.5, 243.3), (125.1, 243.0), (153.4, 243.9), (181.9, 243.3), (207.3, 243.0), (229.4, 243.9), (251.7, 243.3), (270.8, 243.0), (290.1, 243.9), (329.1, 243.3), (330.3, 256.2), (333.0, 288.1), (343.7, 338.7)]",0,1.85
speedrunner,meatboy,7,Stuck,1,0,-11.99,0.038,"[(105.0, 237.0), (143.2, 243.3), (141.1, 243.0), (135.1, 243.9), (129.1, 243.3), (123.1, 243.0), (117.1, 243.9), (111.1, 243.3), (105.1, 243.0), (99.1, 243.9), (93.1, 243.3), (87.1, 243.0), (81.1, 243.9), (75.1, 243.3), (69.1, 243.0), (63.1, 243.9), (57.1, 243.3), (51.1, 243.0), (45.1, 243.9), (39.1, 243.3), (33.1, 243.0), (27.1, 243.9), (21.1, 243.3), (15.1, 243.0), (9.1, 243.9), (3.1, 243.3), (-2.9, 243.0), (-3.3, 228.1), (-0.7, 230.5), (3.4, 243.9), (5.0, 243.3), (6.5, 243.0), (8.1, 243.9), (10.0, 243.3), (16.5, 243.0), (22.9, 243.9), (29.4, 243.3), (35.8, 243.0), (42.2, 243.9)]",0,5.1
speedrunner,meatboy,7,Saw,2,0,117.68,0.464,"[(105.0, 237.0), (143.2, 243.3), (149.1, 243.0), (153.7, 243.9), (158.4, 243.3), (163.1, 243.0), (167.7, 243.9), (172.4, 243.3), (177.1, 243.0), (181.7, 243.9), (186.4, 243.3), (191.1, 243.0), (204.8, 243.9), (218.6, 243.3), (235.8, 243.0), (259.7, 243.9), (293.6, 243.3), (372.6, 189.9), (452.6, 155.3), (532.6, 139.6), (535.0, 142.8), (535.0, 164.7), (535.0, 202.6), (535.0, 242.3), (535.0, 282.0), (535.0, 321.7), (535.0, 361.4), (535.0, 401.1)]",0,3.63
speedrunner,meatboy,7,Saw,1,0,388.48,0.464,"[(105.0, 237.0), (152.3, 243.3), (232.3, 243.0), (312.3, 243.9), (392.3, 251.2), (472.3, 278.3), (535.0, 322.5), (535.0, 362.1), (535.0, 401.8)]",0,1.1
speedrunner,meatboy,7,Saw,0,0,94.86,0.286,"[(105.0, 237.0), (64.0, 243.3), (53.0, 243.0), (116.3, 243.9), (196.3, 243.3), (276.3, 243.0), (325.7, 243.9), (324.9, 243.3), (320.2, 243.0), (315.6, 243.9), (310.9, 243.3), (316.9, 243.0), (322.9, 243.9), (329.5, 245.9), (329.0, 266.0), (329.0, 302.9), (329.0, 342.6), (329.0, 382.3)]",0,2.37
speedrunner,meatboy,7,Saw,1,0,388.48,0.464,"[(105.0, 237.0), (152.3, 243.3), (232.3, 243.0), (312.3, 243.9), (392.3, 251.2), (472.3, 278.3), (535.0, 322.5), (535.0, 362.1), (535.0, 401.8)]",0,1.1
speedrunner,meatboy,7,Saw,4,0,126.0,0.388,"[(105.0, 237.0), (152.3, 243.3), (231.3, 243.0), (272.0, 243.9), (338.7, 243.3), (418.7, 256.2), (498.7, 288.1), (493.7, 295.9), (439.0, 293.6), (468.3, 310.1), (524.7, 330.6), (450.0, 321.2), (447.3, 330.7), (518.0, 359.0), (473.0, 351.5), (438.3, 353.9), (488.0, 375.1), (504.0, 384.5), (441.3, 379.8)]",0,2.5
speedrunner,meatboy,7,Saw,0,0,271.53,0.335,"[(105.0, 237.0), (109.0, 243.3), (172.3, 243.0), (252.3, 243.9), (311.2, 243.3), (362.7, 256.2), (375.7, 288.1), (383.3, 338.7)]",0,1.03
speedrunner,meatboy,7,Saw,0,0,388.48,0.464,"[(105.0, 237.0), (152.3, 243.3), (232.3, 243.0), (312.3, 243.9), (392.3, 251.2), (472.3, 278.3), (535.0, 322.5), (535.0, 362.1), (535.0, 401.8)]",0,1.1
speedrunner,meatboy,7,Saw,2,0,117.68,0.464,"[(105.0, 237.0), (143.2, 243.3), (149.1, 243.0), (153.7, 243.9), (158.4, 243.3), (163.1, 243.0), (167.7, 243.9), (172.4, 243.3), (177.1, 243.0), (181.7, 243.9), (186.4, 243.3), (191.1, 243.0), (204.8, 243.9), (218.6, 243.3), (235.8, 243.0), (259.7, 243.9), (293.6, 243.3), (372.6, 189.9), (452.6, 155.3), (532.6, 139.6), (535.0, 142.8), (535.0, 164.7), (535.0, 202.6), (535.0, 242.3), (535.0, 282.0), (535.0, 321.7), (535.0, 361.4), (535.0, 401.1)]",0,3.63
speedrunner,meatboy,7,Saw,1,0,266.25,0.464,"[(105.0, 237.0), (151.6, 228.1), (222.6, 179.4), (288.2, 149.5), (352.8, 138.5), (432.8, 146.4), (512.7, 173.1), (535.0, 212.7), (535.0, 252.4), (535.0, 292.1), (535.0, 331.8), (535.0, 371.5), (535.0, 411.2)]",0,1.6
speedrunner,meatboy,7,Saw,0,0,388.48,0.464,"[(105.0, 237.0), (152.3, 243.3), (232.3, 243.0), (312.3, 243.9), (392.3, 251.2), (472.3, 278.3), (535.0, 322.5), (535.0, 362.1), (535.0, 401.8)]",0,1.1
speedrunner,meatboy,7,Saw,4,0,126.0,0.388,"[(105.0, 237.0), (152.3, 243.3), (231.3, 243.0), (272.0, 243.9), (338.7, 243.3), (418.7, 256.2), (498.7, 288.1), (493.7, 295.9), (439.0, 293.6), (468.3, 310.1), (524.7, 330.6), (450.0, 321.2), (447.3, 330.7), (518.0, 359.0), (473.0, 351.5), (438.3, 353.9), (488.0, 375.1), (504.0, 384.5), (441.3, 379.8)]",0,2.5
speedrunner,meatboy,7,Saw,1,0,388.48,0.464,"[(105.0, 237.0), (152.3, 243.3), (232.3, 243.0), (312.3, 243.9), (392.3, 251.2), (472.3, 278.3), (535.0, 322.5), (535.0, 362.1), (535.0, 401.8)]",0,1.1
speedrunner,meatboy,7,Saw,2,0,120.78,0.464,"[(105.0, 237.0), (143.2, 243.3), (149.1, 243.0), (153.7, 243.9), (158.4, 243.3), (163.1, 243.0), (167.7, 243.9), (172.4, 243.3), (177.1, 243.0), (181.7, 243.9), (186.4, 243.3), (191.1, 243.0), (195.7, 243.9), (200.4, 243.3), (205.1, 243.0), (209.7, 243.9), (214.4, 243.3), (224.4, 243.0), (234.7, 243.9), (250.2, 243.3), (265.8, 243.0), (307.7, 243.9), (387.7, 251.2), (467.7, 278.3), (535.0, 322.5), (535.0, 362.1), (535.0, 401.8)]",0,3.5
speedrunner,meatboy,7,Saw,2,0,109.67,0.464,"[(105.0, 237.0), (143.2, 243.3), (149.1, 243.0), (153.7, 243.9), (158.4, 243.3), (163.1, 243.0), (167.7, 243.9), (172.4, 243.3), (177.1, 243.0), (181.7, 243.9), (186.4, 243.3), (191.1, 243.0), (195.7, 243.9), (203.7, 243.3), (215.8, 243.0), (231.3, 243.9), (246.9, 243.3), (265.9, 243.0), (310.9, 235.6), (390.9, 184.5), (470.9, 152.3), (535.0, 139.0), (535.0, 144.5), (535.0, 168.8), (535.0, 207.6), (535.0, 247.3), (535.0, 287.0), (535.0, 326.7), (535.0, 366.4), (535.0, 406.0)]",0,3.88
speedrunner,meatboy,7,Saw,2,0,301.65,0.464,"[(105.0, 237.0), (152.3, 243.3), (232.3, 236.2), (312.3, 185.1), (392.3, 152.9), (472.3, 139.6), (535.0, 145.1), (535.0, 169.4), (535.0, 212.6), (535.0, 274.6), (535.0, 355.5)]",0,1.42
speedrunner,meatboy,7,Saw,2,0,185.49,0.464,"[(105.0, 237.0), (143.2, 243.3), (161.8, 243.0), (180.5, 243.9), (202.6, 243.3), (228.1, 243.0), (284.7, 243.9), (364.7, 195.2), (444.7, 158.3), (524.7, 140.3), (535.0, 141.0), (535.0, 160.7), (535.0, 197.4), (535.0, 237.1), (535.0, 276.8), (535.0, 316.5), (535.0, 356.1), (535.0, 395.8)]",0,2.32
speedrunner,meatboy,7,Stuck,1,0,0.0,0.091,"[(105.0, 237.0), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3), (105.0, 243.0), (105.0, 243.9), (105.0, 243.3)]",0,5.02
speedrunner,meatboy,7,Saw,2,0,185.49,0.464,"[(105.0, 237.0), (143.2, 243.3), (161.8, 243.0), (180.5, 243.9), (202.6, 243.3), (228.1, 243.0), (284.7, 243.9), (364.7, 195.2), (444.7, 158.3), (524.7, 140.3), (535.0, 141.0), (535.0, 160.7), (535.0, 197.4), (535.0, 237.1), (535.0, 276.8), (535.0, 316.5), (535.0, 356.1), (535.0, 395.8)]",0,2.32
speedrunner,meatboy,7,Saw,2,0,301.65,0.464,"[(105.0, 237.0), (152.3, 243.3), (232.3, 236.2), (312.3, 185.1), (392.3, 152.9), (472.3, 139.6), (535.0, 145.1), (535.0, 169.4), (535.0, 212.6), (535.0, 274.6), (535.0, 355.5)]",0,1.42
speedrunner,meatboy,7,Saw,2,0,109.67,0.464,"[(105.0, 237.0), (143.2, 243.3), (149.1, 243.0), (153.7, 243.9), (158.4, 243.3), (163.1, 243.0), (167.7, 243.9), (172.4, 243.3), (177.1, 243.0), (181.7, 243.9), (186.4, 243.3), (191.1, 243.0), (195.7, 243.9), (203.7, 243.3), (215.8, 243.0), (231.3, 243.9), (246.9, 243.3), (265.9, 243.0), (310.9, 235.6), (390.9, 184.5), (470.9, 152.3), (535.0, 139.0), (535.0, 144.5), (535.0, 168.8), (535.0, 207.6), (535.0, 247.3), (535.0, 287.0), (535.0, 326.7), (535.0, 366.4), (535.0, 406.0)]",0,3.88
speedrunner,meatboy,7,Saw,2,0,117.68,0.464,"[(105.0, 237.0), (143.2, 243.3), (149.1, 243.0), (153.7, 243.9), (158.4, 243.3), (163.1, 243.0), (167.7, 243.9), (172.4, 243.3), (177.1, 243.0), (181.7, 243.9), (186.4, 243.3), (191.1, 243.0), (204.8, 243.9), (218.6, 243.3), (235.8, 243.0), (259.7, 243.9), (293.6, 243.3), (372.6, 189.9), (452.6, 155.3), (532.6, 139.6), (535.0, 142.8), (535.0, 164.7), (535.0, 202.6), (535.0, 242.3), (535.0, 282.0), (535.0, 321.7), (535.0, 361.4), (535.0, 401.1)]",0,3.63
speedrunner,meatboy,7,Saw,2,0,96.74,0.464,"[(105.0, 237.0), (143.2, 243.3), (149.1, 243.0), (153.7, 243.9), (158.4, 243.3), (163.1, 243.0), (167.7, 243.9), (172.4, 243.3), (177.1, 243.0), (181.7, 243.9), (186.4, 243.3), (191.1, 243.0), (195.7, 243.9), (200.4, 243.3), (205.1, 243.0), (209.7, 243.9), (214.4, 243.3), (224.4, 243.0), (233.2, 243.9), (246.2, 243.3), (261.8, 243.0), (277.4, 243.9), (347.4, 221.1), (427.4, 174.7), (507.4, 147.4), (535.0, 140.4), (535.0, 152.2), (535.0, 182.8), (535.0, 222.5), (535.0, 262.2), (535.0, 301.9), (535.0, 341.6), (535.0, 381.3)]",0,4.37
speedrunner,meatboy,7,Saw,2,0,175.01,0.464,"[(105.0, 237.0), (143.2, 243.3), (155.2, 243.0), (170.7, 243.9), (186.2, 243.3), (205.2, 243.0), (230.8, 243.9), (303.8, 243.3), (383.8, 196.1), (463.8, 159.2), (535.0, 141.2), (535.0, 141.9), (535.0, 161.6), (535.0, 198.3), (535.0, 238.0), (535.0, 277.6), (535.0, 317.3), (535.0, 357.0), (535.0, 396.7)]",0,2.45
speedrunner,meatboy,7,Stuck,0,0,1.35,0.097,"[(105.0, 237.0), (111.8, 243.3), (111.8, 243.0), (111.8, 243.9), (111.8, 243.3), (111.8, 243.0), (111.8, 243.9), (111.8, 243.3), (111.8, 243.0), (111.8, 243.9), (111.8, 243.3), (111.8, 243.0), (111.8, 243.9), (111.8, 243.3), (111.8, 243.0), (111.8, 243.9), (111.8, 243.3), (111.8, 243.0), (111.8, 243.9), (111.8, 243.3), (111.8, 243.0), (111.8, 243.9), (111.8, 243.3), (111.8, 243.0), (111.8, 243.9), (111.8, 243.3), (111.8, 243.0), (111.8, 243.9), (111.8, 243.3), (111.8, 243.0), (111.8, 243.9), (111.8, 243.3), (111.8, 243.0), (111.8, 243.9), (111.8, 243.3), (111.8, 243.0), (111.8, 243.9), (111.8, 243.3)]",0,5.02
speedrunner,meatboy,7,Saw,2,0,165.05,0.464,"[(105.0, 237.0), (143.2, 243.3), (154.4, 243.0), (163.2, 243.9), (176.2, 243.3), (191.8, 243.0), (207.4, 243.9), (233.1, 243.3), (291.4, 243.0), (371.4, 195.5), (451.4, 158.6), (531.4, 140.6), (535.0, 141.3), (535.0, 161.0), (535.0, 197.7), (535.0, 237.4), (535.0, 277.1), (535.0, 316.7), (535.0, 356.4), (535.0, 396.1)]",0,2.58
speedrunner,meatboy,7,Pit,6,0,-22.89,0.008,"[(105.0, 237.0), (143.2, 243.3), (141.1, 243.0), (135.1, 243.9), (129.1, 243.3), (123.1, 243.0), (117.1, 243.9), (111.1, 243.3), (105.1, 243.0), (99.1, 243.9), (93.1, 243.3), (87.1, 243.0), (81.1, 243.9), (75.1, 243.3), (69.1, 243.0), (63.1, 243.9), (57.1, 243.3), (51.1, 243.0), (45.1, 243.9), (39.1, 243.3), (33.1, 243.0), (27.1, 243.9), (21.1, 243.3), (15.1, 243.0), (9.1, 243.9), (3.1, 243.3), (-2.9, 243.0), (-12.2, 243.9), (-68.7, 259.2), (-66.4, 293.4), (-10.3, 346.4), (-10.3, 418.2), (-10.3, 508.9)]",0,4.37
speedrunner,meatboy,7,Saw,2,0,146.71,0.464,"[(105.0, 237.0), (143.2, 243.3), (149.1, 243.0), (153.7, 243.9), (164.8, 243.3), (174.7, 243.0), (190.2, 243.9), (205.8, 243.3), (224.8, 243.0), (250.4, 243.9), (276.2, 243.3), (348.0, 207.7), (428.0, 166.1), (508.0, 143.3), (535.0, 139.4), (535.0, 154.3), (535.0, 187.8), (535.0, 227.4), (535.0, 267.1), (535.0, 306.8), (535.0, 346.5), (535.0, 386.2)]",0,2.88
speedrunner,meatboy,7,Saw,2,0,146.71,0.464,"[(105.0, 237.0), (143.2, 243.3), (149.1, 243.0), (153.7, 243.9), (164.8, 243.3), (174.7, 243.0), (190.2, 243.9), (205.8, 243.3), (224.8, 243.0), (250.4, 243.9), (276.2, 243.3), (348.0, 207.7), (428.0, 166.1), (508.0, 143.3), (535.0, 139.4), (535.0, 154.3), (535.0, 187.8), (535.0, 227.4), (535.0, 267.1), (535.0, 306.8), (535.0, 346.5), (535.0, 386.2)]",0,2.88
speedrunner,meatboy,7,Saw,2,0,165.05,0.464,"[(105.0, 237.0), (143.2, 243.3), (154.4, 243.0), (163.2, 243.9), (176.2, 243.3), (191.8, 243.0), (207.4, 243.9), (233.1, 243.3), (291.4, 243.0), (371.4, 195.5), (451.4, 158.6), (531.4, 140.6), (535.0, 141.3), (535.0, 161.0), (535.0, 197.7), (535.0, 237.4), (535.0, 277.1), (535.0, 316.7), (535.0, 356.4), (535.0, 396.1)]",0,2.58
speedrunner,meatboy,7,Saw,2,0,175.01,0.464,"[(105.0, 237.0), (143.2, 243.3), (155.2, 243.0), (170.7, 243.9), (186.2, 243.3), (205.2, 243.0), (230.8, 243.9), (303.8, 243.3), (383.8, 196.1), (463.8, 159.2), (535.0, 141.2), (535.0, 141.9), (535.0, 161.6), (535.0, 198.3), (535.0, 238.0), (535.0, 277.6), (535.0, 317.3), (535.0, 357.0), (535.0, 396.7)]",0,2.45
speedrunner,meatboy,7,Saw,2,0,96.74,0.464,"[(105.0, 237.0), (143.2, 243.3), (149.1, 243.0), (153.7, 243.9), (158.4, 243.3), (163.1, 243.0), (167.7, 243.9), (172.4, 243.3), (177.1, 243.0), (181.7, 243.9), (186.4, 243.3), (191.1, 243.0), (195.7, 243.9), (200.4, 243.3), (205.1, 243.0), (209.7, 243.9), (214.4, 243.3), (224.4, 243.0), (233.2, 243.9), (246.2, 243.3), (261.8, 243.0), (277.4, 243.9), (347.4, 221.1), (427.4, 174.7), (507.4, 147.4), (535.0, 140.4), (535.0, 152.2), (535.0, 182.8), (535.0, 222.5), (535.0, 262.2), (535.0, 301.9), (535.0, 341.6), (535.0, 381.3)]",0,4.37
speedrunner,meatboy,7,Saw,2,0,200.53,0.464,"[(105.0, 237.0), (143.2, 243.3), (165.1, 243.0), (193.6, 243.9), (256.1, 243.3), (336.1, 214.8), (416.1, 170.9), (496.1, 145.7), (535.0, 139.4), (535.0, 152.0), (535.0, 183.4), (535.0, 223.1), (535.0, 262.8), (535.0, 302.5), (535.0, 342.1), (535.0, 381.8)]",0,2.1
