persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,bricks_destroyed,elapsed_time
speedrunner,meatboy,6,Stuck,1,0,-1.35,0.052,"[(73.0, 461.0), (66.2, 467.3), (66.2, 467.0), (66.2, 467.9), (66.2, 467.3), (66.2, 467.0), (66.2, 467.9), (66.2, 467.3), (66.2, 467.0), (66.2, 467.9), (66.2, 467.3), (66.2, 467.0), (66.2, 467.9), (66.2, 467.3), (66.2, 467.0), (66.2, 467.9), (66.2, 467.3), (66.2, 467.0), (66.2, 467.9), (66.2, 467.3), (66.2, 467.0), (66.2, 467.9), (66.2, 467.3), (66.2, 467.0), (66.2, 467.9), (66.2, 467.3), (66.2, 467.0), (66.2, 467.9), (66.2, 467.3), (66.2, 467.0), (66.2, 467.9), (66.2, 467.3), (66.2, 467.0), (66.2, 467.9), (66.2, 467.3), (66.2, 467.0), (66.2, 467.9), (66.2, 467.3)]",0,0,5.02
speedrunner,meatboy,6,Pit,12,0,-549.8,0.0,"[(73.0, 461.0), (35.7, 463.1), (-44.3, 458.4), (-124.3, 472.5), (-204.3, 505.5), (-284.3, 557.4), (-364.3, 628.1)]",0,0,0.85
speedrunner,meatboy,6,Stuck,0,0,75.83,0.403,"[(73.0, 461.0), (120.3, 467.3), (200.3, 467.0), (280.3, 467.9), (360.3, 467.3), (440.3, 467.0), (505.3, 467.9), (515.3, 467.3), (515.3, 467.0), (515.3, 467.9), (515.3, 467.3), (515.3, 467.0), (515.3, 467.9), (515.3, 467.3), (515.3, 467.0), (515.3, 467.9), (515.3, 467.3), (515.3, 467.0), (515.3, 467.9), (515.3, 467.3), (515.3, 467.0), (515.3, 467.9), (515.3, 467.3), (515.3, 467.0), (515.3, 467.9), (515.3, 467.3), (515.3, 467.0), (515.3, 467.9), (515.3, 467.3), (515.3, 467.0), (515.3, 467.9), (515.3, 467.3), (515.3, 467.0), (515.3, 467.9), (515.3, 467.3), (515.3, 467.0), (515.3, 467.9), (515.3, 467.3), (515.3, 467.0), (515.3, 467.9), (515.3, 467.3), (515.3, 467.0), (515.3, 467.9), (515.3, 467.3)]",0,0,5.83
speedrunner,meatboy,6,Saw,1,0,565.0,0.469,"[(73.0, 461.0), (120.3, 467.3), (200.3, 467.0), (280.3, 467.9), (360.3, 467.3), (440.3, 467.0), (520.3, 467.9), (600.3, 467.3)]",0,0,0.93
speedrunner,meatboy,6,Pit,12,0,-396.01,0.0,"[(73.0, 461.0), (32.0, 459.3), (-13.0, 408.2), (-52.7, 376.1), (-87.0, 362.7), (-116.0, 368.2), (-143.9, 392.5), (-218.4, 435.7), (-298.4, 497.7), (-378.4, 578.6)]",0,0,1.32
speedrunner,meatboy,6,Saw,0,0,444.48,0.462,"[(73.0, 461.0), (116.3, 467.3), (188.0, 467.0), (266.0, 467.9), (346.0, 467.3), (426.0, 467.0), (493.9, 467.9), (544.2, 467.3), (574.8, 467.0)]",0,0,1.17
speedrunner,meatboy,6,Saw,1,0,114.37,0.462,"[(73.0, 461.0), (95.3, 467.3), (116.0, 467.0), (135.7, 467.9), (151.5, 467.3), (170.4, 467.0), (184.8, 467.9), (200.9, 467.3), (215.3, 467.0), (231.7, 467.9), (242.6, 467.3), (251.4, 467.0), (259.2, 467.9), (270.0, 467.3), (283.1, 467.0), (296.7, 467.9), (310.1, 467.3), (324.4, 467.0), (336.4, 467.9), (350.2, 467.3), (361.7, 467.0), (375.6, 467.9), (388.3, 467.3), (401.7, 467.0), (417.5, 467.9), (432.3, 467.3), (449.5, 467.0), (465.9, 467.9), (485.8, 467.3), (502.4, 467.0), (516.9, 467.9), (533.8, 467.3), (554.0, 467.0), (571.1, 467.9), (591.5, 467.3)]",0,0,4.53
speedrunner,meatboy,6,Saw,3,0,341.72,0.465,"[(73.0, 461.0), (120.3, 452.1), (183.0, 403.4), (183.0, 373.5), (196.3, 362.5), (260.3, 370.4), (333.8, 371.3), (375.0, 384.2), (388.3, 416.1), (462.3, 466.7), (527.2, 467.3), (575.8, 467.0)]",0,0,1.52
speedrunner,meatboy,6,Saw,1,0,507.18,0.466,"[(73.0, 461.0), (81.1, 467.3), (137.1, 467.0), (217.1, 467.9), (297.1, 467.3), (377.1, 467.0), (457.1, 467.9), (537.1, 467.3)]",0,0,1.03
speedrunner,meatboy,6,Saw,3,0,545.35,0.462,"[(73.0, 461.0), (101.8, 467.3), (181.1, 455.2), (261.1, 450.5), (341.1, 464.6), (421.1, 451.2), (501.1, 455.9), (581.1, 455.2)]",0,0,0.95
