persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,bricks_destroyed,elapsed_time
novice,bomberman,6,Enemy,15,0,-1.1,0.214,"[(112.0, 112.0), (126.9, 115.7), (141.9, 115.7), (162.4, 115.7), (160.5, 115.7), (160.5, 115.7), (164.3, 115.7), (160.5, 115.7), (156.8, 115.7), (141.9, 115.7), (119.5, 115.7), (108.3, 128.8), (108.3, 143.7), (108.3, 158.7), (108.3, 173.6), (108.3, 188.5), (108.3, 192.3), (108.3, 192.3), (108.3, 188.5), (108.3, 192.3), (108.3, 192.3), (108.3, 188.5), (108.3, 192.3), (108.3, 192.3), (108.3, 188.5), (108.3, 192.3)]",0,0,3.38
novice,bomberman,6,Bomb,1,0,-0.93,0.0,"[(112.0, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0)]",0,0,4.0
novice,bomberman,6,Bomb,10,0,-0.22,0.5,"[(112.0, 112.0), (126.9, 115.7), (141.9, 115.7), (162.4, 115.7), (158.7, 115.7), (143.7, 115.7), (121.3, 115.7), (108.3, 126.9), (108.3, 141.9), (108.3, 156.8), (108.3, 171.7), (108.3, 186.7), (108.3, 201.6), (108.3, 216.5), (108.3, 231.5), (108.3, 246.4), (108.3, 261.3), (108.3, 276.3), (108.3, 291.2), (108.3, 306.1), (110.1, 308.0), (113.9, 308.0), (108.3, 308.0), (108.3, 308.0), (113.9, 308.0), (117.6, 308.0), (121.3, 308.0), (125.1, 308.0), (128.8, 308.0), (128.8, 308.0), (125.1, 308.0), (128.8, 308.0), (128.8, 308.0), (125.1, 308.0), (128.8, 308.0), (128.8, 308.0), (125.1, 308.0), (128.8, 308.0), (128.8, 308.0), (125.1, 308.0), (128.8, 308.0), (128.8, 308.0), (125.1, 308.0), (128.8, 308.0), (128.8, 308.0), (125.1, 308.0), (110.1, 308.0), (108.3, 308.0), (108.3, 308.0), (108.3, 308.0), (108.3, 308.0), (108.3, 308.0), (108.3, 308.0), (108.3, 308.0), (108.3, 308.0), (108.3, 308.0), (108.3, 308.0), (108.3, 308.0), (108.3, 308.0), (108.3, 308.0), (108.3, 308.0), (108.3, 308.0), (108.3, 308.0), (108.3, 308.0)]",0,0,8.4
novice,bomberman,6,Stuck,0,0,-0.75,0.0,"[(112.0, 112.0), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3)]",0,0,5.0
novice,bomberman,6,Enemy,5,0,3.74,0.429,"[(112.0, 112.0), (126.9, 112.0), (141.9, 110.1), (156.8, 108.3), (171.7, 108.3), (186.7, 108.3), (201.6, 108.3), (216.5, 108.3), (231.5, 108.3), (246.4, 108.3), (261.3, 108.3), (276.3, 108.3), (291.2, 108.3), (287.5, 108.3), (287.5, 108.3), (291.2, 108.3), (276.3, 108.3), (272.5, 108.3), (268.8, 108.3), (265.1, 108.3), (250.1, 108.3), (235.2, 108.3), (220.3, 108.3), (209.1, 108.3), (212.8, 108.3), (205.3, 108.3), (197.9, 108.3), (201.6, 108.3), (186.7, 108.3), (171.7, 108.3), (168.0, 108.3), (171.7, 108.3), (171.7, 108.3), (168.0, 108.3), (164.3, 108.3), (164.3, 108.3), (168.0, 108.3), (164.3, 108.3), (164.3, 108.3), (168.0, 108.3), (164.3, 108.3), (164.3, 108.3), (179.2, 108.3), (194.1, 108.3), (209.1, 108.3), (224.0, 108.3), (238.9, 108.3), (253.9, 108.3), (268.8, 108.3), (283.7, 108.3), (283.7, 108.3), (280.0, 108.3), (272.5, 108.3), (265.1, 108.3), (257.6, 108.3), (242.7, 108.3), (227.7, 108.3), (212.8, 108.3), (209.1, 108.3), (205.3, 108.3), (201.6, 108.3), (197.9, 108.3), (197.9, 108.3), (201.6, 108.3), (197.9, 108.3), (182.9, 108.3), (168.0, 108.3), (171.7, 108.3), (171.7, 108.3), (168.0, 108.3), (171.7, 108.3), (171.7, 108.3), (168.0, 108.3), (171.7, 108.3), (171.7, 108.3), (168.0, 108.3), (171.7, 108.3), (164.3, 108.3), (179.2, 108.3), (194.1, 108.3), (209.1, 108.3), (224.0, 108.3), (238.9, 108.3), (253.9, 108.3), (268.8, 108.3), (283.7, 108.3), (283.7, 108.3), (280.0, 108.3), (272.5, 108.3), (265.1, 108.3), (257.6, 108.3), (242.7, 108.3), (227.7, 108.3), (212.8, 108.3), (209.1, 108.3), (209.1, 108.3), (201.6, 108.3), (197.9, 108.3), (197.9, 108.3), (201.6, 108.3), (197.9, 108.3), (182.9, 108.3), (168.0, 108.3), (171.7, 108.3), (171.7, 108.3), (168.0, 108.3), (171.7, 108.3), (171.7, 108.3), (168.0, 108.3), (171.7, 108.3), (171.7, 108.3), (168.0, 108.3), (171.7, 108.3), (171.7, 108.3), (179.2, 108.3), (194.1, 108.3), (209.1, 108.3), (224.0, 108.3), (238.9, 108.3), (253.9, 108.3), (268.8, 108.3), (283.7, 108.3), (287.5, 108.3), (280.0, 108.3), (272.5, 108.3), (265.1, 108.3), (257.6, 108.3), (242.7, 108.3), (227.7, 108.3), (212.8, 108.3), (209.1, 108.3), (209.1, 108.3), (201.6, 108.3), (197.9, 108.3), (197.9, 108.3), (201.6, 108.3), (197.9, 108.3), (182.9, 108.3), (168.0, 108.3), (171.7, 108.3), (171.7, 108.3), (168.0, 108.3), (171.7, 108.3), (171.7, 108.3), (168.0, 108.3), (171.7, 108.3), (171.7, 108.3), (168.0, 108.3), (164.3, 108.3), (164.3, 108.3), (179.2, 108.3), (194.1, 108.3), (209.1, 108.3), (224.0, 108.3), (238.9, 108.3), (253.9, 108.3), (268.8, 108.3), (283.7, 108.3), (276.3, 108.3), (268.8, 108.3), (265.1, 108.3), (261.3, 108.3), (246.4, 108.3), (231.5, 108.3), (216.5, 108.3), (212.8, 108.3), (209.1, 108.3), (209.1, 108.3), (201.6, 108.3), (205.3, 108.3), (205.3, 108.3), (201.6, 108.3), (197.9, 108.3)]",0,0,22.93
novice,bomberman,6,Enemy,0,0,-0.84,0.071,"[(112.0, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 121.3), (108.3, 123.2), (108.3, 128.8), (108.3, 128.8), (108.3, 128.8), (108.3, 128.8), (108.3, 128.8), (108.3, 128.8), (108.3, 128.8), (108.3, 128.8), (108.3, 128.8), (108.3, 128.8), (108.3, 128.8), (108.3, 128.8), (108.3, 128.8), (108.3, 128.8), (108.3, 128.8), (108.3, 134.4)]",0,0,4.43
novice,bomberman,6,Bomb,1,0,-0.93,0.0,"[(112.0, 112.0), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3)]",0,0,4.0
novice,bomberman,6,Bomb,1,0,4.67,0.071,"[(112.0, 112.0), (112.0, 112.0), (112.0, 112.0), (112.0, 112.0), (112.0, 112.0), (112.0, 112.0), (112.0, 112.0), (112.0, 112.0), (112.0, 112.0), (112.0, 112.0), (112.0, 112.0), (112.0, 112.0), (112.0, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (108.3, 112.0), (112.0, 112.0), (126.9, 112.0), (130.7, 112.0), (126.9, 112.0), (126.9, 112.0), (130.7, 112.0), (126.9, 112.0), (126.9, 112.0), (130.7, 112.0), (126.9, 112.0), (126.9, 112.0), (130.7, 112.0)]",0,0,4.0
novice,bomberman,6,Bomb,1,0,-0.93,0.0,"[(112.0, 112.0), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3), (108.3, 108.3)]",0,0,4.0
novice,bomberman,6,Enemy,2,0,68.65,0.286,"[(112.0, 112.0), (126.9, 115.7), (141.9, 115.7), (162.4, 115.7), (177.3, 121.3), (179.2, 136.3), (179.2, 153.1), (179.2, 171.7)]",0,0,1.03
