persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,bricks_destroyed,elapsed_time
experienced,mario,Mario1-2,Stuck,1,0,29.5,0.054,"[(112.0, 208.0), (112.0, 226.4), (114.3, 280.4), (124.3, 353.8), (144.5, 314.5), (173.4, 260.9), (207.9, 228.5), (235.8, 219.2), (255.7, 240.0), (271.4, 296.4), (286.4, 368.0), (293.4, 299.1), (302.7, 250.6), (304.0, 224.0), (304.0, 221.1), (304.0, 250.8), (303.8, 314.8), (303.5, 349.0), (303.5, 285.5), (304.2, 242.5), (304.2, 221.9), (304.2, 226.4), (304.2, 265.3), (303.8, 334.8), (303.6, 331.2), (304.0, 272.8), (304.2, 235.2), (304.2, 220.4), (304.2, 232.8), (304.2, 280.6), (303.7, 353.1), (303.6, 318.1), (303.3, 306.2), (302.9, 322.9), (302.6, 335.5), (302.6, 309.2), (302.2, 306.6), (301.7, 336.6), (302.7, 339.8), (303.6, 278.6), (304.0, 237.9), (304.0, 220.0), (304.0, 228.1), (304.0, 271.1), (303.6, 342.3), (303.5, 322.8), (304.2, 266.9), (304.2, 232.1), (304.2, 220.2), (304.2, 236.9)]",0,0,6.62
experienced,mario,Mario1-2,Stuck,6,0,-12.16,0.008,"[(112.0, 208.0), (107.5, 226.4), (95.0, 280.4), (74.5, 353.8), (48.0, 358.6), (48.0, 292.3), (48.4, 246.4), (54.9, 222.7), (62.4, 223.2), (61.9, 257.4), (53.4, 324.3), (48.0, 339.8), (48.0, 278.6), (49.2, 237.9), (57.5, 220.0), (63.0, 228.1), (60.5, 271.1), (50.0, 342.3), (48.0, 322.6), (48.0, 266.4), (50.6, 231.3), (59.6, 219.1), (63.1, 235.5), (58.6, 287.4), (48.0, 360.6), (48.0, 306.6), (48.0, 255.6), (52.5, 226.1), (61.2, 219.9), (62.8, 245.1), (56.2, 305.6), (48.0, 358.3), (48.0, 292.0), (48.4, 246.0), (54.9, 222.3), (62.4, 222.9), (61.9, 257.0), (53.4, 323.9)]",0,0,5.02
experienced,mario,Mario1-2,Stuck,0,0,-10.68,0.01,"[(112.0, 208.0), (107.5, 226.4), (95.0, 280.4), (75.9, 353.8), (59.1, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0), (58.4, 368.0)]",0,0,5.02
experienced,mario,Mario1-2,Stuck,6,0,-12.53,0.009,"[(112.0, 208.0), (107.5, 226.4), (95.0, 280.4), (79.9, 353.8), (65.3, 314.7), (51.5, 261.5), (49.1, 229.5), (48.6, 220.5), (48.4, 241.7), (48.4, 298.4), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0), (48.4, 368.0)]",0,0,5.02
experienced,mario,Mario1-2,Stuck,1,0,-12.62,0.008,"[(112.0, 208.0), (107.5, 226.4), (95.0, 280.4), (74.5, 353.8), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0)]",0,0,5.02
experienced,mario,Mario1-2,Stuck,0,0,-11.94,0.008,"[(112.0, 208.0), (111.5, 226.4), (110.0, 280.4), (101.5, 353.8), (77.1, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0)]",0,0,5.02
experienced,mario,Mario1-2,Stuck,5,0,-12.73,0.008,"[(112.0, 208.0), (107.5, 226.4), (95.0, 280.4), (74.5, 353.8), (48.1, 322.9), (48.0, 266.8), (48.0, 231.6), (48.0, 219.5), (48.0, 235.9), (48.0, 287.8), (48.0, 361.0), (48.0, 314.8), (48.0, 261.2), (48.0, 228.9), (48.0, 219.6), (48.0, 240.4), (48.0, 296.8), (48.0, 368.0), (48.0, 307.0), (48.0, 255.9), (48.0, 226.4), (48.0, 220.2), (48.0, 245.5), (48.0, 306.0), (48.0, 368.4), (48.0, 299.5), (48.0, 251.0), (48.0, 224.4), (48.0, 221.5), (48.0, 251.2), (48.0, 315.1), (48.0, 358.6), (48.0, 292.3), (48.0, 246.4), (48.0, 222.7), (48.0, 223.2), (48.0, 257.4), (48.0, 324.3)]",0,0,5.02
experienced,mario,Mario1-2,Stuck,1,0,-12.73,0.008,"[(112.0, 208.0), (107.5, 226.4), (95.0, 280.4), (74.5, 353.8), (48.0, 314.5), (48.0, 260.9), (48.0, 228.5), (48.0, 219.2), (48.0, 240.0), (48.0, 296.4), (48.0, 368.0), (48.0, 299.1), (48.0, 250.6), (48.0, 224.0), (48.0, 221.1), (48.0, 250.8), (48.0, 314.8), (48.0, 348.9), (48.0, 285.1), (48.0, 241.8), (48.0, 221.0), (48.0, 225.2), (48.0, 263.8), (48.0, 333.1), (48.0, 331.0), (48.0, 272.3), (48.0, 234.4), (48.0, 219.4), (48.0, 231.5), (48.0, 279.0), (48.0, 351.4), (48.0, 314.5), (48.0, 260.9), (48.0, 228.5), (48.0, 219.2), (48.0, 240.0), (48.0, 296.4), (48.0, 368.0)]",0,0,5.02
experienced,mario,Mario1-2,Stuck,0,0,-11.93,0.008,"[(112.0, 208.0), (116.5, 226.4), (122.0, 280.4), (119.5, 353.8), (107.5, 368.0), (86.0, 368.0), (57.8, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0)]",0,0,5.27
experienced,mario,Mario1-2,Stuck,1,0,-12.73,0.008,"[(112.0, 208.0), (107.5, 226.4), (95.0, 280.4), (74.5, 353.8), (48.0, 314.5), (48.0, 260.9), (48.0, 228.5), (48.0, 219.2), (48.0, 240.0), (48.0, 296.4), (48.0, 368.0), (48.0, 299.1), (48.0, 250.6), (48.0, 224.0), (48.0, 221.1), (48.0, 250.8), (48.0, 314.8), (48.0, 348.9), (48.0, 285.1), (48.0, 241.8), (48.0, 221.0), (48.0, 225.2), (48.0, 263.8), (48.0, 333.1), (48.0, 331.0), (48.0, 272.3), (48.0, 234.4), (48.0, 219.4), (48.0, 231.5), (48.0, 279.0), (48.0, 351.4), (48.0, 314.5), (48.0, 260.9), (48.0, 228.5), (48.0, 219.2), (48.0, 240.0), (48.0, 296.4), (48.0, 368.0)]",0,0,5.02
experienced,mario,Mario1-2,Stuck,1,0,29.5,0.054,"[(112.0, 208.0), (112.0, 226.4), (114.3, 280.4), (124.3, 353.8), (144.5, 314.5), (173.4, 260.9), (207.9, 228.5), (235.8, 219.2), (255.7, 240.0), (271.4, 296.4), (286.4, 368.0), (293.4, 299.1), (302.7, 250.6), (304.0, 224.0), (304.0, 221.1), (304.0, 250.8), (303.8, 314.8), (303.5, 349.0), (303.5, 285.5), (304.2, 242.5), (304.2, 221.9), (304.2, 226.4), (304.2, 265.3), (303.8, 334.8), (303.6, 331.2), (304.0, 272.8), (304.2, 235.2), (304.2, 220.4), (304.2, 232.8), (304.2, 280.6), (303.7, 353.1), (303.6, 318.1), (303.3, 306.2), (302.9, 322.9), (302.6, 335.5), (302.6, 309.2), (302.2, 306.6), (301.7, 336.6), (302.7, 339.8), (303.6, 278.6), (304.0, 237.9), (304.0, 220.0), (304.0, 228.1), (304.0, 271.1), (303.6, 342.3), (303.5, 322.8), (304.2, 266.9), (304.2, 232.1), (304.2, 220.2), (304.2, 236.9)]",0,0,6.62
experienced,mario,Mario1-2,Stuck,0,0,-11.93,0.008,"[(112.0, 208.0), (116.5, 226.4), (122.0, 280.4), (119.5, 353.8), (107.5, 368.0), (86.0, 368.0), (57.8, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0)]",0,0,5.27
experienced,mario,Mario1-2,Stuck,1,0,-12.73,0.008,"[(112.0, 208.0), (107.5, 226.4), (95.0, 280.4), (74.5, 353.8), (48.0, 314.5), (48.0, 260.9), (48.0, 228.5), (48.0, 219.2), (48.0, 240.0), (48.0, 296.4), (48.0, 368.0), (48.0, 299.1), (48.0, 250.6), (48.0, 224.0), (48.0, 221.1), (48.0, 250.8), (48.0, 314.8), (48.0, 348.9), (48.0, 285.1), (48.0, 241.8), (48.0, 221.0), (48.0, 225.2), (48.0, 263.8), (48.0, 333.1), (48.0, 331.0), (48.0, 272.3), (48.0, 234.4), (48.0, 219.4), (48.0, 231.5), (48.0, 279.0), (48.0, 351.4), (48.0, 314.5), (48.0, 260.9), (48.0, 228.5), (48.0, 219.2), (48.0, 240.0), (48.0, 296.4), (48.0, 368.0)]",0,0,5.02
experienced,mario,Mario1-2,Stuck,1,0,-12.73,0.008,"[(112.0, 208.0), (107.5, 226.4), (95.0, 280.4), (74.5, 353.8), (48.0, 314.5), (48.0, 260.9), (48.0, 228.5), (48.0, 219.2), (48.0, 240.0), (48.0, 296.4), (48.0, 368.0), (48.0, 299.1), (48.0, 250.6), (48.0, 224.0), (48.0, 221.1), (48.0, 250.8), (48.0, 314.8), (48.0, 348.9), (48.0, 285.1), (48.0, 241.8), (48.0, 221.0), (48.0, 225.2), (48.0, 263.8), (48.0, 333.1), (48.0, 331.0), (48.0, 272.3), (48.0, 234.4), (48.0, 219.4), (48.0, 231.5), (48.0, 279.0), (48.0, 351.4), (48.0, 314.5), (48.0, 260.9), (48.0, 228.5), (48.0, 219.2), (48.0, 240.0), (48.0, 296.4), (48.0, 368.0)]",0,0,5.02
experienced,mario,Mario1-2,Stuck,0,0,-12.28,0.008,"[(112.0, 208.0), (107.5, 226.4), (95.0, 280.4), (74.5, 353.8), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0)]",0,0,5.02
experienced,mario,Mario1-2,Stuck,1,0,-12.48,0.008,"[(112.0, 208.0), (112.0, 226.4), (111.2, 280.4), (103.8, 353.8), (91.2, 314.5), (71.6, 260.9), (49.4, 228.5), (48.0, 219.2), (48.0, 240.0), (48.0, 296.4), (48.0, 368.0), (48.0, 299.1), (48.0, 250.6), (48.0, 224.0), (48.0, 221.1), (48.0, 250.8), (48.0, 314.8), (48.0, 348.9), (48.0, 285.1), (48.0, 241.8), (48.0, 221.0), (48.0, 225.2), (48.0, 263.8), (48.0, 333.1), (48.0, 331.0), (48.0, 272.3), (48.0, 234.4), (48.0, 219.4), (48.0, 231.5), (48.0, 279.0), (48.0, 351.4), (48.0, 314.5), (48.0, 260.9), (48.0, 228.5), (48.0, 219.2), (48.0, 240.0), (48.0, 296.4), (48.0, 368.0)]",0,0,5.02
experienced,mario,Mario1-2,Enemy,2,0,102.19,0.067,"[(112.0, 208.0), (116.5, 226.4), (129.0, 280.4), (149.3, 353.8), (163.2, 368.0), (165.1, 323.4), (160.8, 269.0), (152.3, 235.5), (151.0, 225.1), (157.7, 243.2), (172.5, 296.9), (194.0, 368.0), (200.0, 368.0), (201.6, 368.0), (203.1, 368.0), (208.7, 368.0), (227.5, 368.0), (261.2, 368.0), (301.2, 368.0), (341.2, 368.0), (381.2, 368.0)]",0,0,2.68
experienced,mario,Mario1-2,Stuck,6,0,-12.73,0.008,"[(112.0, 208.0), (107.5, 226.4), (95.0, 280.4), (74.5, 353.8), (48.1, 322.9), (48.0, 266.8), (48.0, 231.6), (48.0, 219.5), (48.0, 235.9), (48.0, 287.8), (48.0, 361.0), (48.0, 314.8), (48.0, 261.2), (48.0, 228.9), (48.0, 219.6), (48.0, 240.4), (48.0, 296.8), (48.0, 368.0), (48.0, 307.0), (48.0, 255.9), (48.0, 226.4), (48.0, 220.2), (48.0, 245.5), (48.0, 306.0), (48.0, 368.4), (48.0, 299.5), (48.0, 251.0), (48.0, 224.4), (48.0, 221.5), (48.0, 251.2), (48.0, 315.1), (48.0, 358.6), (48.0, 292.3), (48.0, 246.4), (48.0, 222.7), (48.0, 223.2), (48.0, 257.4), (48.0, 324.3)]",0,0,5.02
experienced,mario,Mario1-2,Stuck,0,0,-12.71,0.008,"[(112.0, 208.0), (107.5, 226.4), (95.0, 280.4), (74.5, 353.8), (51.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0)]",0,0,5.02
experienced,mario,Mario1-2,Stuck,0,0,-12.28,0.008,"[(112.0, 208.0), (112.0, 226.4), (112.0, 280.4), (111.9, 353.8), (98.5, 368.0), (60.4, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0), (48.0, 368.0)]",0,0,5.02
experienced,mario,Mario1-2,Enemy,2,0,102.19,0.067,"[(112.0, 208.0), (116.5, 226.4), (129.0, 280.4), (149.3, 353.8), (163.2, 368.0), (165.1, 323.4), (160.8, 269.0), (152.3, 235.5), (151.0, 225.1), (157.7, 243.2), (172.5, 296.9), (194.0, 368.0), (200.0, 368.0), (201.6, 368.0), (203.1, 368.0), (208.7, 368.0), (227.5, 368.0), (261.2, 368.0), (301.2, 368.0), (341.2, 368.0), (381.2, 368.0)]",0,0,2.68
experienced,mario,Mario1-2,Stuck,1,0,29.5,0.054,"[(112.0, 208.0), (112.0, 226.4), (114.3, 280.4), (124.3, 353.8), (144.5, 314.5), (173.4, 260.9), (207.9, 228.5), (235.8, 219.2), (255.7, 240.0), (271.4, 296.4), (286.4, 368.0), (293.4, 299.1), (302.7, 250.6), (304.0, 224.0), (304.0, 221.1), (304.0, 250.8), (303.8, 314.8), (303.5, 349.0), (303.5, 285.5), (304.2, 242.5), (304.2, 221.9), (304.2, 226.4), (304.2, 265.3), (303.8, 334.8), (303.6, 331.2), (304.0, 272.8), (304.2, 235.2), (304.2, 220.4), (304.2, 232.8), (304.2, 280.6), (303.7, 353.1), (303.6, 318.1), (303.3, 306.2), (302.9, 322.9), (302.6, 335.5), (302.6, 309.2), (302.2, 306.6), (301.7, 336.6), (302.7, 339.8), (303.6, 278.6), (304.0, 237.9), (304.0, 220.0), (304.0, 228.1), (304.0, 271.1), (303.6, 342.3), (303.5, 322.8), (304.2, 266.9), (304.2, 232.1), (304.2, 220.2), (304.2, 236.9)]",0,0,6.62
