persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,bricks_destroyed,elapsed_time
speedrunner,mario,Mario1-1,OOB,1,0,-200.7,0.0,"[(112.0, 432.0), (106.5, 378.5), (93.4, 324.9), (72.3, 292.5), (43.1, 283.2), (5.8, 304.0), (-39.6, 360.4)]",0,0,0.85
speedrunner,mario,Mario1-1,Enemy,0,0,290.78,0.029,"[(112.0, 432.0), (126.2, 432.0), (171.3, 432.0), (224.7, 432.0)]",0,0,0.43
speedrunner,mario,Mario1-1,Stuck,6,0,-25.79,0.0,"[(112.0, 432.0), (104.8, 371.0), (89.1, 319.9), (72.4, 290.4), (60.1, 284.2), (52.3, 309.5), (44.8, 370.0), (30.1, 422.3), (13.7, 356.0), (1.9, 310.0), (-5.6, 286.3), (-8.6, 286.9), (-8.6, 321.0), (-8.6, 387.9), (-10.3, 403.8), (-11.4, 342.6), (-11.4, 301.9), (-11.4, 284.0), (-11.4, 292.1), (-11.4, 335.1), (-11.4, 406.3), (-13.7, 386.6), (-14.1, 330.4), (-14.1, 295.3), (-14.1, 283.1), (-14.1, 299.5), (-14.1, 351.4), (-14.3, 424.6), (-16.8, 370.6), (-16.9, 319.6), (-16.9, 290.1), (-16.9, 283.9), (-16.9, 309.1), (-16.9, 369.6), (-17.1, 399.6), (-17.1, 373.3), (-17.1, 370.6), (-17.1, 400.6)]",0,0,5.02
speedrunner,mario,Mario1-1,Enemy,0,0,198.38,0.027,"[(112.0, 432.0), (122.7, 432.0), (157.4, 432.0), (188.9, 432.0), (218.1, 432.0)]",0,0,0.55
speedrunner,mario,Mario1-1,Success,1,0,285.07,0.785,"[(112.0, 432.0), (119.2, 371.0), (134.9, 319.9), (158.6, 290.4), (190.5, 284.2), (230.4, 309.5), (278.5, 370.0), (331.7, 400.0), (385.0, 373.6), (438.4, 371.0), (491.7, 401.0), (545.0, 385.6), (598.4, 368.0), (625.3, 376.3), (633.9, 419.6), (650.5, 384.6), (675.3, 372.8), (708.2, 389.4), (749.5, 422.3), (801.1, 368.3), (854.4, 389.3), (880.5, 422.3), (880.8, 356.0), (888.3, 310.0), (904.0, 286.3), (927.8, 286.9), (959.6, 321.0), (999.6, 387.9), (1048.5, 403.8), (1101.9, 342.6), (1155.2, 301.9), (1208.5, 284.0), (1261.9, 292.1), (1315.2, 335.1), (1368.5, 406.3), (1421.9, 383.5), (1456.0, 368.8), (1456.0, 381.2), (1456.0, 429.0), (1456.1, 370.6), (1457.9, 319.6), (1467.5, 290.1), (1485.2, 283.9), (1511.0, 309.1), (1546.4, 298.1), (1591.4, 239.5), (1643.6, 201.5), (1696.9, 186.5), (1750.2, 198.6), (1803.6, 246.1), (1856.9, 318.5), (1910.2, 283.3), (1963.6, 229.7), (2016.9, 197.4), (2070.2, 188.1), (2123.6, 208.9), (2176.9, 265.3), (2230.2, 338.6), (2283.6, 412.0), (2336.9, 386.6), (2384.0, 330.4), (2385.3, 295.3), (2393.9, 283.1), (2410.5, 299.5), (2438.0, 242.7), (2473.9, 191.6), (2482.7, 162.1), (2493.3, 155.9), (2512.4, 166.4), (2542.2, 100.1), (2580.1, 54.1), (2626.1, 30.4), (2678.8, 30.9), (2732.1, 65.1), (2785.4, 132.0), (2838.8, 147.8), (2892.1, 86.6), (2945.4, 45.9), (2998.8, 28.0), (3052.1, 36.1), (3105.4, 79.1), (3158.8, 150.3), (3212.1, 223.6), (3265.4, 296.9), (3280.1, 370.3), (3285.7, 414.3), (3299.3, 385.1), (3321.1, 379.2), (3350.9, 404.8), (3390.0, 403.8), (3439.0, 370.5), (3492.3, 399.9), (3545.7, 403.8), (3599.0, 342.6), (3652.3, 301.9), (3705.7, 284.0), (3759.0, 292.1), (3812.3, 335.1), (3865.7, 406.3), (3919.0, 386.6), (3972.3, 330.4), (4025.7, 295.3), (4079.0, 283.1), (4132.3, 299.5), (4185.7, 351.4), (4208.0, 380.9), (4212.5, 317.1), (4225.2, 273.8), (4245.9, 253.0), (4274.7, 257.2), (4311.6, 295.8), (4358.9, 250.5), (4412.1, 196.9), (4465.5, 164.5), (4518.8, 155.2), (4572.1, 176.0), (4625.5, 232.4), (4678.8, 305.8), (4720.1, 299.0), (4725.7, 240.3), (4739.3, 202.4), (4761.1, 187.4), (4790.9, 199.5), (4828.8, 247.0), (4875.2, 294.3), (4928.5, 228.0), (4981.9, 182.0), (5035.2, 158.3), (5088.5, 158.9), (5141.9, 193.0), (5195.2, 259.9), (5248.5, 333.3), (5265.9, 406.6), (5275.5, 383.9), (5293.2, 369.1), (5319.0, 381.5), (5352.9, 429.3), (5397.5, 370.6), (5449.7, 381.0), (5503.0, 427.8), (5556.3, 370.6), (5609.7, 319.6), (5663.0, 290.1), (5716.3, 283.9), (5769.7, 309.1), (5776.8, 298.3), (5784.3, 239.9), (5800.0, 202.3), (5823.8, 187.5), (5855.6, 199.9), (5872.0, 240.0), (5874.7, 171.1), (5885.3, 122.6), (5904.0, 96.0), (5930.8, 93.1), (5965.7, 122.8), (6008.6, 186.8), (6052.6, 260.1), (6097.6, 333.4), (6149.8, 406.8), (6203.1, 386.6)]",0,0,21.4
speedrunner,mario,Mario1-1,Enemy,0,0,0.0,0.014,"[(112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0)]",0,0,2.3
speedrunner,mario,Mario1-1,OOB,0,0,-314.52,0.0,"[(112.0, 432.0), (96.8, 432.0), (50.9, 432.0), (-2.4, 432.0), (-49.1, 439.4)]",0,0,0.53
speedrunner,mario,Mario1-1,Stuck,11,0,14.13,0.028,"[(112.0, 432.0), (109.9, 371.7), (109.9, 321.6), (113.4, 293.2), (125.1, 288.0), (144.8, 314.3), (165.5, 375.7), (177.7, 422.3), (180.9, 357.3), (181.1, 312.7), (186.7, 290.4), (200.3, 292.3), (220.0, 327.9), (234.1, 395.6), (238.6, 395.8), (238.6, 338.8), (239.9, 302.6), (248.5, 289.3), (264.5, 303.2), (278.6, 352.4), (284.9, 410.4), (285.8, 378.3), (285.8, 369.3), (284.0, 390.4), (274.0, 422.3), (260.3, 356.6), (251.1, 311.4), (246.3, 288.3), (245.5, 289.6), (245.5, 324.4), (241.0, 391.8), (227.8, 403.9), (214.2, 343.4), (205.1, 303.5), (200.4, 286.2), (199.9, 295.0), (199.5, 338.7), (192.9, 410.1), (178.3, 386.9), (165.9, 331.4), (158.7, 297.0), (159.5, 285.5), (168.3, 302.6), (180.5, 355.2), (185.2, 428.4), (185.3, 393.4), (185.3, 381.6), (184.6, 398.2), (177.0, 412.9), (168.5, 350.2), (164.6, 307.9), (167.9, 288.1), (179.3, 293.3), (197.6, 333.0), (210.9, 402.8), (214.9, 395.5), (214.9, 338.3), (216.1, 301.9)]",0,0,7.68
speedrunner,mario,Mario1-1,OOB,1,0,-207.91,0.0,"[(112.0, 432.0), (104.8, 371.0), (89.1, 319.9), (65.4, 290.4), (33.5, 284.2), (-6.4, 309.5), (-48.0, 360.8)]",0,0,0.8
speedrunner,mario,Mario1-1,OOB,0,0,-304.72,0.0,"[(112.0, 432.0), (101.4, 432.0), (59.3, 432.0), (6.0, 432.0), (-47.3, 442.5)]",0,0,0.57
