persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
speedrunner,mario,Mario1-1,Enemy,0,0,74.38,0.024,"[(112.0, 432.0), (127.2, 432.0), (166.0, 432.0), (187.0, 432.0), (188.9, 432.0), (188.9, 432.0), (188.9, 432.0), (188.9, 432.0)]",0,1.03
speedrunner,mario,Mario1-1,OOB,5,0,-100.46,0.0,"[(112.0, 432.0), (114.8, 371.0), (111.1, 321.2), (102.3, 294.4), (99.1, 291.4), (102.5, 321.0), (103.6, 384.9), (96.9, 412.9), (85.4, 351.1), (66.0, 312.3), (41.6, 296.7), (12.1, 308.2), (-25.4, 355.1)]",0,1.7
speedrunner,mario,Mario1-1,Enemy,0,0,290.78,0.029,"[(112.0, 432.0), (126.2, 432.0), (171.3, 432.0), (224.7, 432.0)]",0,0.43
speedrunner,mario,Mario1-1,OOB,2,0,-99.63,0.0,"[(112.0, 432.0), (113.9, 371.0), (108.3, 319.9), (96.6, 290.4), (88.2, 284.2), (84.0, 309.5), (75.9, 370.0), (60.3, 422.3), (42.2, 356.0), (18.8, 310.0), (-6.8, 286.3), (-27.9, 286.9), (-45.1, 321.0)]",0,1.65
speedrunner,mario,Mario1-1,OOB,0,0,-314.52,0.0,"[(112.0, 432.0), (96.8, 432.0), (50.9, 432.0), (-2.4, 432.0), (-49.1, 439.4)]",0,0.53
speedrunner,mario,Mario1-1,OOB,2,0,-86.99,0.0,"[(112.0, 432.0), (112.0, 371.3), (111.8, 320.5), (110.6, 291.3), (102.0, 285.4), (85.3, 310.9), (62.5, 371.6), (43.2, 422.3), (30.4, 356.0), (22.1, 310.0), (18.2, 286.3), (11.8, 286.9), (-2.8, 321.0), (-23.1, 387.9), (-47.7, 461.3)]",0,1.9
speedrunner,mario,Mario1-1,Enemy,0,0,0.0,0.014,"[(112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0), (112.0, 432.0)]",0,2.3
speedrunner,mario,Mario1-1,Enemy,0,0,290.58,0.029,"[(112.0, 432.0), (127.2, 432.0), (173.1, 432.0), (226.4, 432.0)]",0,0.42
speedrunner,mario,Mario1-1,OOB,0,0,-314.52,0.0,"[(112.0, 432.0), (96.8, 432.0), (50.9, 432.0), (-2.4, 432.0), (-49.1, 439.4)]",0,0.53
speedrunner,mario,Mario1-1,OOB,0,0,-285.05,0.0,"[(112.0, 432.0), (97.8, 432.0), (52.7, 432.0), (0.4, 432.0), (-39.0, 442.5)]",0,0.58
