persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
experienced,meatboy,2,Stuck,1,0,-3.78,0.064,"[(105.0, 269.0), (86.6, 275.3), (86.1, 275.0), (86.1, 275.9), (86.1, 275.3), (86.1, 275.0), (86.1, 275.9), (86.1, 275.3), (86.1, 275.0), (86.1, 275.9), (86.1, 275.3), (86.1, 275.0), (86.1, 275.9), (86.1, 275.3), (86.1, 275.0), (86.1, 275.9), (86.1, 275.3), (86.1, 275.0), (86.1, 275.9), (86.1, 275.3), (86.1, 275.0), (86.1, 275.9), (86.1, 275.3), (86.1, 275.0), (86.1, 275.9), (86.1, 275.3), (86.1, 275.0), (86.1, 275.9), (86.1, 275.3), (86.1, 275.0), (86.1, 275.9), (86.1, 275.3), (86.1, 275.0), (86.1, 275.9), (86.1, 275.3), (86.1, 275.0), (86.1, 275.9), (86.1, 275.3)]",0,5.02
experienced,meatboy,2,Stuck,0,0,0.0,0.078,"[(105.0, 269.0), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3)]",0,5.02
experienced,meatboy,2,Stuck,0,0,42.18,0.263,"[(105.0, 269.0), (130.2, 275.3), (170.2, 275.0), (210.2, 275.9), (250.2, 275.3), (290.2, 275.0), (330.2, 275.9), (358.5, 275.3), (351.7, 275.0), (351.1, 275.9), (353.1, 275.3), (351.2, 275.0), (350.5, 275.9), (351.3, 275.3), (352.1, 275.0), (351.4, 275.9), (352.2, 275.3), (351.5, 275.0), (353.5, 275.9), (351.6, 275.3), (350.9, 275.0), (352.9, 275.9), (351.1, 275.3), (353.1, 275.0), (351.2, 275.9), (350.5, 275.3), (351.3, 275.0), (352.1, 275.9), (351.4, 275.3), (352.2, 275.0), (351.5, 275.9), (353.5, 275.3), (351.6, 275.0), (350.9, 275.9), (352.9, 275.3), (351.1, 275.0), (353.1, 275.9), (351.2, 275.3), (350.5, 275.0), (351.3, 275.9), (352.1, 275.3), (351.4, 275.0), (352.2, 275.9), (351.5, 275.3), (353.5, 275.0)]",0,5.88
experienced,meatboy,2,Pit,0,0,-286.52,0.0,"[(105.0, 269.0), (79.8, 275.3), (39.8, 275.0), (-0.2, 275.9), (-40.2, 283.2), (-80.2, 310.3), (-120.2, 356.3), (-160.2, 421.0), (-200.2, 504.7)]",0,1.1
experienced,meatboy,2,Stuck,1,0,-14.39,0.024,"[(105.0, 269.0), (79.8, 275.3), (39.8, 275.0), (33.3, 275.9), (31.1, 275.3), (31.8, 275.0), (33.7, 275.9), (31.7, 275.3), (33.6, 275.0), (31.6, 275.9), (30.8, 275.3), (31.4, 275.0), (32.1, 275.9), (31.3, 275.3), (32.0, 275.0), (31.2, 275.9), (31.9, 275.3), (32.6, 275.0), (31.8, 275.9), (33.7, 275.3), (31.7, 275.0), (33.6, 275.9), (31.6, 275.3), (30.8, 275.0), (31.4, 275.9), (32.1, 275.3), (31.3, 275.0), (32.0, 275.9), (31.2, 275.3), (31.9, 275.0), (32.6, 275.9), (31.8, 275.3), (33.7, 275.0), (31.7, 275.9), (33.6, 275.3), (31.6, 275.0), (30.8, 275.9), (31.4, 275.3)]",0,5.02
experienced,meatboy,2,Pit,1,0,-286.52,0.0,"[(105.0, 269.0), (79.8, 275.3), (39.8, 275.0), (-0.2, 275.9), (-40.2, 283.2), (-80.2, 310.3), (-120.2, 356.3), (-160.2, 421.0), (-200.2, 504.7)]",0,1.1
experienced,meatboy,2,Pit,1,0,292.19,0.491,"[(105.0, 269.0), (130.2, 275.3), (170.2, 275.0), (210.2, 275.9), (250.2, 275.3), (290.2, 275.0), (330.2, 275.9), (370.2, 275.3), (410.2, 275.0), (450.2, 275.9), (490.2, 283.2), (530.2, 310.3), (570.2, 356.3), (610.2, 421.0), (650.2, 504.7)]",0,1.9
experienced,meatboy,2,Pit,0,0,292.19,0.491,"[(105.0, 269.0), (130.2, 275.3), (170.2, 275.0), (210.2, 275.9), (250.2, 275.3), (290.2, 275.0), (330.2, 275.9), (370.2, 275.3), (410.2, 275.0), (450.2, 275.9), (490.2, 283.2), (530.2, 310.3), (570.2, 356.3), (610.2, 421.0), (650.2, 504.7)]",0,1.9
experienced,meatboy,2,Pit,1,0,214.97,0.462,"[(105.0, 269.0), (130.2, 275.3), (170.2, 275.0), (210.2, 275.9), (250.2, 275.3), (290.2, 275.0), (330.2, 275.9), (366.9, 263.5), (394.6, 258.8), (416.9, 272.9), (425.5, 275.3), (433.8, 275.0), (441.8, 275.9), (451.2, 275.3), (479.6, 288.2), (503.5, 320.1), (540.9, 370.7), (580.9, 440.2), (620.9, 528.5)]",0,2.4
experienced,meatboy,2,Stuck,0,0,-1.76,0.072,"[(105.0, 269.0), (103.6, 275.3), (99.8, 275.0), (96.0, 275.9), (96.3, 275.3), (96.9, 275.0), (94.8, 275.9), (96.6, 275.3), (97.1, 275.0), (95.0, 275.9), (96.8, 275.3), (94.7, 275.0), (96.4, 275.9), (97.0, 275.3), (94.9, 275.0), (96.7, 275.9), (94.6, 275.3), (96.3, 275.0), (96.9, 275.9), (94.8, 275.3), (96.6, 275.0), (97.1, 275.9), (95.0, 275.3), (96.8, 275.0), (94.7, 275.9), (96.4, 275.3), (97.0, 275.0), (94.9, 275.9), (96.7, 275.3), (94.6, 275.0), (96.3, 275.9), (96.9, 275.3), (94.8, 275.0), (96.6, 275.9), (97.1, 275.3), (95.0, 275.0), (96.8, 275.9), (94.7, 275.3)]",0,5.02
experienced,meatboy,2,Pit,0,0,292.19,0.491,"[(105.0, 269.0), (130.2, 275.3), (170.2, 275.0), (210.2, 275.9), (250.2, 275.3), (290.2, 275.0), (330.2, 275.9), (370.2, 275.3), (410.2, 275.0), (450.2, 275.9), (490.2, 283.2), (530.2, 310.3), (570.2, 356.3), (610.2, 421.0), (650.2, 504.7)]",0,1.9
