persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
experienced,meatboy,6,Stuck,0,0,4.49,0.075,"[(73.0, 461.0), (93.8, 467.3), (95.5, 467.0), (95.5, 467.9), (95.5, 467.3), (95.5, 467.0), (95.5, 467.9), (95.5, 467.3), (95.5, 467.0), (95.5, 467.9), (95.5, 467.3), (95.5, 467.0), (95.5, 467.9), (95.5, 467.3), (95.5, 467.0), (95.5, 467.9), (95.5, 467.3), (95.5, 467.0), (95.5, 467.9), (95.5, 467.3), (95.5, 467.0), (95.5, 467.9), (95.5, 467.3), (95.5, 467.0), (95.5, 467.9), (95.5, 467.3), (95.5, 467.0), (95.5, 467.9), (95.5, 467.3), (95.5, 467.0), (95.5, 467.9), (95.5, 467.3), (95.5, 467.0), (95.5, 467.9), (95.5, 467.3), (95.5, 467.0), (95.5, 467.9), (95.5, 467.3)]",0,5.02
experienced,meatboy,6,Stuck,0,0,-12.98,0.006,"[(73.0, 461.0), (47.8, 467.3), (27.2, 467.0), (17.7, 467.9), (11.3, 467.3), (4.8, 467.0), (-1.6, 467.9), (-8.1, 467.3), (-3.2, 467.0), (1.9, 467.9), (7.1, 467.3), (7.8, 467.0), (7.2, 467.9), (6.5, 467.3), (5.8, 467.0), (5.2, 467.9), (4.5, 467.3), (3.8, 467.0), (3.2, 467.9), (2.5, 467.3), (1.8, 467.0), (1.2, 467.9), (0.5, 467.3), (-0.2, 467.0), (-0.8, 467.9), (-1.5, 467.3), (-2.2, 467.0), (-2.8, 467.9), (-3.5, 467.3), (-4.2, 467.0), (-4.8, 467.9), (-5.5, 467.3), (-6.2, 467.0), (-6.8, 467.9), (-3.2, 467.3), (1.9, 467.0), (7.1, 467.9), (9.3, 467.3)]",0,5.02
experienced,meatboy,6,Pit,3,0,-159.63,0.0,"[(73.0, 461.0), (98.2, 452.1), (138.2, 423.5), (178.2, 425.9), (167.8, 447.1), (127.8, 444.8), (87.8, 398.4), (47.8, 370.9), (7.8, 362.3), (-32.2, 372.5), (-72.2, 401.5), (-112.2, 449.4), (-152.2, 516.2), (-192.2, 601.7)]",0,1.82
experienced,meatboy,6,Saw,1,0,276.19,0.463,"[(73.0, 461.0), (75.2, 467.3), (108.2, 467.0), (148.2, 467.9), (188.2, 467.3), (228.2, 467.0), (268.2, 467.9), (308.2, 467.3), (348.2, 467.0), (388.2, 467.9), (428.2, 467.3), (468.2, 467.0), (508.2, 467.9), (548.2, 467.3), (588.2, 467.0)]",0,1.88
experienced,meatboy,6,Saw,1,0,55.6,0.462,"[(73.0, 461.0), (93.7, 467.3), (115.2, 467.0), (135.0, 467.9), (150.3, 467.3), (156.8, 467.0), (163.2, 467.9), (169.7, 467.3), (176.1, 467.0), (182.6, 467.9), (189.0, 467.3), (195.4, 467.0), (201.9, 467.9), (208.3, 467.3), (214.8, 467.0), (221.2, 467.9), (227.7, 467.3), (234.1, 467.0), (240.6, 467.9), (247.0, 467.3), (253.4, 467.0), (259.9, 467.9), (266.3, 467.3), (272.8, 467.0), (279.2, 467.9), (285.7, 467.3), (295.2, 467.0), (302.6, 467.9), (308.6, 467.3), (314.6, 467.0), (320.6, 467.9), (326.6, 467.3), (332.6, 467.0), (338.6, 467.9), (344.6, 467.3), (350.6, 467.0), (356.6, 467.9), (362.6, 467.3), (368.6, 467.0), (374.6, 467.9), (380.6, 467.3), (386.6, 467.0), (392.6, 467.9), (398.6, 467.3), (404.6, 467.0), (410.6, 467.9), (416.6, 467.3), (422.6, 467.0), (428.6, 467.9), (434.6, 467.3), (440.6, 467.0), (446.6, 467.9), (452.6, 467.3), (458.6, 467.0), (464.6, 467.9), (470.6, 467.3), (476.6, 467.0), (482.6, 467.9), (488.6, 467.3), (494.6, 467.0), (500.6, 467.9), (506.6, 467.3), (512.6, 467.0), (521.4, 467.9), (530.6, 467.3), (540.1, 467.0), (547.4, 467.9), (559.2, 467.3), (569.2, 467.0), (580.1, 467.9), (591.9, 467.3)]",0,9.33
experienced,meatboy,6,Pit,2,0,-130.44,0.0,"[(73.0, 461.0), (48.8, 467.3), (33.9, 467.0), (28.9, 467.9), (24.1, 467.3), (21.2, 467.0), (18.3, 467.9), (15.4, 467.3), (12.6, 467.0), (9.7, 467.9), (5.3, 458.0), (-27.2, 450.9), (-62.2, 462.7), (-94.2, 493.4), (-133.8, 542.9), (-173.8, 611.2)]",0,2.08
experienced,meatboy,6,Saw,1,0,291.68,0.463,"[(73.0, 461.0), (98.2, 467.3), (138.2, 467.0), (178.2, 467.9), (218.2, 467.3), (258.2, 467.0), (298.2, 467.9), (338.2, 467.3), (378.2, 467.0), (418.2, 467.9), (458.2, 467.3), (498.2, 467.0), (538.2, 467.9), (578.2, 467.3)]",0,1.78
experienced,meatboy,6,Saw,0,0,276.19,0.463,"[(73.0, 461.0), (75.2, 467.3), (108.2, 467.0), (148.2, 467.9), (188.2, 467.3), (228.2, 467.0), (268.2, 467.9), (308.2, 467.3), (348.2, 467.0), (388.2, 467.9), (428.2, 467.3), (468.2, 467.0), (508.2, 467.9), (548.2, 467.3), (588.2, 467.0)]",0,1.88
experienced,meatboy,6,Stuck,1,0,-11.32,0.013,"[(73.0, 461.0), (47.8, 467.3), (27.1, 467.0), (24.2, 467.9), (21.3, 467.3), (18.4, 467.0), (15.6, 467.9), (15.1, 467.3), (15.9, 467.0), (15.4, 467.9), (15.0, 467.3), (15.8, 467.0), (15.3, 467.9), (14.9, 467.3), (15.7, 467.0), (16.4, 467.9), (14.8, 467.3), (15.6, 467.0), (16.3, 467.9), (14.7, 467.3), (15.4, 467.0), (16.2, 467.9), (14.6, 467.3), (15.3, 467.0), (16.1, 467.9), (15.7, 467.3), (15.2, 467.0), (16.0, 467.9), (15.6, 467.3), (15.1, 467.0), (15.9, 467.9), (15.4, 467.3), (16.2, 467.0), (15.8, 467.9), (15.3, 467.3), (16.1, 467.0), (15.7, 467.9), (15.2, 467.3)]",0,5.02
experienced,meatboy,6,Saw,1,0,291.68,0.463,"[(73.0, 461.0), (98.2, 467.3), (138.2, 467.0), (178.2, 467.9), (218.2, 467.3), (258.2, 467.0), (298.2, 467.9), (338.2, 467.3), (378.2, 467.0), (418.2, 467.9), (458.2, 467.3), (498.2, 467.0), (538.2, 467.9), (578.2, 467.3)]",0,1.78
