persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
novice,meatboy,2,Stuck,1,0,0.0,0.078,"[(105.0, 269.0), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3)]",0,5.02
novice,meatboy,2,Stuck,1,0,-8.68,0.046,"[(105.0, 269.0), (94.2, 275.3), (84.1, 275.0), (78.4, 275.9), (70.6, 275.3), (61.6, 275.0), (61.4, 275.9), (61.4, 275.3), (61.4, 275.0), (61.4, 275.9), (61.4, 275.3), (61.4, 275.0), (61.4, 275.9), (61.4, 275.3), (61.4, 275.0), (61.4, 275.9), (61.4, 275.3), (61.4, 275.0), (61.4, 275.9), (61.4, 275.3), (61.4, 275.0), (61.4, 275.9), (61.4, 275.3), (61.4, 275.0), (61.4, 275.9), (61.4, 275.3), (61.4, 275.0), (61.4, 275.9), (61.4, 275.3), (61.4, 275.0), (61.4, 275.9), (61.4, 275.3), (61.4, 275.0), (61.4, 275.9), (61.4, 275.3), (61.4, 275.0), (61.4, 275.9), (61.4, 275.3)]",0,5.02
novice,meatboy,2,Stuck,1,0,0.0,0.078,"[(105.0, 269.0), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3)]",0,5.02
novice,meatboy,2,Stuck,1,0,44.18,0.275,"[(105.0, 269.0), (130.2, 275.3), (170.2, 275.0), (210.2, 275.9), (250.2, 275.3), (290.2, 275.0), (330.2, 275.9), (370.2, 275.3), (391.9, 275.0), (370.2, 275.9), (394.3, 275.3), (370.4, 275.0), (390.2, 275.9), (378.5, 275.3), (380.7, 275.0), (386.7, 275.9), (374.0, 275.3), (391.9, 275.0), (370.2, 275.9), (394.3, 275.3), (370.4, 275.0), (390.2, 275.9), (378.5, 275.3), (380.7, 275.0), (386.7, 275.9), (374.0, 275.3), (391.9, 275.0), (370.2, 275.9), (394.3, 275.3), (370.4, 275.0), (390.2, 275.9), (378.5, 275.3), (380.7, 275.0), (386.7, 275.9), (374.0, 275.3), (391.9, 275.0), (370.2, 275.9), (394.3, 275.3), (370.4, 275.0), (390.2, 275.9), (378.5, 275.3), (380.7, 275.0), (386.7, 275.9), (374.0, 275.3), (391.9, 275.0)]",0,5.98
novice,meatboy,2,Stuck,0,0,10.58,0.119,"[(105.0, 269.0), (130.2, 275.3), (168.2, 275.0), (163.1, 275.9), (161.2, 275.3), (159.1, 275.0), (161.1, 275.9), (159.2, 275.3), (157.1, 275.0), (169.7, 275.9), (162.9, 275.3), (160.8, 275.0), (162.8, 275.9), (160.9, 275.3), (158.8, 275.0), (160.8, 275.9), (158.9, 275.3), (170.8, 275.0), (164.4, 275.9), (162.6, 275.3), (160.4, 275.0), (162.4, 275.9), (160.6, 275.3), (158.4, 275.0), (160.4, 275.9), (165.3, 275.3), (162.1, 275.0), (164.1, 275.9), (162.2, 275.3), (160.1, 275.0), (162.1, 275.9), (160.2, 275.3), (158.1, 275.0), (160.1, 275.9), (165.0, 275.3), (161.8, 275.0), (163.8, 275.9), (161.9, 275.3), (159.8, 275.0), (161.8, 275.9)]",0,5.23
novice,meatboy,2,Stuck,1,0,0.0,0.078,"[(105.0, 269.0), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3)]",0,5.02
novice,meatboy,2,Stuck,1,0,0.0,0.078,"[(105.0, 269.0), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3)]",0,5.02
novice,meatboy,2,Stuck,0,0,44.18,0.275,"[(105.0, 269.0), (130.2, 275.3), (170.2, 275.0), (210.2, 275.9), (250.2, 275.3), (290.2, 275.0), (330.2, 275.9), (370.2, 275.3), (391.9, 275.0), (370.2, 275.9), (394.3, 275.3), (370.4, 275.0), (390.2, 275.9), (378.5, 275.3), (380.7, 275.0), (386.7, 275.9), (374.0, 275.3), (391.9, 275.0), (370.2, 275.9), (394.3, 275.3), (370.4, 275.0), (390.2, 275.9), (378.5, 275.3), (380.7, 275.0), (386.7, 275.9), (374.0, 275.3), (391.9, 275.0), (370.2, 275.9), (394.3, 275.3), (370.4, 275.0), (390.2, 275.9), (378.5, 275.3), (380.7, 275.0), (386.7, 275.9), (374.0, 275.3), (391.9, 275.0), (370.2, 275.9), (394.3, 275.3), (370.4, 275.0), (390.2, 275.9), (378.5, 275.3), (380.7, 275.0), (386.7, 275.9), (374.0, 275.3), (391.9, 275.0)]",0,5.98
novice,meatboy,2,Stuck,1,0,-12.14,0.033,"[(105.0, 269.0), (79.8, 275.3), (39.8, 275.0), (33.3, 275.9), (34.0, 275.3), (23.9, 275.0), (45.7, 275.9), (21.5, 275.3), (45.4, 275.0), (25.7, 275.9), (37.3, 275.3), (35.1, 275.0), (29.2, 275.9), (41.8, 275.3), (23.9, 275.0), (45.7, 275.9), (21.5, 275.3), (45.4, 275.0), (25.7, 275.9), (37.3, 275.3), (35.1, 275.0), (29.2, 275.9), (41.8, 275.3), (23.9, 275.0), (45.7, 275.9), (21.5, 275.3), (45.4, 275.0), (25.7, 275.9), (37.3, 275.3), (35.1, 275.0), (29.2, 275.9), (41.8, 275.3), (23.9, 275.0), (45.7, 275.9), (21.5, 275.3), (45.4, 275.0), (25.7, 275.9), (37.3, 275.3)]",0,5.02
novice,meatboy,2,Stuck,0,0,0.0,0.078,"[(105.0, 269.0), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3), (105.0, 275.0), (105.0, 275.9), (105.0, 275.3)]",0,5.02
