persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
speedrunner,meatboy,8,Stuck,1,0,-0.8,0.143,"[(105.0, 749.0), (101.0, 755.3), (101.0, 755.0), (101.0, 755.9), (101.0, 755.3), (101.0, 755.0), (101.0, 755.9), (101.0, 755.3), (101.0, 755.0), (101.0, 755.9), (101.0, 755.3), (101.0, 755.0), (101.0, 755.9), (101.0, 755.3), (101.0, 755.0), (101.0, 755.9), (101.0, 755.3), (101.0, 755.0), (101.0, 755.9), (101.0, 755.3), (101.0, 755.0), (101.0, 755.9), (101.0, 755.3), (101.0, 755.0), (101.0, 755.9), (101.0, 755.3), (101.0, 755.0), (101.0, 755.9), (101.0, 755.3), (101.0, 755.0), (101.0, 755.9), (101.0, 755.3), (101.0, 755.0), (101.0, 755.9), (101.0, 755.3), (101.0, 755.0), (101.0, 755.9), (101.0, 755.3)]",0,5.02
speedrunner,meatboy,8,Stuck,0,0,-5.58,0.104,"[(105.0, 749.0), (101.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3)]",0,5.02
speedrunner,meatboy,8,Saw,0,0,566.21,0.927,"[(105.0, 749.0), (152.3, 755.3), (232.3, 755.0), (312.3, 755.9), (392.3, 755.3), (472.3, 755.0), (552.3, 755.9), (632.3, 757.9)]",0,0.97
speedrunner,meatboy,8,Stuck,0,0,-6.38,0.104,"[(105.0, 749.0), (97.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3)]",0,5.02
speedrunner,meatboy,8,Saw,4,0,241.21,0.927,"[(105.0, 749.0), (152.3, 745.3), (204.7, 728.7), (130.0, 664.3), (127.3, 618.8), (198.0, 592.9), (153.0, 557.9), (118.3, 573.2), (168.0, 607.4), (215.0, 653.1), (215.0, 692.8), (223.0, 734.3), (292.3, 755.3), (372.3, 755.0), (452.3, 755.9), (532.3, 755.3), (612.3, 755.0)]",0,2.2
speedrunner,meatboy,8,Stuck,0,0,-6.12,0.104,"[(105.0, 749.0), (100.3, 755.3), (97.4, 755.0), (94.5, 755.9), (91.6, 755.3), (88.7, 755.0), (85.8, 755.9), (82.9, 755.3), (80.1, 755.0), (77.2, 755.9), (74.3, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3)]",0,5.02
speedrunner,meatboy,8,Stuck,0,0,13.5,0.25,"[(105.0, 749.0), (105.0, 755.3), (162.5, 755.0), (164.7, 755.9), (159.2, 755.3), (153.6, 755.0), (148.1, 755.9), (142.5, 755.3), (140.2, 755.0), (147.8, 755.9), (143.2, 755.3), (144.4, 755.0), (145.6, 755.9), (146.7, 755.3), (147.8, 755.0), (148.9, 755.9), (150.0, 755.3), (151.1, 755.0), (152.2, 755.9), (153.3, 755.3), (154.4, 755.0), (155.6, 755.9), (156.7, 755.3), (157.8, 755.0), (158.9, 755.9), (160.0, 755.3), (161.1, 755.0), (162.2, 755.9), (163.3, 755.3), (164.4, 755.0), (165.6, 755.9), (166.7, 755.3), (167.8, 755.0), (168.9, 755.9), (170.0, 755.3), (171.1, 755.0), (172.2, 755.9), (173.3, 755.3), (174.4, 755.0), (175.6, 755.9)]",0,5.27
speedrunner,meatboy,8,Saw,1,0,566.21,0.927,"[(105.0, 749.0), (152.3, 755.3), (232.3, 755.0), (312.3, 755.9), (392.3, 755.3), (472.3, 755.0), (552.3, 755.9), (632.3, 757.9)]",0,0.97
speedrunner,meatboy,8,Stuck,2,0,-3.98,0.104,"[(105.0, 749.0), (98.4, 755.3), (97.4, 755.0), (102.5, 755.9), (107.6, 755.3), (112.7, 755.0), (117.8, 755.9), (122.9, 755.3), (128.0, 755.0), (133.1, 755.9), (138.3, 755.3), (143.4, 755.0), (148.5, 755.9), (153.6, 755.3), (158.7, 755.0), (163.8, 755.9), (168.9, 755.3), (174.0, 755.0), (179.1, 755.9), (184.2, 755.3), (152.7, 701.9), (89.7, 667.3), (73.0, 651.6), (73.0, 654.8), (73.0, 676.7), (73.0, 714.6), (73.0, 754.3), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9), (73.0, 755.3), (73.0, 755.0), (73.0, 755.9)]",0,7.58
speedrunner,meatboy,8,Stuck,1,0,0.0,0.149,"[(105.0, 749.0), (105.0, 755.3), (105.0, 755.0), (105.0, 755.9), (105.0, 755.3), (105.0, 755.0), (105.0, 755.9), (105.0, 755.3), (105.0, 755.0), (105.0, 755.9), (105.0, 755.3), (105.0, 755.0), (105.0, 755.9), (105.0, 755.3), (105.0, 755.0), (105.0, 755.9), (105.0, 755.3), (105.0, 755.0), (105.0, 755.9), (105.0, 755.3), (105.0, 755.0), (105.0, 755.9), (105.0, 755.3), (105.0, 755.0), (105.0, 755.9), (105.0, 755.3), (105.0, 755.0), (105.0, 755.9), (105.0, 755.3), (105.0, 755.0), (105.0, 755.9), (105.0, 755.3), (105.0, 755.0), (105.0, 755.9), (105.0, 755.3), (105.0, 755.0), (105.0, 755.9), (105.0, 755.3)]",0,5.02
