persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
speedrunner,meatboy,4,Stuck,1,0,42.76,0.482,"[(169.0, 621.0), (216.3, 627.3), (296.3, 627.0), (373.3, 627.9), (401.3, 627.3), (401.3, 627.0), (401.3, 627.9), (401.3, 627.3), (401.3, 627.0), (401.3, 627.9), (401.3, 627.3), (401.3, 627.0), (401.3, 627.9), (401.3, 627.3), (401.3, 627.0), (401.3, 627.9), (401.3, 627.3), (401.3, 627.0), (401.3, 627.9), (401.3, 627.3), (401.3, 627.0), (401.3, 627.9), (401.3, 627.3), (401.3, 627.0), (401.3, 627.9), (401.3, 627.3), (401.3, 627.0), (401.3, 627.9), (401.3, 627.3), (401.3, 627.0), (401.3, 627.9), (401.3, 627.3), (401.3, 627.0), (401.3, 627.9), (401.3, 627.3), (401.3, 627.0), (401.3, 627.9), (401.3, 627.3), (401.3, 627.0), (401.3, 627.9), (401.3, 627.3)]",0,5.43
speedrunner,meatboy,4,Stuck,1,0,59.88,0.605,"[(169.0, 621.0), (216.3, 627.3), (296.3, 627.0), (376.3, 627.9), (456.3, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0)]",0,5.47
speedrunner,meatboy,4,Stuck,0,0,0.0,0.203,"[(169.0, 621.0), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3)]",0,5.02
speedrunner,meatboy,4,Stuck,0,0,59.88,0.605,"[(169.0, 621.0), (216.3, 627.3), (296.3, 627.0), (376.3, 627.9), (456.3, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0)]",0,5.47
speedrunner,meatboy,4,Stuck,68,0,23.04,0.447,"[(169.0, 621.0), (210.4, 612.1), (289.2, 595.7), (369.2, 602.8), (447.9, 627.0), (479.2, 610.0), (478.6, 617.1), (480.4, 620.7), (484.6, 620.7), (488.6, 620.7), (487.0, 620.8), (485.7, 614.4), (489.9, 612.1), (494.1, 627.0), (495.2, 617.6), (493.7, 627.0), (495.2, 610.1), (499.5, 617.2), (463.4, 612.1), (376.7, 607.4), (307.4, 621.6), (227.4, 627.0), (147.4, 627.9), (165.0, 627.3), (244.3, 591.7), (324.3, 570.7), (404.3, 575.5), (484.3, 599.0), (500.2, 622.9), (499.8, 618.2), (500.6, 622.9), (464.0, 604.3), (377.3, 599.6), (367.8, 613.8), (371.6, 627.0), (371.6, 627.9), (371.6, 627.3), (371.6, 627.0), (371.6, 627.9), (371.6, 627.3), (371.6, 627.0), (371.6, 627.9), (371.6, 627.3), (371.6, 627.0), (371.6, 627.9), (371.6, 627.3), (371.6, 627.0), (371.6, 627.9), (371.6, 627.3), (371.6, 627.0), (371.6, 627.9), (371.6, 627.3), (371.6, 627.0), (371.6, 627.9), (371.6, 627.3), (371.6, 627.0), (371.6, 627.9), (371.6, 627.3), (371.6, 627.0), (371.6, 627.9), (371.6, 627.3), (371.6, 627.0), (371.6, 627.9), (371.6, 627.3)]",0,8.43
speedrunner,meatboy,4,Stuck,0,0,0.0,0.203,"[(169.0, 621.0), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3), (169.0, 627.0), (169.0, 627.9), (169.0, 627.3)]",0,5.02
speedrunner,meatboy,4,Stuck,0,0,59.88,0.605,"[(169.0, 621.0), (216.3, 627.3), (296.3, 627.0), (376.3, 627.9), (456.3, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0), (503.0, 627.9), (503.0, 627.3), (503.0, 627.0)]",0,5.47
speedrunner,meatboy,4,Stuck,2,0,-5.58,0.165,"[(169.0, 621.0), (137.0, 623.1), (137.0, 618.4), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0)]",0,5.02
speedrunner,meatboy,4,Stuck,0,0,-5.58,0.165,"[(169.0, 621.0), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3), (137.0, 627.0), (137.0, 627.9), (137.0, 627.3)]",0,5.02
speedrunner,meatboy,4,Stuck,0,0,-1.71,0.193,"[(169.0, 621.0), (164.1, 627.3), (159.1, 627.0), (159.2, 627.9), (160.3, 627.3), (164.0, 627.0), (159.0, 627.9), (159.1, 627.3), (160.2, 627.0), (163.6, 627.9), (160.0, 627.3), (163.7, 627.0), (158.7, 627.9), (158.9, 627.3), (163.3, 627.0), (161.3, 627.9), (159.7, 627.3), (159.5, 627.0), (159.9, 627.9), (161.0, 627.3), (159.7, 627.0), (159.5, 627.9), (159.9, 627.3), (161.6, 627.0), (159.4, 627.9), (160.5, 627.3), (160.2, 627.0), (164.0, 627.9), (159.3, 627.3), (160.4, 627.0), (160.2, 627.9), (164.9, 627.3), (160.0, 627.0), (160.4, 627.9), (158.8, 627.3), (158.6, 627.0), (162.3, 627.9), (160.3, 627.3)]",0,5.02
