episode,step,action_id,action,level,x,y,vx,vy,score,reward,event,cause,lives,coins
1,1,"3,1,0",RIGHT+JUMP,Mario1-1a,3.01,13.02,0.29,0.84,0,0.0015,,,3,0
1,2,"0,1,0",IDLE+JUMP,Mario1-1a,3.01,12.17,0.0,-16.96,0,-0.0032,,,3,0
1,3,"4,0,0",SPRINT_R,Mario1-1a,3.03,11.49,0.62,-15.19,0,-0.0041,,,3,0
1,4,"4,0,0",SPRINT_R,Mario1-1a,3.07,10.89,1.23,-13.45,0,-0.0044,,,3,0
1,5,"4,0,0",SPRINT_R,Mario1-1a,3.15,10.37,1.85,-11.69,0,0.0006,,,3,0
1,6,"4,0,0",SPRINT_R,Mario1-1a,3.25,9.92,2.46,-9.92,0,-0.0043,,,3,0
1,7,"4,0,1",SPRINT_R+FIRE,Mario1-1a,3.38,9.56,3.08,-8.17,0,0.0007,,,3,0
1,8,"4,1,1",SPRINT_R+JUMP+FIRE,Mario1-1a,3.54,9.28,3.68,-6.65,0,0.0007,,,3,0
1,9,"4,1,1",SPRINT_R+JUMP+FIRE,Mario1-1a,3.73,9.06,4.32,-5.06,0,0.0007,,,3,0
1,10,"0,1,0",IDLE+JUMP,Mario1-1a,3.9,8.9,3.97,-3.49,0,-0.0041,,,3,0
1,11,"4,1,1",SPRINT_R+JUMP+FIRE,Mario1-1a,4.1,8.82,4.59,-1.93,0,0.0036,,,3,0
1,12,"4,1,0",SPRINT_R+JUMP,Mario1-1a,4.33,8.8,5.21,-0.37,0,0.0027,,,3,0
1,13,"0,1,0",IDLE+JUMP,Mario1-1a,4.54,8.85,4.88,1.16,0,0.0032,,,3,0
1,14,"0,1,0",IDLE+JUMP,Mario1-1a,4.74,9.02,4.54,3.88,0,0.0086,,,3,0
1,15,"2,1,0",SPRINT_L+JUMP,Mario1-1a,4.91,9.31,3.92,6.59,0,0.0035,,,3,0
1,16,"2,1,0",SPRINT_L+JUMP,Mario1-1a,5.05,9.72,3.3,9.34,0,0.0051,,,3,0
1,17,"2,1,0",SPRINT_L+JUMP,Mario1-1a,5.17,10.24,2.68,12.05,0,0.0081,,,3,0
1,18,"2,1,0",SPRINT_L+JUMP,Mario1-1a,5.26,10.85,2.06,14.76,0,0.003,,,3,0
1,19,"2,0,0",SPRINT_L,Mario1-1a,5.33,11.58,1.44,17.19,0,0.0078,,,3,0
1,20,"2,0,0",SPRINT_L,Mario1-1a,5.38,12.32,0.83,17.19,0,0.0073,,,3,0
1,21,"2,0,0",SPRINT_L,Mario1-1a,5.39,13.0,0.17,0.0,0,0.0042,,,3,0
1,22,"0,1,0",IDLE+JUMP,Mario1-1a,5.39,12.26,0.0,-17.21,0,-0.0033,,,3,0
