episode,step,action_id,action,level,x,y,vx,vy,score,reward,event,cause,lives,coins
1,1,"2,1,1",SPRINT_L+JUMP+FIRE,Mario1-1a,2.99,13.02,-0.28,0.8,0,0.0005,,,3,0
1,2,"3,1,1",RIGHT+JUMP+FIRE,Mario1-1a,3.14,12.16,2.85,-17.03,0,-0.0015,,,3,0
1,3,"2,1,1",SPRINT_L+JUMP+FIRE,Mario1-1a,3.24,11.47,2.22,-15.45,0,-0.0041,,,3,0
1,4,"2,1,1",SPRINT_L+JUMP+FIRE,Mario1-1a,3.32,10.86,1.61,-13.94,0,-0.0044,,,3,0
1,5,"3,1,1",RIGHT+JUMP+FIRE,Mario1-1a,3.41,10.3,2.22,-12.39,0,0.0006,,,3,0
1,6,"3,1,1",RIGHT+JUMP+FIRE,Mario1-1a,3.53,9.81,2.84,-10.81,0,-0.0043,,,3,0
1,7,"2,1,1",SPRINT_L+JUMP+FIRE,Mario1-1a,3.62,9.41,2.24,-9.29,0,0.0006,,,3,0
1,8,"2,1,1",SPRINT_L+JUMP+FIRE,Mario1-1a,3.69,9.07,1.61,-7.7,0,0.0006,,,3,0
1,9,"3,0,1",RIGHT+FIRE,Mario1-1a,3.79,8.81,2.25,-5.85,0,-0.0043,,,3,0
1,10,"3,0,1",RIGHT+FIRE,Mario1-1a,3.91,8.63,2.84,-4.13,0,0.0007,,,3,0
1,11,"3,1,1",RIGHT+JUMP+FIRE,Mario1-1a,4.07,8.52,3.46,-2.56,0,0.0029,,,3,0
1,12,"3,1,1",RIGHT+JUMP+FIRE,Mario1-1a,4.25,8.48,4.1,-0.94,0,0.0023,,,3,0
1,13,"3,1,1",RIGHT+JUMP+FIRE,Mario1-1a,4.45,8.5,4.7,0.58,0,0.003,,,3,0
1,14,"3,1,1",RIGHT+JUMP+FIRE,Mario1-1a,4.68,8.65,5.31,3.32,0,0.0036,,,3,0
1,15,"3,1,1",RIGHT+JUMP+FIRE,Mario1-1a,4.95,8.92,5.95,6.15,0,0.0037,,,3,0
1,16,"3,1,1",RIGHT+JUMP+FIRE,Mario1-1a,5.25,9.32,6.57,8.93,0,0.0103,,,3,0
1,17,"3,1,1",RIGHT+JUMP+FIRE,Mario1-1a,5.56,9.83,7.19,11.68,0,0.0035,,,3,0
1,18,"3,1,1",RIGHT+JUMP+FIRE,Mario1-1a,5.9,10.44,7.81,14.44,0,0.0084,,,3,0
1,19,"2,1,1",SPRINT_L+JUMP+FIRE,Mario1-1a,6.22,11.16,7.19,17.17,0,0.01,,,3,0
