episode,step,action_id,action,level,x,y,vx,vy,score,reward,event,cause,lives,coins
1,1,6,LEFT+JUMP,1,2.99,16.02,-0.31,0.79,0,0.0172,,,3,0
1,2,6,LEFT+JUMP,1,2.94,16.0,-1.09,0.0,0,0.0172,,,3,0
1,3,19,RUN+LEFT+JUMP+FIRE,1,2.85,15.54,-3.23,-16.23,0,0.0181,,,3,0
1,4,6,LEFT+JUMP,1,2.74,15.08,-3.7,-15.16,0,0.0181,,,3,0
1,5,6,LEFT+JUMP,1,2.62,14.69,-4.13,-14.17,0,0.0189,,,3,0
1,6,6,LEFT+JUMP,1,2.5,14.33,-4.56,-13.19,0,0.0189,,,3,0
1,7,6,LEFT+JUMP,1,2.36,13.98,-5.0,-12.18,0,0.02,,,3,0
1,8,12,RIGHT+FIRE,1,2.23,13.67,-4.56,-11.02,0,0.02,,,3,0
1,9,12,RIGHT+FIRE,1,2.11,13.39,-4.12,-9.88,0,0.02,,,3,0
1,10,12,RIGHT+FIRE,1,2.0,13.14,-3.66,-8.7,0,0.02,,,3,0
1,11,12,RIGHT+FIRE,1,1.91,12.92,-3.2,-7.5,0,0.0214,,,3,0
1,12,17,RUN+RIGHT+JUMP+FIRE,1,1.83,12.73,-2.65,-6.44,0,0.0214,,,3,0
1,13,17,RUN+RIGHT+JUMP+FIRE,1,1.77,12.58,-2.13,-5.45,0,0.0214,,,3,0
1,14,17,RUN+RIGHT+JUMP+FIRE,1,1.72,12.44,-1.55,-4.36,0,0.0214,,,3,0
1,15,17,RUN+RIGHT+JUMP+FIRE,1,1.69,12.34,-0.96,-3.23,0,0.0214,,,3,0
1,16,12,RIGHT+FIRE,1,1.68,12.28,-0.51,-2.07,0,0.0214,,,3,0
1,17,12,RIGHT+FIRE,1,1.68,12.25,-0.05,-0.87,0,0.0214,,,3,0
1,18,12,RIGHT+FIRE,1,1.69,12.27,0.46,0.48,0,0.0264,,,3,0
1,19,12,RIGHT+FIRE,1,1.72,12.35,0.91,2.71,0,0.0259,,,3,0
1,20,12,RIGHT+FIRE,1,1.76,12.52,1.41,5.22,0,0.0258,,,3,0
1,21,12,RIGHT+FIRE,1,1.82,12.74,1.88,7.53,0,0.0257,,,3,0
1,22,12,RIGHT+FIRE,1,1.89,13.04,2.35,9.88,0,0.0246,,,3,0
1,23,19,RUN+LEFT+JUMP+FIRE,1,1.94,13.37,1.83,12.04,0,0.0244,,,3,0
1,24,12,RIGHT+FIRE,1,2.0,13.77,2.27,14.23,0,0.0241,,,3,0
1,25,19,RUN+LEFT+JUMP+FIRE,1,2.05,14.24,1.73,16.47,0,0.0228,,,3,0
1,26,19,RUN+LEFT+JUMP+FIRE,1,2.09,14.71,1.21,17.19,0,0.0227,,,3,0
1,27,19,RUN+LEFT+JUMP+FIRE,1,2.11,15.21,0.67,17.19,0,0.0217,,,3,0
1,28,3,JUMP,1,2.12,15.7,0.45,17.19,0,0.0217,,,3,0
1,29,3,JUMP,1,2.13,16.0,0.23,0.0,0,0.0172,,,3,0
1,30,19,RUN+LEFT+JUMP+FIRE,1,2.08,15.54,-1.52,-16.25,0,0.0181,,,3,0
1,31,6,LEFT+JUMP,1,2.03,15.13,-1.94,-15.29,0,0.0181,,,3,0
1,32,6,LEFT+JUMP,1,1.97,14.76,-2.35,-14.35,0,0.0195,,,3,0
1,33,17,RUN+RIGHT+JUMP+FIRE,1,1.92,14.37,-1.81,-13.33,0,0.0195,,,3,0
1,34,17,RUN+RIGHT+JUMP+FIRE,1,1.88,14.01,-1.26,-12.27,0,0.0195,,,3,0
1,35,17,RUN+RIGHT+JUMP+FIRE,1,1.86,13.7,-0.74,-11.29,0,0.0204,,,3,0
1,36,17,RUN+RIGHT+JUMP+FIRE,1,1.85,13.42,-0.23,-10.3,0,0.0204,,,3,0
1,37,12,RIGHT+FIRE,1,1.86,13.16,0.22,-9.14,0,0.0204,,,3,0
1,38,12,RIGHT+FIRE,1,1.88,12.92,0.68,-7.94,0,0.0214,,,3,0
1,39,12,RIGHT+FIRE,1,1.91,12.73,1.11,-6.82,0,0.0214,,,3,0
1,40,12,RIGHT+FIRE,1,1.95,12.58,1.54,-5.7,0,0.0214,,,3,0
1,41,12,RIGHT+FIRE,1,2.01,12.45,1.96,-4.62,0,0.0209,,,3,0
1,42,12,RIGHT+FIRE,1,2.08,12.35,2.42,-3.42,0,0.0209,,,3,0
1,43,19,RUN+LEFT+JUMP+FIRE,1,2.13,12.28,1.87,-2.36,0,0.0209,,,3,0
1,44,12,RIGHT+FIRE,1,2.2,12.25,2.32,-1.17,0,0.0225,,,3,0
1,45,19,RUN+LEFT+JUMP+FIRE,1,2.25,12.24,1.75,-0.08,0,0.0243,,,3,0
1,46,12,RIGHT+FIRE,1,2.33,12.28,2.25,1.22,0,0.0257,,,3,0
1,47,19,RUN+LEFT+JUMP+FIRE,1,2.38,12.4,1.65,3.73,0,0.0256,,,3,0
1,48,12,RIGHT+FIRE,1,2.44,12.59,2.12,6.08,0,0.0254,,,3,0
1,49,12,RIGHT+FIRE,1,2.52,12.84,2.58,8.4,0,0.0253,,,3,0
1,50,19,RUN+LEFT+JUMP+FIRE,1,2.59,13.23,1.91,11.19,0,0.0241,,,3,0
1,51,19,RUN+LEFT+JUMP+FIRE,1,2.63,13.65,1.34,13.57,0,0.0239,,,3,0
1,52,19,RUN+LEFT+JUMP+FIRE,1,2.65,14.09,0.81,15.77,0,0.0226,,,3,0
1,53,3,JUMP,1,2.67,14.6,0.58,17.19,0,0.0226,,,3,0
1,54,3,JUMP,1,2.68,15.09,0.36,17.19,0,0.0217,,,3,0
1,55,3,JUMP,1,2.68,15.6,0.13,17.19,0,0.0216,,,3,0
1,56,3,JUMP,1,2.68,16.0,0.0,0.0,0,0.0172,,,3,0
1,57,19,RUN+LEFT+JUMP+FIRE,1,2.62,15.52,-2.22,-16.2,0,0.0181,,,3,0
1,58,6,LEFT+JUMP,1,2.54,15.06,-2.69,-15.12,0,0.0181,,,3,0
1,59,6,LEFT+JUMP,1,2.44,14.64,-3.16,-14.04,0,0.0189,,,3,0
1,60,6,LEFT+JUMP,1,2.33,14.25,-3.63,-12.97,0,0.0189,,,3,0
1,61,6,LEFT+JUMP,1,2.22,13.91,-4.08,-11.95,0,0.02,,,3,0
1,62,12,RIGHT+FIRE,1,2.11,13.58,-3.6,-10.7,0,0.02,,,3,0
1,63,12,RIGHT+FIRE,1,2.01,13.3,-3.14,-9.52,0,0.02,,,3,0
1,64,12,RIGHT+FIRE,1,1.93,13.03,-2.62,-8.15,0,0.0204,,,3,0
1,65,17,RUN+RIGHT+JUMP+FIRE,1,1.87,12.83,-2.08,-7.13,0,0.0214,,,3,0
1,66,17,RUN+RIGHT+JUMP+FIRE,1,1.82,12.64,-1.51,-6.04,0,0.0214,,,3,0
