episode,step,action_id,action,level,x,y,vx,vy,score,reward,event,cause,lives,coins
1,1,18,RUN+LEFT+FIRE,1,2.99,16.01,-0.32,0.69,0,0.0172,,,3,0
1,2,18,RUN+LEFT+FIRE,1,2.93,16.0,-1.26,0.0,0,0.0172,,,3,0
1,3,18,RUN+LEFT+FIRE,1,2.74,16.0,-4.49,0.0,0,0.0172,,,3,0
1,4,8,RUN+LEFT,1,2.4,16.0,-7.75,0.0,0,0.0172,,,3,0
1,5,8,RUN+LEFT,1,1.95,16.0,-10.87,0.0,0,0.0178,,,3,0
1,6,8,RUN+LEFT,1,1.36,16.0,-14.03,0.0,0,0.0178,,,3,0
1,7,8,RUN+LEFT,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,8,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,9,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,10,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,11,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,12,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,13,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,14,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,15,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,16,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,17,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,18,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,19,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,20,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,21,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,22,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,23,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,24,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,25,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,26,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,27,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,28,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,29,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,30,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,31,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,32,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,33,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,34,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,35,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,36,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,37,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,38,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,39,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,40,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,41,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,42,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,43,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,44,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,45,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,46,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,47,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,48,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0158,,,3,0
1,49,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,50,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,51,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,52,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,53,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,54,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,55,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,56,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,57,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,58,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,59,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,60,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,61,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,62,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,63,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,64,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,65,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,66,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,67,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,68,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,69,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,70,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,71,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,72,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,73,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,74,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,75,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,76,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,77,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
1,78,18,RUN+LEFT+FIRE,1,1.0,16.0,0.0,0.0,0,0.0178,,,3,0
