episode,step,action_id,action,level,x,y,vx,vy,score,reward,event,cause,lives,coins
1,1,13,JUMP+FIRE,1,3.0,16.01,0.0,0.73,0,0.0167,,,3,0
1,2,13,JUMP+FIRE,1,3.0,16.0,0.0,0.0,0,0.0167,,,3,0
1,3,13,JUMP+FIRE,1,3.0,15.32,0.0,-15.63,0,0.0175,,,3,0
1,4,13,JUMP+FIRE,1,3.0,14.68,0.0,-14.05,0,0.0186,,,3,0
1,5,13,JUMP+FIRE,1,3.0,14.13,0.0,-12.53,0,0.0186,,,3,0
1,6,13,JUMP+FIRE,1,3.0,13.66,0.0,-11.06,0,0.0195,,,3,0
1,7,13,JUMP+FIRE,1,3.0,13.25,0.0,-9.52,0,0.0195,,,3,0
1,8,13,JUMP+FIRE,1,3.0,12.91,0.0,-7.99,0,0.0204,,,3,0
1,9,13,JUMP+FIRE,1,3.0,12.63,0.0,-6.43,0,0.0204,,,3,0
1,10,13,JUMP+FIRE,1,3.0,12.41,0.0,-4.83,0,0.0204,,,3,0
1,11,13,JUMP+FIRE,1,3.0,12.27,0.0,-3.26,0,0.0204,,,3,0
1,12,17,RUN+RIGHT+JUMP+FIRE,1,3.04,12.2,0.85,-1.65,0,0.0204,,,3,0
1,13,13,JUMP+FIRE,1,3.06,12.19,0.51,-0.11,0,0.0231,,,3,0
1,14,13,JUMP+FIRE,1,3.07,12.25,0.18,1.42,0,0.0243,,,3,0
1,15,7,RUN+RIGHT+JUMP,1,3.11,12.45,0.99,4.61,0,0.0246,,,3,0
1,16,7,RUN+RIGHT+JUMP,1,3.19,12.8,1.8,7.97,0,0.0246,,,3,0
1,17,13,JUMP+FIRE,1,3.25,13.28,1.47,11.3,0,0.0234,,,3,0
1,18,13,JUMP+FIRE,1,3.3,13.9,1.14,14.63,0,0.0233,,,3,0
1,19,13,JUMP+FIRE,1,3.34,14.64,0.79,17.19,0,0.0223,,,3,0
1,20,13,JUMP+FIRE,1,3.36,15.42,0.44,17.19,10,0.0712,,,3,1
1,21,13,JUMP+FIRE,1,3.37,16.0,0.09,0.0,10,0.0167,,,3,1
1,22,13,JUMP+FIRE,1,3.37,15.31,0.0,-15.61,10,0.0175,,,3,1
1,23,13,JUMP+FIRE,1,3.37,14.68,0.0,-14.04,10,0.0186,,,3,1
1,24,13,JUMP+FIRE,1,3.37,14.1,0.0,-12.44,10,0.0186,,,3,1
1,25,13,JUMP+FIRE,1,3.37,13.61,0.0,-10.88,10,0.0195,,,3,1
1,26,13,JUMP+FIRE,1,3.37,13.21,0.0,-9.36,10,0.0195,,,3,1
1,27,13,JUMP+FIRE,1,3.37,12.87,0.0,-7.77,10,0.0204,,,3,1
1,28,13,JUMP+FIRE,1,3.37,12.59,0.0,-6.19,10,0.0204,,,3,1
1,29,13,JUMP+FIRE,1,3.37,12.39,0.0,-4.65,10,0.0204,,,3,1
1,30,17,RUN+RIGHT+JUMP+FIRE,1,3.41,12.26,0.85,-3.04,10,0.0204,,,3,1
1,31,13,JUMP+FIRE,1,3.43,12.19,0.5,-1.46,10,0.0204,,,3,1
1,32,17,RUN+RIGHT+JUMP+FIRE,1,3.49,12.19,1.3,0.06,10,0.0241,,,3,1
1,33,13,JUMP+FIRE,1,3.53,12.26,0.96,1.61,10,0.0252,,,3,1
1,34,7,RUN+RIGHT+JUMP,1,3.6,12.47,1.78,4.81,10,0.0249,,,3,1
1,35,13,JUMP+FIRE,1,3.67,12.83,1.44,8.17,10,0.0245,,,3,1
1,36,7,RUN+RIGHT+JUMP,1,3.76,13.32,2.24,11.5,10,0.0236,,,3,1
1,37,13,JUMP+FIRE,1,3.85,13.94,1.89,14.98,10,0.0234,,,3,1
1,38,13,JUMP+FIRE,1,3.92,14.66,1.56,17.19,10,0.0224,,,3,1
1,39,13,JUMP+FIRE,1,3.97,15.38,1.23,17.19,10,0.0213,,,3,1
1,40,13,JUMP+FIRE,1,4.02,16.0,0.9,0.0,10,0.0212,,,3,1
1,41,9,RUN+LEFT+JUMP,1,3.94,15.33,-1.76,-15.73,10,0.0175,,,3,1
1,42,13,JUMP+FIRE,1,3.87,14.69,-1.42,-14.16,10,0.0186,,,3,1
1,43,13,JUMP+FIRE,1,3.82,14.13,-1.09,-12.64,10,0.0186,,,3,1
1,44,13,JUMP+FIRE,1,3.79,13.66,-0.76,-11.15,10,0.0195,,,3,1
1,45,13,JUMP+FIRE,1,3.77,13.26,-0.44,-9.68,10,0.0195,,,3,1
1,46,13,JUMP+FIRE,1,3.77,12.92,-0.12,-8.2,10,0.0204,,,3,1
1,47,13,JUMP+FIRE,1,3.77,12.64,0.0,-6.69,10,0.0204,,,3,1
1,48,13,JUMP+FIRE,1,3.77,12.41,0.0,-5.15,10,0.0204,,,3,1
1,49,17,RUN+RIGHT+JUMP+FIRE,1,3.8,12.26,0.79,-3.65,10,0.0204,,,3,1
1,50,13,JUMP+FIRE,1,3.82,12.17,0.45,-2.11,10,0.0204,,,3,1
1,51,17,RUN+RIGHT+JUMP+FIRE,1,3.87,12.14,1.26,-0.57,10,0.0222,,,3,1
1,52,17,RUN+RIGHT+JUMP+FIRE,1,3.97,12.19,2.09,1.01,10,0.0251,,,3,1
1,53,13,JUMP+FIRE,1,4.04,12.36,1.75,4.12,10,0.0245,,,3,1
1,54,13,JUMP+FIRE,1,4.1,12.68,1.43,7.41,10,0.024,,,3,1
1,55,13,JUMP+FIRE,1,4.15,13.15,1.08,10.81,10,0.0228,,,3,1
1,56,13,JUMP+FIRE,1,4.18,13.73,0.76,14.06,10,0.0227,,,3,1
1,57,13,JUMP+FIRE,1,4.2,14.44,0.42,17.19,10,0.0217,,,3,1
1,58,13,JUMP+FIRE,1,4.21,15.2,0.08,17.19,10,0.0207,,,3,1
1,59,13,JUMP+FIRE,1,4.21,15.94,0.0,17.19,10,0.0207,,,3,1
1,60,13,JUMP+FIRE,1,4.21,15.66,0.0,-16.44,10,0.0172,,,3,1
1,61,9,RUN+LEFT+JUMP,1,4.18,15.01,-0.79,-14.94,10,0.0172,,,3,1
1,62,9,RUN+LEFT+JUMP,1,4.12,14.41,-1.61,-13.38,10,0.018,,,3,1
1,63,13,JUMP+FIRE,1,4.06,13.87,-1.26,-11.79,10,0.019,,,3,1
1,64,13,JUMP+FIRE,1,4.02,13.45,-0.94,-10.32,10,0.019,,,3,1
1,65,13,JUMP+FIRE,1,4.0,13.08,-0.61,-8.84,10,0.0195,,,3,1
1,66,13,JUMP+FIRE,1,3.99,12.77,-0.28,-7.31,10,0.0204,,,3,1
1,67,17,RUN+RIGHT+JUMP+FIRE,1,4.01,12.53,0.48,-5.86,10,0.0199,,,3,1
1,68,13,JUMP+FIRE,1,4.01,12.34,0.14,-4.32,10,0.0199,,,3,1
1,69,13,JUMP+FIRE,1,4.01,12.23,0.0,-2.86,10,0.0199,,,3,1
1,70,13,JUMP+FIRE,1,4.01,12.17,0.0,-1.37,10,0.0199,,,3,1
1,71,13,JUMP+FIRE,1,4.01,12.18,0.0,0.15,10,0.0199,,,3,1
1,72,13,JUMP+FIRE,1,4.01,12.25,0.0,1.75,10,0.0234,,,3,1
1,73,13,JUMP+FIRE,1,4.01,12.48,0.0,5.19,10,0.0234,,,3,1
1,74,13,JUMP+FIRE,1,4.01,12.88,0.0,8.71,10,0.0234,,,3,1
1,75,17,RUN+RIGHT+JUMP+FIRE,1,4.05,13.43,0.85,12.24,10,0.0227,,,3,1
1,76,13,JUMP+FIRE,1,4.08,14.09,0.5,15.72,10,0.0217,,,3,1
1,77,13,JUMP+FIRE,1,4.09,14.82,0.16,17.19,10,0.0216,,,3,1
1,78,13,JUMP+FIRE,1,4.09,15.56,0.0,17.19,10,0.0207,,,3,1
1,79,13,JUMP+FIRE,1,4.09,16.0,0.0,0.0,10,0.0162,,,3,1
1,80,9,RUN+LEFT+JUMP,1,3.95,15.32,-3.23,-15.72,10,0.0175,,,3,1
1,81,13,JUMP+FIRE,1,3.82,14.7,-2.89,-14.18,10,0.0186,,,3,1
1,82,13,JUMP+FIRE,1,3.7,14.12,-2.55,-12.6,10,0.0186,,,3,1
1,83,13,JUMP+FIRE,1,3.61,13.64,-2.22,-11.08,10,0.0195,,,3,1
1,84,17,RUN+RIGHT+JUMP+FIRE,1,3.54,13.22,-1.4,-9.52,10,0.0195,,,3,1
1,85,17,RUN+RIGHT+JUMP+FIRE,1,3.52,12.87,-0.57,-7.94,10,0.0204,,,3,1
1,86,17,RUN+RIGHT+JUMP+FIRE,1,3.53,12.58,0.28,-6.31,10,0.0204,,,3,1
1,87,17,RUN+RIGHT+JUMP+FIRE,1,3.58,12.37,1.1,-4.76,10,0.0184,,,3,1
1,88,13,JUMP+FIRE,1,3.61,12.23,0.75,-3.16,10,0.0204,,,3,1
1,89,17,RUN+RIGHT+JUMP+FIRE,1,3.68,12.16,1.53,-1.68,10,0.0204,,,3,1
1,90,17,RUN+RIGHT+JUMP+FIRE,1,3.77,12.16,2.31,-0.19,10,0.0236,,,3,1
1,91,13,JUMP+FIRE,1,3.86,12.22,1.97,1.38,10,0.0253,,,3,1
1,92,13,JUMP+FIRE,1,3.93,12.4,1.64,4.39,10,0.0249,,,3,1
1,93,2,RIGHT,1,4.03,12.73,2.31,7.72,10,0.0243,,,3,1
1,94,13,JUMP+FIRE,1,4.11,13.21,1.97,11.12,10,0.0231,,,3,1
1,95,13,JUMP+FIRE,1,4.18,13.8,1.65,14.33,10,0.0229,,,3,1
1,96,13,JUMP+FIRE,1,4.24,14.48,1.33,17.19,10,0.0218,,,3,1
1,97,13,JUMP+FIRE,1,4.28,15.23,0.99,17.19,10,0.0209,,,3,1
1,98,13,JUMP+FIRE,1,4.31,15.94,0.66,17.19,10,0.0208,,,3,1
1,99,13,JUMP+FIRE,1,4.33,15.66,0.0,-16.45,10,0.0172,,,3,1
1,100,9,RUN+LEFT+JUMP,1,4.3,14.98,-0.84,-14.86,10,0.018,,,3,1
1,101,13,JUMP+FIRE,1,4.27,14.42,-0.52,-13.39,10,0.018,,,3,1
1,102,13,JUMP+FIRE,1,4.26,13.9,-0.18,-11.87,10,0.019,,,3,1
1,103,13,JUMP+FIRE,1,4.26,13.43,0.0,-10.31,10,0.019,,,3,1
1,104,13,JUMP+FIRE,1,4.26,13.05,0.0,-8.77,10,0.019,,,3,1
1,105,13,JUMP+FIRE,1,4.26,12.74,0.0,-7.25,10,0.0199,,,3,1
1,106,13,JUMP+FIRE,1,4.26,12.5,0.0,-5.73,10,0.0199,,,3,1
1,107,13,JUMP+FIRE,1,4.26,12.32,0.0,-4.24,10,0.0199,,,3,1
1,108,13,JUMP+FIRE,1,4.26,12.21,0.0,-2.74,10,0.0199,,,3,1
1,109,13,JUMP+FIRE,1,4.26,12.16,0.0,-1.25,10,0.0199,,,3,1
1,110,13,JUMP+FIRE,1,4.26,12.17,0.0,0.3,10,0.0199,,,3,1
1,111,13,JUMP+FIRE,1,4.26,12.32,0.0,3.59,10,0.0234,,,3,1
1,112,17,RUN+RIGHT+JUMP+FIRE,1,4.3,12.61,0.8,6.92,10,0.0238,,,3,1
1,113,13,JUMP+FIRE,1,4.32,13.07,0.45,10.36,10,0.0226,,,3,1
1,114,17,RUN+RIGHT+JUMP+FIRE,1,4.37,13.69,1.29,13.84,10,0.0228,,,3,1
1,115,13,JUMP+FIRE,1,4.42,14.39,0.95,17.19,10,0.0218,,,3,1
1,116,13,JUMP+FIRE,1,4.45,15.1,0.63,17.19,10,0.0208,,,3,1
1,117,13,JUMP+FIRE,1,4.46,15.83,0.3,17.19,10,0.0208,,,3,1
1,118,13,JUMP+FIRE,1,4.47,15.65,0.0,-16.44,10,0.0172,,,3,1
