episode,step,action_id,action,level,x,y,vx,vy,score,reward,event,cause,lives,coins
1,1,4,RIGHT+JUMP,1,3.0,16.01,0.27,0.71,0,1.8621,,,3,0
1,2,4,RIGHT+JUMP,1,3.06,16.0,1.06,0.0,0,0.0337,,,3,0
1,3,4,RIGHT+JUMP,1,3.25,15.27,4.0,-15.57,0,0.1223,,,3,0
1,4,4,RIGHT+JUMP,1,3.45,14.61,4.71,-13.94,0,0.1341,,,3,0
1,5,4,RIGHT+JUMP,1,3.69,14.03,5.43,-12.29,0,0.1573,,,3,0
1,6,4,RIGHT+JUMP,1,3.97,13.52,6.15,-10.65,0,0.1781,,,3,0
1,7,5,RUN+RIGHT,1,4.28,13.12,6.98,-8.84,0,0.2026,,,3,0
1,8,5,RUN+RIGHT,1,4.64,12.8,7.85,-6.97,0,0.2356,,,3,0
1,9,5,RUN+RIGHT,1,5.03,12.57,8.68,-5.16,0,0.2524,,,3,0
1,10,7,RUN+RIGHT+JUMP,1,5.46,12.41,9.53,-3.54,0,0.2804,,,3,0
1,11,7,RUN+RIGHT+JUMP,1,5.91,12.33,10.35,-1.99,0,0.2943,,,3,0
1,12,7,RUN+RIGHT+JUMP,1,6.4,12.31,11.17,-0.41,0,0.3217,,,3,0
1,13,12,RIGHT+FIRE,1,6.68,12.37,6.25,2.27,0,0.1838,,,3,0
1,14,12,RIGHT+FIRE,1,6.97,12.64,6.25,5.87,0,0.1882,,,3,0
1,15,12,RIGHT+FIRE,1,7.26,13.08,6.25,9.47,0,0.1885,,,3,0
1,16,12,RIGHT+FIRE,1,7.54,13.65,6.25,12.91,0,0.1803,,,3,0
1,17,4,RIGHT+JUMP,1,7.82,14.37,6.25,16.52,0,0.1886,,,3,0
1,18,4,RIGHT+JUMP,1,8.11,15.14,6.25,17.19,0,0.1842,,,3,0
1,19,12,RIGHT+FIRE,1,8.38,15.9,6.25,17.19,0,0.1799,,,3,0
1,20,12,RIGHT+FIRE,1,8.67,15.62,6.25,-16.32,0,0.1877,,,3,0
1,21,12,RIGHT+FIRE,1,8.95,14.94,6.25,-14.47,0,0.1855,,,3,0
1,22,12,RIGHT+FIRE,1,9.23,14.36,6.25,-12.68,0,0.1791,,,3,0
1,23,12,RIGHT+FIRE,1,9.51,13.86,6.25,-10.87,0,0.1811,,,3,0
1,24,12,RIGHT+FIRE,1,9.79,13.45,6.25,-9.01,0,0.1851,,,3,0
1,25,12,RIGHT+FIRE,1,10.07,13.13,6.25,-7.2,0,0.1811,,,3,0
1,26,12,RIGHT+FIRE,1,10.35,12.89,6.25,-5.39,0,0.1811,,,3,0
1,27,12,RIGHT+FIRE,1,10.62,12.73,6.25,-3.62,0,0.1772,,,3,0
1,28,12,RIGHT+FIRE,1,10.9,12.65,6.25,-1.85,0,0.1773,,,3,0
1,29,12,RIGHT+FIRE,1,11.17,12.65,6.25,-0.06,0,0.1795,,,3,0
1,30,7,RUN+RIGHT+JUMP,1,11.5,12.72,7.1,1.57,0,0.2114,,,3,0
1,31,7,RUN+RIGHT+JUMP,1,11.84,12.93,7.92,4.76,0,0.2255,,,3,0
1,32,5,RUN+RIGHT,1,12.23,13.29,8.76,8.24,0,0.2555,,,3,0
1,33,12,RIGHT+FIRE,1,12.49,13.77,6.25,11.49,0,0.17,,,3,0
1,34,12,RIGHT+FIRE,1,12.77,14.39,6.25,14.93,0,0.1802,,,3,0
1,35,12,RIGHT+FIRE,1,13.04,15.12,6.25,17.19,0,0.176,,,3,0
1,36,12,RIGHT+FIRE,1,13.3,15.84,6.25,17.19,0,0.1715,,,3,0
1,37,12,RIGHT+FIRE,1,13.56,16.02,6.25,0.85,0,0.1713,,,3,0
1,38,12,RIGHT+FIRE,1,13.83,16.0,6.25,0.0,0,0.1733,,,3,0
1,39,12,RIGHT+FIRE,1,14.1,16.0,6.25,0.0,0,0.1775,,,3,0
1,40,12,RIGHT+FIRE,1,14.37,16.0,6.25,0.0,0,0.1734,,,3,0
1,41,12,RIGHT+FIRE,1,14.63,16.0,6.25,0.0,0,0.1754,,,3,0
1,42,12,RIGHT+FIRE,1,14.9,16.0,6.25,0.0,0,0.1734,,,3,0
