episode,step,action_id,action,level,x,y,vx,vy,score,reward,event,cause,lives,coins
1,1,17,RUN+RIGHT+JUMP+FIRE,1,3.01,16.01,0.36,0.77,0,1.8633,,,3,0
1,2,17,RUN+RIGHT+JUMP+FIRE,1,3.07,16.0,1.29,0.0,0,0.0415,,,3,0
1,3,17,RUN+RIGHT+JUMP+FIRE,1,3.26,15.33,4.49,-15.73,0,0.1241,,,3,0
1,4,17,RUN+RIGHT+JUMP+FIRE,1,3.49,14.69,5.31,-14.16,0,0.1463,,,3,0
1,5,17,RUN+RIGHT+JUMP+FIRE,1,3.74,14.13,6.12,-12.62,0,0.1657,,,3,0
1,6,17,RUN+RIGHT+JUMP+FIRE,1,4.04,13.63,6.94,-11.06,0,0.1908,,,3,0
1,7,7,RUN+RIGHT+JUMP,1,4.36,13.23,7.72,-9.57,0,0.2088,,,3,0
1,8,7,RUN+RIGHT+JUMP,1,4.72,12.89,8.53,-8.03,0,0.2391,,,3,0
1,9,7,RUN+RIGHT+JUMP,1,5.14,12.6,9.35,-6.46,0,0.2685,,,3,0
1,10,7,RUN+RIGHT+JUMP,1,5.57,12.39,10.16,-4.92,0,0.2855,,,3,0
1,11,7,RUN+RIGHT+JUMP,1,6.05,12.24,10.97,-3.38,0,0.3081,,,3,0
1,12,7,RUN+RIGHT+JUMP,1,6.58,12.15,11.82,-1.75,0,0.3464,,,3,0
1,13,7,RUN+RIGHT+JUMP,1,7.12,12.12,12.65,-0.17,0,0.359,,,3,0
1,14,7,RUN+RIGHT+JUMP,1,7.72,12.19,13.48,2.47,0,0.3876,,,3,0
1,15,7,RUN+RIGHT+JUMP,1,8.32,12.41,14.29,5.84,0,0.398,,,3,0
1,16,7,RUN+RIGHT+JUMP,1,9.0,12.8,15.15,9.4,0,0.4465,,,3,0
1,17,7,RUN+RIGHT+JUMP,1,9.72,13.34,15.99,12.93,0,0.4671,,,3,0
1,18,7,RUN+RIGHT+JUMP,1,10.45,14.02,16.82,16.37,0,0.4804,,,3,0
1,19,7,RUN+RIGHT+JUMP,1,11.25,14.81,17.68,17.19,0,0.5281,,,3,0
1,20,7,RUN+RIGHT+JUMP,1,12.06,15.57,18.51,17.19,10,0.5386,,,3,1
