Step,Event,Reward,Cause,Action,Level,X,Y,Vx,Vy,Goal_Dist
98,GAIN,2.0381,Move,RUN+RIGHT,0,937.4,390.9,1080.0,0.0,219.1
99,GAIN,2.0183,Move,LEFT,0,954.8,394.1,1036.7,0.0,202.9
100,GAIN,2.0030,Move,JUMP,0,972.1,397.9,1032.5,0.0,186.8
101,GAIN,2.0858,Move,RUN+RIGHT,0,990.1,402.3,1097.5,0.0,170.0
102,GAIN,2.1022,Move,JUMP,0,1008.3,407.2,1093.3,0.0,153.1
103,GAIN,2.0816,Move,IDLE,0,1026.5,412.7,1089.2,0.0,136.4
104,GAIN,2.0388,Move,IDLE,0,1044.6,418.6,1085.0,0.0,120.0
123,LOSS,-129.3074,Move,LEFT+JUMP,0,50.0,500.0,0.0,0.0,1070.1
201,GAIN,2.0764,Move,RUN+RIGHT+JUMP,0,635.2,287.8,962.5,0.0,534.1
203,GAIN,2.0912,Move,RUN+RIGHT,0,665.7,299.3,945.0,0.0,501.7
204,GAIN,2.2133,Move,RUN+RIGHT+JUMP,0,682.5,305.3,1010.0,0.0,483.9
205,GAIN,2.2066,Move,IDLE,0,699.3,311.3,1005.8,0.0,466.2
207,GAIN,2.0892,Move,RUN+RIGHT,0,729.7,323.3,945.0,0.0,433.6
208,GAIN,2.2103,Move,RUN+RIGHT,0,746.5,329.3,1010.0,0.0,415.8
209,GAIN,2.3000,Move,RUN+RIGHT+JUMP,0,764.2,335.3,1075.0,0.0,397.3
210,GAIN,2.3225,Move,IDLE,0,782.0,341.3,1070.8,0.0,378.7
212,GAIN,2.0841,Move,RUN+RIGHT+JUMP,0,812.4,353.3,945.0,0.0,346.1
226,GAIN,2.0420,Move,RUN+RIGHT,0,1012.3,437.3,945.0,0.0,131.1
227,GAIN,2.1344,Move,RUN+RIGHT+JUMP,0,1029.1,443.3,1010.0,0.0,114.0
228,GAIN,2.0504,Move,LEFT,0,1045.4,449.3,966.7,0.0,97.5
234,LOSS,-123.8648,Move,RIGHT,0,96.0,512.0,0.0,0.0,1024.0
364,GAIN,6.2789,Coin,LEFT+JUMP,0,529.0,335.3,700.0,0.0,616.9
392,GAIN,2.0795,Move,RUN+RIGHT+JUMP,0,885.6,385.1,945.0,0.0,266.6
395,GAIN,2.0649,Move,RUN+RIGHT,0,930.5,403.1,940.8,0.0,218.5
400,GAIN,2.0445,Move,RUN+RIGHT+JUMP,0,1004.7,433.1,945.0,0.0,139.7
401,GAIN,2.0234,Move,IDLE,0,1020.4,439.1,940.8,0.0,123.4
408,LOSS,-123.1985,Move,LEFT,0,96.0,512.0,0.0,0.0,1024.0
523,LOSS,-122.8459,Move,RUN+RIGHT+JUMP,0,96.0,512.0,0.0,0.0,1024.0
573,GAIN,6.8701,Coin,IDLE,0,400.2,444.2,871.7,0.0,723.0
580,GAIN,6.8554,Coin,LEFT+JUMP,0,507.8,403.2,967.5,0.0,621.8
586,GAIN,2.0154,Move,RUN+RIGHT+JUMP,0,608.7,367.5,1110.8,0.0,531.3
587,GAIN,2.0273,Move,IDLE,0,627.2,362.4,1106.7,0.0,515.0
588,GAIN,2.1068,Move,RUN+RIGHT,0,646.4,357.6,1171.7,0.0,498.1
589,GAIN,2.1157,Move,JUMP,0,665.9,353.1,1167.5,0.0,481.1
590,GAIN,2.0321,Move,LEFT+JUMP,0,684.8,348.9,1124.2,0.0,464.8
596,GAIN,6.3685,Coin,LEFT+JUMP,0,779.4,329.1,828.3,0.0,386.6
639,LOSS,-43.4210,Move,RIGHT,0,96.0,128.0,0.0,0.0,384.0
698,STALL,-1.4578,Time/Camp,RUN+RIGHT,0,735.9,113.0,1066.7,0.0,754.1
702,LOSS,-2.1097,Move,RIGHT,0,794.5,119.9,880.0,0.0,801.0
703,LOSS,-2.2120,Move,RUN+RIGHT+JUMP,0,810.2,112.0,945.0,0.0,818.6
704,LOSS,-2.3146,Move,RUN+RIGHT+JUMP,0,827.0,104.5,1010.0,0.0,837.0
705,LOSS,-2.3917,Move,RUN+RIGHT,0,844.7,97.1,1075.0,0.0,856.0
706,LOSS,-2.3470,Move,LEFT+JUMP,0,862.1,89.9,1031.7,0.0,874.6
707,LOSS,-2.0351,Move,RIGHT,0,876.7,83.1,880.0,0.0,890.8
708,LOSS,-2.1342,Move,RUN+RIGHT,0,892.5,76.5,945.0,0.0,907.8
709,LOSS,-2.2379,Move,RUN+RIGHT,0,909.3,70.3,1010.0,0.0,925.5
710,LOSS,-2.1674,Move,LEFT,0,925.6,64.2,966.7,0.0,942.8
711,LOSS,-2.2222,Move,RUN+RIGHT,0,942.5,58.4,1031.7,0.0,960.4
712,LOSS,-2.3274,Move,RUN+RIGHT,0,960.5,52.8,1096.7,0.0,978.9
713,LOSS,-2.4335,Move,RUN+RIGHT,0,979.6,47.5,1161.7,0.0,998.3
715,LOSS,-2.0320,Move,RUN+RIGHT+JUMP,0,1010.0,37.8,945.0,0.0,1029.7
716,LOSS,-2.1385,Move,RUN+RIGHT+JUMP,0,1026.9,33.4,1010.0,0.0,1046.7
717,LOSS,-2.0686,Move,LEFT,0,1043.2,29.2,966.7,0.0,1063.1
718,LOSS,-2.1258,Move,RUN+RIGHT+JUMP,0,1060.1,25.2,1031.7,0.0,1080.0
719,LOSS,-2.2341,Move,RUN+RIGHT+JUMP,0,1078.1,21.5,1096.7,0.0,1097.8
758,STALL,0.3294,Time/Camp,RIGHT,0,1152.0,119.4,0.0,0.0,1126.6
818,STALL,0.0669,Time/Camp,LEFT+JUMP,0,1151.3,158.6,-43.3,0.0,1112.9
878,STALL,0.0102,Time/Camp,RUN+RIGHT+JUMP,0,1152.0,160.0,0.0,0.0,1113.1
938,STALL,-0.3649,Time/Camp,RUN+RIGHT,0,1149.6,159.1,189.2,0.0,1111.1
998,GAIN,86.0018,Move,JUMP,0,96.0,128.0,0.0,0.0,384.0
1058,STALL,0.6283,Time/Camp,LEFT,0,223.0,125.3,117.5,0.0,407.0
1118,STALL,-0.7230,Time/Camp,RIGHT,0,710.8,128.0,496.7,0.0,724.9
1178,STALL,0.4098,Time/Camp,LEFT+JUMP,0,1132.3,137.4,-83.3,0.0,1101.9
1238,STALL,-0.1061,Time/Camp,RUN+RIGHT,0,1145.1,160.0,69.2,0.0,1106.5
1298,STALL,-0.0488,Time/Camp,RIGHT+JUMP,0,1151.6,173.5,86.7,0.0,1108.6
1358,GAIN,85.4548,Move,RUN+RIGHT+JUMP,0,96.0,128.0,0.0,0.0,384.0
1418,STALL,-1.2255,Time/Camp,IDLE,0,791.4,125.2,871.7,0.0,795.7
1420,LOSS,-2.2700,Move,RUN+RIGHT,0,822.0,119.9,967.5,0.0,825.1
1421,LOSS,-2.3477,Move,RUN+RIGHT,0,838.9,112.0,1032.5,0.0,843.8
1422,LOSS,-2.3024,Move,LEFT,0,855.6,104.3,989.2,0.0,862.1
1423,LOSS,-2.2617,Move,JUMP,0,872.0,97.0,985.0,0.0,880.1
1424,LOSS,-2.0515,Move,RIGHT,0,886.7,89.8,880.0,0.0,896.4
1425,LOSS,-2.1517,Move,RUN+RIGHT,0,902.5,83.0,945.0,0.0,913.4
1426,LOSS,-2.2562,Move,RUN+RIGHT,0,919.3,76.5,1010.0,0.0,931.4
1427,LOSS,-2.2397,Move,JUMP,0,936.1,70.2,1005.8,0.0,949.2
1428,LOSS,-2.2176,Move,JUMP,0,952.8,64.1,1001.7,0.0,966.8
1429,LOSS,-2.1411,Move,LEFT,0,968.9,58.3,958.3,0.0,983.8
1431,LOSS,-2.0636,Move,RUN+RIGHT+JUMP,0,999.4,47.6,945.0,0.0,1015.7
1432,LOSS,-2.0417,Move,JUMP,0,1015.0,42.7,940.8,0.0,1031.9
1478,STALL,0.2458,Time/Camp,JUMP,0,1152.0,131.9,0.0,0.0,1122.3
1538,STALL,0.1008,Time/Camp,RIGHT+JUMP,0,1149.1,160.5,-43.3,0.0,1110.2
1598,STALL,0.0355,Time/Camp,JUMP,0,1152.0,160.3,0.0,0.0,1113.0
1658,STALL,0.1424,Time/Camp,RIGHT+JUMP,0,1152.0,161.6,0.0,0.0,1112.6
1718,GAIN,86.0173,Move,LEFT,0,96.0,128.0,0.0,0.0,384.0
1778,STALL,-1.0649,Time/Camp,RUN+RIGHT,0,618.0,127.8,901.7,0.0,648.1
1780,LOSS,-2.0453,Move,JUMP,0,646.5,119.9,850.0,0.0,675.8
1782,LOSS,-2.0085,Move,RIGHT+JUMP,0,674.1,104.5,850.0,0.0,707.3
1784,LOSS,-2.0094,Move,RUN+RIGHT,0,702.1,90.1,871.7,0.0,738.5
1785,LOSS,-2.0060,Move,RIGHT,0,716.7,83.3,880.0,0.0,754.4
1792,LOSS,-2.0044,Move,RUN+RIGHT,0,820.3,42.9,945.0,0.0,862.9
1794,LOSS,-2.0126,Move,RUN+RIGHT,0,851.5,33.8,966.7,0.0,894.1
1795,LOSS,-2.0889,Move,RUN+RIGHT+JUMP,0,868.4,29.5,1031.7,0.0,910.7
1838,STALL,0.3311,Time/Camp,LEFT+JUMP,0,1151.3,131.2,-43.3,0.0,1121.9
1898,STALL,0.0072,Time/Camp,RIGHT,0,1148.5,160.6,4.2,0.0,1109.6
1958,STALL,0.2216,Time/Camp,IDLE,0,1147.0,163.0,-82.5,0.0,1107.4
2018,STALL,0.1764,Time/Camp,RUN+RIGHT,0,1130.1,164.9,-48.3,0.0,1090.8
2078,GAIN,85.4401,Move,RIGHT+JUMP,0,96.0,128.0,0.0,0.0,384.0
2138,STALL,-0.7525,Time/Camp,RIGHT,0,503.0,125.9,844.2,0.0,561.0
2142,LOSS,-2.0432,Move,RUN+RIGHT+JUMP,0,558.0,104.4,897.5,0.0,616.1
2143,LOSS,-2.0190,Move,JUMP,0,572.9,97.1,893.3,0.0,632.1
2144,LOSS,-2.1043,Move,RUN+RIGHT+JUMP,0,588.8,90.0,958.3,0.0,648.8
2153,LOSS,-2.0387,Move,RUN+RIGHT+JUMP,0,721.6,38.1,1005.8,0.0,784.8
2154,LOSS,-2.1119,Move,RUN+RIGHT+JUMP,0,739.1,33.6,1070.8,0.0,801.6
2155,LOSS,-2.1218,Move,IDLE,0,756.9,29.3,1066.7,0.0,818.4
2156,LOSS,-2.0534,Move,LEFT,0,774.2,25.3,1023.3,0.0,834.7
2157,LOSS,-2.1059,Move,RUN+RIGHT,0,792.0,21.6,1088.3,0.0,851.5
2158,LOSS,-2.0670,Move,LEFT,0,809.6,18.1,1045.0,0.0,867.9
2198,STALL,0.3985,Time/Camp,LEFT,0,1143.3,136.0,-78.3,0.0,1112.8
2258,STALL,-0.0069,Time/Camp,RUN+RIGHT+JUMP,0,1151.6,160.6,21.7,0.0,1112.6
2318,STALL,-0.1673,Time/Camp,LEFT+JUMP,0,1128.9,163.2,112.5,0.0,1090.3
2378,STALL,0.1649,Time/Camp,LEFT+JUMP,0,1151.3,165.2,-43.3,0.0,1110.8
2438,GAIN,85.3441,Move,JUMP,0,96.0,128.0,0.0,0.0,384.0
2498,STALL,-0.4582,Time/Camp,JUMP,0,468.8,107.2,718.3,0.0,550.3
2558,STALL,-0.0516,Time/Camp,RUN+RIGHT+JUMP,0,1151.5,113.8,155.8,0.0,1128.1
2618,STALL,0.0050,Time/Camp,LEFT+JUMP,0,1152.3,158.7,-17.5,0.0,1113.9
2678,STALL,-0.0538,Time/Camp,RUN+RIGHT+JUMP,0,1152.0,160.0,0.0,0.0,1113.1
2738,STALL,0.1514,Time/Camp,RUN+RIGHT,0,1152.0,164.4,0.0,0.0,1111.7
2798,GAIN,83.7987,Move,RIGHT+JUMP,0,96.0,128.0,0.0,0.0,384.0
2858,STALL,-0.7745,Time/Camp,LEFT+JUMP,0,643.3,126.1,707.5,0.0,669.6
2918,STALL,0.1193,Time/Camp,RUN+RIGHT,0,1149.1,131.8,65.0,0.0,1119.7
2978,STALL,0.0994,Time/Camp,LEFT+JUMP,0,1151.3,159.3,-43.3,0.0,1112.6
3038,STALL,0.0375,Time/Camp,IDLE,0,1152.0,162.2,0.0,0.0,1112.4
3098,STALL,-0.3845,Time/Camp,LEFT+JUMP,0,1108.7,162.1,223.3,0.0,1071.4
3158,GAIN,85.8720,Move,JUMP,0,96.0,128.0,0.0,0.0,384.0
3218,STALL,-0.9687,Time/Camp,RIGHT+JUMP,0,585.2,125.2,880.0,0.0,623.6
3220,LOSS,-2.0883,Move,RIGHT+JUMP,0,614.5,119.9,880.0,0.0,650.1
3223,LOSS,-2.0261,Move,RIGHT+JUMP,0,656.9,97.1,875.8,0.0,697.7
3224,LOSS,-2.1172,Move,RUN+RIGHT,0,672.6,90.1,940.8,0.0,714.5
3225,LOSS,-2.0273,Move,LEFT+JUMP,0,687.6,83.2,897.5,0.0,730.6
3226,LOSS,-2.1200,Move,RUN+RIGHT,0,703.6,76.7,962.5,0.0,747.5
3227,LOSS,-2.1913,Move,RUN+RIGHT,0,720.5,70.4,1027.5,0.0,764.9
3278,STALL,0.1188,Time/Camp,RUN+RIGHT+JUMP,0,1152.4,131.5,65.0,0.0,1122.8
3338,STALL,-0.1360,Time/Camp,JUMP,0,1149.1,159.3,73.3,0.0,1110.6
3398,STALL,0.1130,Time/Camp,RIGHT,0,1148.6,160.4,-39.2,0.0,1109.8
3458,STALL,0.4346,Time/Camp,LEFT+JUMP,0,1140.3,161.9,-190.8,0.0,1101.5
3518,GAIN,61.0897,Move,LEFT+JUMP,0,96.0,128.0,0.0,0.0,384.0
3578,STALL,-0.3861,Time/Camp,RUN+RIGHT+JUMP,0,428.9,125.5,705.8,0.0,510.2
3584,LOSS,-2.0010,Move,RUN+RIGHT+JUMP,0,510.3,90.1,931.7,0.0,591.4
3585,LOSS,-2.0821,Move,RUN+RIGHT+JUMP,0,526.9,83.3,996.7,0.0,607.9
3586,LOSS,-2.0699,Move,IDLE,0,543.5,76.7,992.5,0.0,624.3
3587,LOSS,-2.0062,Move,LEFT+JUMP,0,559.5,70.3,949.2,0.0,640.3
3588,LOSS,-2.0692,Move,RUN+RIGHT+JUMP,0,576.4,64.3,1014.2,0.0,656.7
3589,LOSS,-2.1372,Move,RUN+RIGHT,0,594.1,58.5,1079.2,0.0,673.7
3590,LOSS,-2.2275,Move,RUN+RIGHT+JUMP,0,612.9,52.9,1144.2,0.0,691.4
3591,LOSS,-2.2391,Move,JUMP,0,631.9,47.6,1140.0,0.0,709.2
3638,STALL,0.3916,Time/Camp,LEFT,0,1148.3,132.0,-74.2,0.0,1118.8
3698,STALL,0.0148,Time/Camp,RUN+RIGHT,0,1152.0,160.6,0.0,0.0,1112.9
3758,STALL,0.1215,Time/Camp,LEFT+JUMP,0,1151.3,161.2,-43.3,0.0,1112.1
3818,STALL,0.0581,Time/Camp,JUMP,0,1152.0,163.0,0.0,0.0,1112.2
3878,GAIN,84.4631,Move,JUMP,0,96.0,128.0,0.0,0.0,384.0
3938,STALL,-1.1912,Time/Camp,LEFT+JUMP,0,717.3,125.2,897.5,0.0,731.9
