step,total_reward,action,level,levels_completed,x,y,vx,vy,goal_dist,event,cause,gradient,coins,kills,win,time,death,grid_player_mean,grid_player_std,grid_player_min,grid_player_max,grid_solid_mean,grid_solid_std,grid_solid_min,grid_solid_max,grid_hazard_mean,grid_hazard_std,grid_hazard_min,grid_hazard_max,grid_collectible_mean,grid_collectible_std,grid_collectible_min,grid_collectible_max,scalar_mean,scalar_std,scalar_min,scalar_max,dijkstra_val,obs_warnings
4,-0.0025,RUN+RIGHT,0,0,3.0104166666666665,16.010416666666668,0.625,0.625,32.989584977897024,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,-0.0025,JUMP,0,0,3.018663194444444,16.0,0.49479166666666663,0.0,32.98133680555556,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,-0.6603922,RIGHT,0,0,3.058159722222222,15.7228125,2.3697916666666665,-16.63125,32.943006447450706,,,-0.6598922271728516,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,-0.0025,LEFT,0,0,3.0898437499999996,15.456041666666666,1.9010416666666665,-16.00625,32.91465137393706,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,-0.0025,RIGHT,0,0,3.1293402777777772,15.1996875,2.3697916666666665,-15.381250000000001,32.880401011419835,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24,-0.0025,RUN+RIGHT,0,0,3.179253472222222,14.95375,2.9947916666666665,-14.756250000000001,32.83741831665725,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
28,-0.0025,LEFT,0,0,3.2213541666666665,14.718229166666665,2.5260416666666665,-14.131250000000001,32.80369733942021,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
32,-0.0025,RIGHT+JUMP,0,0,3.271267361111111,14.491874999999999,2.9947916666666665,-13.58125,32.76346106813954,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36,-0.0025,RUN+LEFT+JUMP,0,0,3.3190104166666665,14.275937499999998,2.864583333333333,-12.95625,32.72643383642416,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40,-0.0025,JUMP,0,0,3.364583333333333,14.069166666666664,2.7343749999999996,-12.40625,32.692484432481656,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
44,-1.9761887,LEFT+JUMP,0,0,3.4023437499999996,13.871562499999998,2.2656249999999996,-11.85625,32.667069644897296,,,-1.9756886024475098,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
48,-0.0025,LEFT,0,0,3.432291666666666,13.684374999999998,1.7968749999999996,-11.23125,32.64992718561091,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
52,-0.0025,IDLE,0,0,3.4600694444444438,13.507604166666663,1.6666666666666663,-10.60625,32.63524348844965,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
56,-0.0025,RIGHT+JUMP,0,0,3.4956597222222214,13.339999999999996,2.135416666666666,-10.056249999999999,32.61299950776633,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
60,-0.0025,RIGHT,0,0,3.539062499999999,13.182812499999997,2.604166666666666,-9.431249999999999,32.58295580190757,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
64,-0.0025,RUN+LEFT,0,0,3.580295138888888,13.036041666666664,2.4739583333333326,-8.806249999999999,32.55491226041452,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
68,-0.6603922,LEFT,0,0,3.613715277777777,12.899687499999997,2.0052083333333326,-8.181249999999999,32.53434148260113,,,-0.6598922271728516,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
72,-0.0025,RIGHT,0,0,3.6549479166666656,12.773749999999998,2.4739583333333326,-7.556249999999999,32.50555465356723,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
76,-0.0025,RIGHT,0,0,3.7039930555555545,12.658229166666665,2.9427083333333326,-6.931249999999999,32.46843847274028,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
80,-0.0025,JUMP,0,0,3.7508680555555545,12.553124999999998,2.812499999999999,-6.306249999999999,32.43281453151749,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
84,-0.0025,IDLE,0,0,3.7955729166666656,12.458437499999999,2.6822916666666656,-5.681249999999999,32.39857695497041,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
88,-0.0025,IDLE,0,0,3.838107638888888,12.374166666666666,2.552083333333332,-5.056249999999999,32.36562972674576,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
92,-0.0025,RUN+LEFT+JUMP,0,0,3.8784722222222214,12.300312499999999,2.4218749999999987,-4.431249999999999,32.33388678114968,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
96,-0.0025,RUN+RIGHT+JUMP,0,0,3.9292534722222214,12.236875,3.0468749999999987,-3.8062499999999986,32.290771013009206,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
100,-0.0025,RIGHT,0,0,3.9878472222222214,12.183854166666666,3.5156249999999987,-3.1812499999999986,32.23881037645547,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
104,1.9731827,RUN+LEFT,0,0,4.044270833333332,12.14125,3.385416666666665,-2.5562499999999986,32.18786383306371,,,1.9736826419830322,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
108,-0.0025,RUN+LEFT+JUMP,0,0,4.0985243055555545,12.1090625,3.2552083333333317,-1.9312499999999986,32.137883348349746,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
112,-0.0025,LEFT+JUMP,0,0,4.144965277777777,12.087291666666667,2.7864583333333317,-1.3062499999999986,32.094431349623875,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
116,-0.0025,LEFT,0,0,4.183593749999999,12.0759375,2.3177083333333317,-0.6812499999999986,32.05747920796246,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
120,-0.0025,IDLE,0,0,4.220052083333332,12.075000000000001,2.1874999999999982,-0.05624999999999858,32.02141025292369,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
124,-0.0025,RUN+RIGHT,0,0,4.266927083333332,12.084479166666668,2.8124999999999982,0.5687500000000014,31.97372702908985,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
128,-0.0025,LEFT+JUMP,0,0,4.305989583333332,12.111319444444446,2.3437499999999982,1.6104166666666682,31.931679140861526,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
132,-0.0025,RUN+LEFT+JUMP,0,0,4.342881944444443,12.155520833333334,2.2135416666666647,2.652083333333335,31.889702783913112,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
136,-0.0025,RIGHT+JUMP,0,0,4.387586805555554,12.217083333333335,2.6822916666666647,3.6937500000000014,31.83795104090761,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
140,-0.0025,RIGHT+JUMP,0,0,4.440104166666664,12.296006944444446,3.1510416666666647,4.735416666666668,31.7765100281081,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
144,-0.0025,IDLE,0,0,4.490451388888887,12.392291666666669,3.0208333333333313,5.777083333333335,31.715409710334455,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
148,-0.0025,JUMP,0,0,4.53862847222222,12.505937500000002,2.890624999999998,6.818750000000002,31.654800128302384,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
152,-0.0025,LEFT+JUMP,0,0,4.578993055555553,12.636944444444445,2.421874999999998,7.860416666666669,31.600471833068873,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
156,-0.0025,RUN+LEFT,0,0,4.617187499999997,12.785312500000002,2.2916666666666643,8.902083333333335,31.547030543821595,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
160,-0.0025,LEFT,0,0,4.647569444444442,12.951041666666669,1.8229166666666643,9.943750000000001,31.500334103931923,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
