step,total_reward,action,level,x,y,vx,vy,goal_dist,event,cause,movement,coins,kills,win,time,death
11,-1.6573879,IDLE,0,3.0,16.010850694444443,0.0,0.6510416666666666,33.0,,,-0.005,0.0,0.0,0.0,0,0.0
22,-1.8893704,LEFT+JUMP,0,2.9930555555555554,16.0,-0.4166666666666667,0.0,33.00694444444444,,,-0.005868055555555358,0.0,0.0,0.0,0,0.0
33,-1.1193429,RUN+LEFT+JUMP,0,2.990451388888889,15.749965277777777,-0.15625,-15.002083333333333,33.009548611111114,,,-0.0053255208333339256,0.0,0.0,0.0,0,0.0
44,0.0787575,RIGHT+JUMP,0,2.9947916666666665,15.510625,0.2604166666666667,-14.360416666666667,33.005208333333336,,,0.0005425347222223209,0.0,0.0,0.0,0,0.0
55,0.20104457,RUN+RIGHT+JUMP,0,3.009548611111111,15.281979166666666,0.8854166666666667,-13.718750000000002,32.990451388888886,,,0.0018446180555562464,0.0,0.0,0.0,0,0.0
66,0.2334774,RIGHT+JUMP,0,3.03125,15.064027777777778,1.3020833333333335,-13.077083333333336,32.96875,,,0.0027126736111107164,0.0,0.0,0.0,0,0.0
77,0.0062776417,RIGHT,0,3.0598958333333335,14.856927083333334,1.7187500000000002,-12.42604166666667,32.940104166666664,,,0.0035807291666669627,0.0,0.0,0.0,0,0.0
88,0.0035103355,RIGHT+JUMP,0,3.095486111111111,14.660520833333333,2.135416666666667,-11.784375000000004,32.904513888888886,,,0.004448784722222321,0.0,0.0,0.0,0,0.0
99,0.0022751614,LEFT,0,3.1241319444444446,14.474965277777777,1.7187500000000002,-11.133333333333338,32.87586805555556,,,0.0035807291666660745,0.0,0.0,0.0,0,0.0
110,0.001882172,IDLE,0,3.1506076388888893,14.300260416666665,1.588541666666667,-10.482291666666672,32.849392361111114,,,0.003309461805555358,0.0,0.0,0.0,0,0.0
121,0.0024516673,RUN+RIGHT,0,3.1875000000000004,14.136406249999999,2.213541666666667,-9.831250000000006,32.8125,,,0.004611545138889284,0.0,0.0,0.0,0,0.0
132,0.0022065411,RUN+LEFT,0,3.2222222222222228,13.983402777777776,2.0833333333333335,-9.18020833333334,32.77777777777778,,,0.004340277777777679,0.0,0.0,0.0,0,0.0
143,0.0025664605,RIGHT,0,3.2638888888888893,13.841249999999999,2.5,-8.529166666666674,32.736111111111114,,,0.005208333333333037,0.0,0.0,0.0,0,0.0
154,0.0020910806,LEFT,0,3.2986111111111116,13.709947916666666,2.0833333333333335,-7.878125000000007,32.701388888888886,,,0.004340277777778567,0.0,0.0,0.0,0,0.0
165,0.0019281093,RUN+LEFT+JUMP,0,3.331163194444445,13.589496527777778,1.9531250000000002,-7.22708333333334,32.66883680555556,,,0.0040690104166660745,0.0,0.0,0.0,0,0.0
176,0.002310682,RIGHT+JUMP,0,3.3706597222222228,13.479739583333332,2.369791666666667,-6.585416666666673,32.62934027777778,,,0.004937065972222321,0.0,0.0,0.0,0,0.0
187,0.00269185,RIGHT+JUMP,0,3.417100694444445,13.380833333333332,2.7864583333333335,-5.934375000000006,32.58289930555556,,,0.005805121527777679,0.0,0.0,0.0,0,0.0
198,0.002548341,IDLE,0,3.4613715277777786,13.292777777777776,2.65625,-5.283333333333339,32.53862847222222,,,0.005533854166666963,0.0,0.0,0.0,0,0.0
209,0.0024110368,RUN+LEFT,0,3.503472222222223,13.215572916666664,2.5260416666666665,-4.6322916666666725,32.49652777777778,,,0.005262586805555358,0.0,0.0,0.0,0,0.0
220,0.0027983757,RIGHT,0,3.552517361111112,13.149218749999998,2.942708333333333,-3.981250000000006,32.447482638888886,,,0.0061306423611116045,0.0,0.0,0.0,0,0.0
231,0.0026677193,RUN+LEFT+JUMP,0,3.599392361111112,13.093715277777775,2.8124999999999996,-3.3302083333333394,32.400607638888886,,,0.005859375,0.0,0.0,0.0,0,0.0
242,0.002540022,RUN+LEFT,0,3.644097222222223,13.049062499999998,2.682291666666666,-2.679166666666673,32.35590277777778,,,0.0055881076388883955,0.0,0.0,0.0,0,0.0
253,0.0021434694,LEFT+JUMP,0,3.6818576388888897,13.015260416666665,2.2656249999999996,-2.0281250000000064,32.31814236111111,,,0.0047200520833339255,0.0,0.0,0.0,0,0.0
264,0.0020196126,RUN+LEFT+JUMP,0,3.7174479166666674,12.992309027777777,2.135416666666666,-1.3770833333333399,32.282552083333336,,,0.004448784722221433,0.0,0.0,0.0,0,0.0
275,0.0026111468,RUN+RIGHT+JUMP,0,3.763454861111112,12.980208333333332,2.760416666666666,-0.7260416666666732,32.236545138888886,,,0.005750868055556246,0.0,0.0,0.0,0,0.0
286,0.0024894061,IDLE,0,3.8072916666666674,12.978958333333331,2.6302083333333326,-0.07500000000000662,32.192708333333336,,,0.005479600694443754,0.0,0.0,0.0,0,0.0
297,0.0023683468,RUN+LEFT+JUMP,0,3.848958333333334,12.988559027777775,2.499999999999999,0.57604166666666,32.151041666666664,,,0.0052083333333339255,0.0,0.0,0.0,0,0.0
